# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no preambulo da convencao do g20 que acontece nos dia 07 e 08 de julho em hamburgo norte da alemanha cidade portuaria denominada de o portao para o mundo das tor zur welt sera palco da estreia da alemanha ao organizar o g20 o semanario der spigel publica na capa da edicao do inicio da semana capital hamburgo finalmente sair das sombras de berlim capital da republica e se tornar mesmo que seja por somente 2 dias o centro das atencoes midiaticas do mundo o objeto mais fotografado durante os dias de gloria de hamburgo sera a receminaugurada filarmonica a famosa foto em grupo sera tirada em frente a obra dos arquitetos jacques herzog e pierre de meuron a filarmonica tambem tera um concerto especial para os chefes de estado e de governo na visita guiada para jornalistas eu quis saber o programa a ser tocado ainda nao esta decidido dise um tanto sem jeito guido neumann o chefe do setor de imprensa da empresa de turismo oficial da cidade o hamburg media service poucos minutos antes desse artigo ser publicado chegou uma nota do proprio neumann que divulga o programa musical da noite o concerto durante o
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	preambulo	preambulo	NOUN	NOUN	_	41	nmod	_	TokenRange=3:12
4-5	da	_	_	_	_	_	_	_	TokenRange=13:15
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	convencao	convencao	NOUN	NOUN	_	3	nmod	_	TokenRange=16:25
7-8	do	_	_	_	_	_	_	_	TokenRange=26:28
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	g20	_	NOUN	NOUN	_	6	nmod	_	TokenRange=29:32
10	que	_	PRON	PRON	_	11	nsubj	_	TokenRange=33:36
11	acontece	acontecer	VERB	VERB	_	3	acl:relcl	_	TokenRange=37:45
12-13	nos	_	_	_	_	_	_	_	TokenRange=46:49
12	em	em	ADP	ADP	_	14	case	_	_
