# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nos que nascemos diferentes que fizemos diferente que sonhamos diferente acabamos por legar ao pais algo tao igual ao pior dos costumes politicos a frase acima e de antonio palocci um dos fundadores do pt e principal responsavel por levar lula a figura maior do petismo ao planalto em 2002 e esta registrada em seu pedido de desfiliacao da legenda redigido nesta tercafeira 26 a data e historica para o pt e para palocci que completa nesta terca um ano de prisao na operacao lava jato outras do blog somos um partido ou uma seita reage palocci ao pt carta de palocci revela proposta de leniencia do pt a carte de desfiliacao de palocci analise no reino do petismo
1-2	nos	_	_	_	_	_	_	_	TokenRange=0:3
1	em	em	ADP	ADP	_	2	case	_	_
2	os	o	PRON	PRON	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	14	nmod	_	_
3	que	_	PRON	PRON	_	4	nsubj	_	TokenRange=4:7
4	nascemos	nascer	VERB	VERB	_	2	acl:relcl	_	TokenRange=8:16
5	diferentes	_	ADJ	ADJ	_	4	xcomp	_	TokenRange=17:27
6	que	_	PRON	PRON	_	7	nsubj	_	TokenRange=28:31
7	fizemos	fazer	VERB	VERB	_	5	acl:relcl	_	TokenRange=32:39
8	diferente	diferente	ADJ	ADJ	_	7	xcomp	_	TokenRange=40:49
9	que	_	CCONJ	CONJ	_	10	mark	_	TokenRange=50:53
10	sonhamos	sonhar	VERB	VERB	_	7	ccomp	_	TokenRange=54:62
11	diferente	diferente	ADJ	ADJ	_	10	xcomp	_	TokenRange=63:72
12	acabamos	acabar	AUX	AUX	_	14	aux	_	TokenRange=73:81
13	por	_	ADP	ADP	_	14	mark	_	TokenRange=82:85
14	legar	legar	VERB	VERB	_	0	root	_	TokenRange=86:91
15-16	ao	_	_	_	_	_	_	_	TokenRange=92:94
15	a	a	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	pais	_	NOUN	NOUN	_	14	iobj	_	TokenRange=95:99
18	algo	_	PRON	PRON	_	14	obj	_	TokenRange=100:104
19	tao	tao	ADV	ADV	_	20	advmod	_	TokenRange=105:108
20	igual	igual	ADJ	ADJ	_	18	amod	_	TokenRange=109:114
21-22	ao	_	_	_	_	_	_	_	TokenRange=115:117
21	a	a	ADP	ADP	_	23	case	_	_
22	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
23	pior	_	NOUN	NOUN	_	20	nmod	_	TokenRange=118:122
24-25	dos	_	_	_	_	_	_	_	TokenRange=123:126
24	de	de	ADP	ADP	_	26	case	_	_
25	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	26	det	_	_
26	costumes	costume	NOUN	NOUN	_	23	nmod	_	TokenRange=127:135
