# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja a repercussao do julgamento de lula julgamento do expresidente lula gerou reacoes de politicos adversarios e apoiadores apos o julgamento e condenacao de 9 anos e 6 meses de prisao do expresidente lula pelo juiz segio moro teve inicio nesta quartafeira 24 o julgamento de sua pena por tres desembergadores da 8 turma do tribunal regional federal da 4 regiao trf4 gebran neto relator do caso leandro paulsen e victor dos santos laus acusado de corrupcao passiva e lavagem de dinheiro no caso do triplex do guaruja lula comecou o dia ja com um voto positivo a sua condenacao feito pelo desembargador gebran que ainda aumentou sua pena para 12 anos e um mes de prisao alem do voto o jurista criticou a forma como o julgamento foi tratado por aliados petistas e setores da opiniao publica
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	repercussao	repercussao	NOUN	NOUN	_	1	obj	_	TokenRange=7:18
4-5	do	_	_	_	_	_	_	_	TokenRange=19:21
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	julgamento	julgamento	NOUN	NOUN	_	3	nmod	_	TokenRange=22:32
7	de	de	ADP	ADP	_	8	case	_	TokenRange=33:35
8	lula	lula	NOUN	NOUN	_	6	nmod	_	TokenRange=36:40
9	julgamento	julgamento	NOUN	NOUN	_	14	nsubj	_	TokenRange=41:51
10-11	do	_	_	_	_	_	_	_	TokenRange=52:54
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	expresidente	expresidente	NOUN	NOUN	_	9	nmod	_	TokenRange=55:67
13	lula	lula	ADJ	ADJ	_	12	amod	_	TokenRange=68:72
14	gerou	gerar	VERB	VERB	_	1	parataxis	_	TokenRange=73:78
15	reacoes	reacoe	NOUN	NOUN	_	14	obj	_	TokenRange=79:86
16	de	de	ADP	ADP	_	17	case	_	TokenRange=87:89
17	politicos	politico	NOUN	NOUN	_	15	nmod	_	TokenRange=90:99
18	adversarios	adversario	ADJ	ADJ	_	17	amod	_	TokenRange=100:111
19	e	e	CCONJ	CONJ	_	20	cc	_	TokenRange=112:113
20	apoiadores	_	NOUN	NOUN	_	18	conj	_	TokenRange=114:124
21	apos	_	ADP	ADP	_	23	case	_	TokenRange=125:129
22	o	o	DET	DET	_	23	det	_	TokenRange=130:131
23	julgamento	julgamento	NOUN	NOUN	_	14	nmod	_	TokenRange=132:142
24	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=143:144
25	condenacao	condenacao	NOUN	NOUN	_	23	conj	_	TokenRange=145:155
26	de	de	ADP	ADP	_	28	case	_	TokenRange=156:158
27	9	_	NUM	NUM	NumType=Card	28	nummod	_	TokenRange=159:160
28	anos	ano	NOUN	NOUN	_	25	nmod	_	TokenRange=161:165
29	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=166:167
30	6	_	NUM	NUM	NumType=Card	31	nummod	_	TokenRange=168:169
31	meses	mês	NOUN	NOUN	_	28	conj	_	TokenRange=170:175
32	de	de	ADP	ADP	_	33	case	_	TokenRange=176:178
33	prisao	prisao	NOUN	NOUN	_	31	nmod	_	TokenRange=179:185
34-35	do	_	_	_	_	_	_	_	TokenRange=186:188
34	de	de	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	expresidente	expresidente	NOUN	NOUN	_	33	nmod	_	TokenRange=189:201
37	lula	lula	ADJ	ADJ	_	36	amod	_	TokenRange=202:206
38-39	pelo	_	_	_	_	_	_	_	TokenRange=207:211
38	por	por	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
40	juiz	juiz	NOUN	NOUN	_	25	nmod	_	TokenRange=212:216
41	segio	segio	NOUN	NOUN	_	40	appos	_	TokenRange=217:222
42	moro	moro	NOUN	NOUN	_	40	flat	_	TokenRange=223:227
43	teve	ter	VERB	VERB	_	1	parataxis	_	TokenRange=228:232
44	inicio	_	NOUN	NOUN	_	43	obj	_	TokenRange=233:239
45	nesta	_	ADP	ADP	_	46	case	_	TokenRange=240:245
46	quartafeira	_	NOUN	NOUN	_	43	nmod	_	TokenRange=246:257
47	24	_	NUM	NUM	NumType=Card	46	nmod	_	TokenRange=258:260
48	o	o	DET	DET	_	49	det	_	TokenRange=261:262
49	julgamento	julgamento	NOUN	NOUN	_	43	nsubj	_	TokenRange=263:273
50	de	de	ADP	ADP	_	52	case	_	TokenRange=274:276
51	sua	_	DET	DET	_	52	det:poss	_	TokenRange=277:280
52	pena	_	NOUN	NOUN	_	49	nmod	_	TokenRange=281:285
53	por	por	ADP	ADP	_	55	case	_	TokenRange=286:289
