# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lenha pra fogueira inimiga ao pedir tropas para proteger porto alegre no dia do julgamento de lula prefeito faz jogo do reu o pedido do prefeito de porto alegre nelson marchezan jr do psdb para o governo federal enviar tropas do exercito e homens da forca nacional para a cidade no dia do julgamento de lula e extemporaneo e fora de proposito so serve para por mais lenha na fogueira que o pt pretende armar nas ruas e parte do pressuposto de que ha clima para isso as mobilizacoes recentes tentando mostrar que o pt podera por fogo no pais se a condenacao de lula for
1	lenha	lenha	NOUN	NOUN	_	0	root	_	TokenRange=0:5
2	pra	_	ADP	ADP	_	3	case	_	TokenRange=6:9
3	fogueira	fogueira	NOUN	NOUN	_	1	nmod	_	TokenRange=10:18
4	inimiga	inimigo	ADJ	ADJ	_	3	amod	_	TokenRange=19:26
5-6	ao	_	_	_	_	_	_	_	TokenRange=27:29
5	a	a	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	pedir	pedir	VERB	VERB	_	22	advcl	_	TokenRange=30:35
8	tropas	tropa	NOUN	NOUN	_	7	obj	_	TokenRange=36:42
9	para	_	ADP	ADP	_	10	mark	_	TokenRange=43:47
10	proteger	proteger	VERB	VERB	_	7	advcl	_	TokenRange=48:56
11	porto	porto	NOUN	NOUN	_	10	obj	_	TokenRange=57:62
12	alegre	alegre	ADJ	ADJ	_	11	amod	_	TokenRange=63:69
13-14	no	_	_	_	_	_	_	_	TokenRange=70:72
13	em	em	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	dia	dia	NOUN	NOUN	_	10	nmod	_	TokenRange=73:76
16-17	do	_	_	_	_	_	_	_	TokenRange=77:79
16	de	de	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	julgamento	julgamento	NOUN	NOUN	_	15	nmod	_	TokenRange=80:90
19	de	de	ADP	ADP	_	20	case	_	TokenRange=91:93
20	lula	lula	NOUN	NOUN	_	18	nmod	_	TokenRange=94:98
21	prefeito	prefeito	NOUN	NOUN	_	22	nsubj	_	TokenRange=99:107
22	faz	fazer	VERB	VERB	_	1	parataxis	_	TokenRange=108:111
23	jogo	jogo	NOUN	NOUN	_	22	obj	_	TokenRange=112:116
24-25	do	_	_	_	_	_	_	_	TokenRange=117:119
24	de	de	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
