# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja confirma a partir desta semana inqueritos de lula estarao sob os cuidados de sergio moro a informacao exclusiva e da jornalista vera magalhaes do radar on line vera informou que o ministro teori zavascki vai encaminhar para o juiz sergio moro ainda esta semana os inqueritos de lula que estao no supremo o unico inquerito que ficara sob a tutela so stf sera o do grampo aquele em que dilma avisa lula que esta encaminhando um termo de posse para ele usar em caso de necessidade entendase prisao atraves do bessias lula estara a disposicao de sergio moro e o destino do expresidente a gente ja pode ate imaginar moro tem demonstrado que nao tem simpatia por criminosos independente da fama e cargos que ocupem estarao na republica de curitiba os inqueritos do sitio de atibaia e do triplex do guaruja que supostamente pertencem a lula e constituem casos de ocultacao de patrimonio e lavagem de dinheiro ahhh a tentativa de calar nestor cervero e atrapalhar as investigacoes da lavajato tambem estarao com o juiz implacavel
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	confirma	confirmar	VERB	VERB	_	1	ccomp	_	TokenRange=5:13
3	a	_	ADP	ADP	_	4	mark	_	TokenRange=14:15
4	partir	partir	VERB	VERB	_	10	nmod	_	TokenRange=16:22
5	desta	_	ADP	ADP	_	6	case	_	TokenRange=23:28
6	semana	semana	NOUN	NOUN	_	4	nmod	_	TokenRange=29:35
7	inqueritos	inquerito	NOUN	NOUN	_	10	nsubj	_	TokenRange=36:46
8	de	de	ADP	ADP	_	9	case	_	TokenRange=47:49
9	lula	lula	NOUN	NOUN	_	7	nmod	_	TokenRange=50:54
10	estarao	estar	VERB	VERB	_	2	ccomp	_	TokenRange=55:62
11	sob	_	ADP	ADP	_	13	case	_	TokenRange=63:66
12	os	o	DET	DET	_	13	det	_	TokenRange=67:69
13	cuidados	cuidado	NOUN	NOUN	_	10	nmod	_	TokenRange=70:78
14	de	de	ADP	ADP	_	15	case	_	TokenRange=79:81
15	sergio	sergio	NOUN	NOUN	_	13	nmod	_	TokenRange=82:88
16	moro	moro	NOUN	NOUN	_	15	flat	_	TokenRange=89:93
17	a	o	DET	DET	_	18	det	_	TokenRange=94:95
18	informacao	informacao	NOUN	NOUN	_	10	nsubj	_	TokenRange=96:106
19	exclusiva	exclusivo	ADJ	ADJ	_	18	amod	_	TokenRange=107:116
20	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=117:118
21-22	da	_	_	_	_	_	_	_	TokenRange=119:121
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	jornalista	jornalista	NOUN	NOUN	_	18	conj	_	TokenRange=122:132
24	vera	vera	NOUN	NOUN	_	23	appos	_	TokenRange=133:137
25	magalhaes	_	NOUN	NOUN	_	24	flat	_	TokenRange=138:147
26-27	do	_	_	_	_	_	_	_	TokenRange=148:150
26	de	de	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	radar	radar	NOUN	NOUN	_	23	nmod	_	TokenRange=151:156
29	on	_	X	NOUN	_	30	case	_	TokenRange=157:159
30	line	_	NOUN	NOUN	_	28	flat	_	TokenRange=160:164
31	vera	_	PROPN	NOUN	_	32	nsubj	_	TokenRange=165:169
32	informou	informar	VERB	VERB	_	2	conj	_	TokenRange=170:178
33	que	que	CCONJ	CONJ	_	39	mark	_	TokenRange=179:182
34	o	o	DET	DET	_	35	det	_	TokenRange=183:184
35	ministro	ministro	NOUN	NOUN	_	39	nsubj	_	TokenRange=185:193
36	teori	_	NOUN	NOUN	_	35	appos	_	TokenRange=194:199
37	zavascki	_	PROPN	PNOUN	_	36	flat	_	TokenRange=200:208
38	vai	ir	AUX	AUX	_	39	aux	_	TokenRange=209:212
39	encaminhar	encaminhar	VERB	VERB	_	32	ccomp	_	TokenRange=213:223
40	para	para	ADP	ADP	_	42	case	_	TokenRange=224:228
41	o	o	DET	DET	_	42	det	_	TokenRange=229:230
42	juiz	juiz	NOUN	NOUN	_	39	nmod	_	TokenRange=231:235
43	sergio	sergio	NOUN	NOUN	_	42	appos	_	TokenRange=236:242
44	moro	moro	NOUN	NOUN	_	42	flat	_	TokenRange=243:247
45	ainda	ainda	ADV	ADV	_	47	advmod	_	TokenRange=248:253
46	esta	_	DET	DET	_	47	det	_	TokenRange=254:258
47	semana	semana	NOUN	NOUN	_	39	nmod	_	TokenRange=259:265
48	os	o	DET	DET	_	49	det	_	TokenRange=266:268
49	inqueritos	inquerito	NOUN	NOUN	_	39	obj	_	TokenRange=269:279
50	de	de	ADP	ADP	_	51	case	_	TokenRange=280:282
51	lula	lula	NOUN	NOUN	_	49	nmod	_	TokenRange=283:287
52	que	_	PRON	PRON	_	53	nsubj	_	TokenRange=288:291
53	estao	_	VERB	VERB	_	49	acl:relcl	_	TokenRange=292:297
54-55	no	_	_	_	_	_	_	_	TokenRange=298:300
54	em	em	ADP	ADP	_	56	case	_	_
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
56	supremo	supremo	NOUN	NOUN	_	53	nmod	_	TokenRange=301:308
57	o	o	DET	DET	_	59	det	_	TokenRange=309:310
58	unico	unico	ADJ	ADJ	_	59	amod	_	TokenRange=311:316
59	inquerito	inquerito	NOUN	NOUN	_	39	nsubj	_	TokenRange=317:326
60	que	_	PRON	PRON	_	61	nsubj	_	TokenRange=327:330
61	ficara	ficar	VERB	VERB	_	59	acl:relcl	_	TokenRange=331:337
62	sob	_	ADP	ADP	_	64	case	_	TokenRange=338:341
63	a	o	DET	DET	_	64	det	_	TokenRange=342:343
64	tutela	tutela	NOUN	NOUN	_	61	nmod	_	TokenRange=344:350
65	so	_	X	ADPPRON	_	66	case	_	TokenRange=351:353
66	stf	_	NOUN	NOUN	_	64	appos	_	TokenRange=354:357
67	sera	_	AUX	AUX	_	68	cop	_	TokenRange=358:362
68	o	_	PRON	PRON	_	32	ccomp	_	TokenRange=363:364
69-70	do	_	_	_	_	_	_	_	TokenRange=365:367
69	de	de	ADP	ADP	_	71	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_
71	grampo	grampo	NOUN	NOUN	_	68	nmod	_	TokenRange=368:374
72	aquele	_	PRON	PRON	_	68	nsubj	_	TokenRange=375:381
73	em	em	ADP	ADP	_	74	case	_	TokenRange=382:384
74	que	_	PRON	PRON	_	76	nmod	_	TokenRange=385:388
75	dilma	_	NOUN	NOUN	_	76	nsubj	_	TokenRange=389:394
76	avisa	avisar	VERB	VERB	_	72	acl:relcl	_	TokenRange=395:400
77	lula	_	NOUN	NOUN	_	76	obj	_	TokenRange=401:405
78	que	_	PRON	PRON	_	80	nsubj	_	TokenRange=406:409
79	esta	_	AUX	AUX	_	80	aux	_	TokenRange=410:414
80	encaminhando	encaminhar	VERB	VERB	_	72	acl:relcl	_	TokenRange=415:427
81	um	um	DET	DET	_	82	det	_	TokenRange=428:430
82	termo	termo	NOUN	NOUN	_	80	obj	_	TokenRange=431:436
83	de	de	ADP	ADP	_	84	case	_	TokenRange=437:439
84	posse	posse	NOUN	NOUN	_	82	nmod	_	TokenRange=440:445
85	para	_	ADP	ADP	_	87	mark	_	TokenRange=446:450
86	ele	_	PRON	PRON	_	87	nsubj	_	TokenRange=451:454
87	usar	usar	VERB	VERB	_	82	nmod	_	TokenRange=455:459
88	em	em	ADP	ADP	_	89	case	_	TokenRange=460:462
89	caso	caso	NOUN	NOUN	_	80	nmod	_	TokenRange=463:467
90	de	de	ADP	ADP	_	91	case	_	TokenRange=468:470
91	necessidade	necessidade	NOUN	NOUN	_	89	nmod	_	TokenRange=471:482
92	entendase	entendasar	VERB	VERB	_	76	advcl	_	TokenRange=483:492
93	prisao	prisao	NOUN	NOUN	_	92	obj	_	TokenRange=493:499
94	atraves	atraves	ADV	ADV	_	92	advmod	_	TokenRange=500:507
95-96	do	_	_	_	_	_	_	_	TokenRange=508:510
95	de	de	ADP	ADP	_	97	case	_	_
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	97	det	_	_
97	bessias	_	NOUN	NOUN	_	94	nmod	_	TokenRange=511:518
98	lula	lula	NOUN	NOUN	_	80	nsubj	_	TokenRange=519:523
99	estara	estar	VERB	VERB	_	72	acl:relcl	_	TokenRange=524:530
100	a	o	DET	DET	_	101	det	_	TokenRange=531:532
101	disposicao	disposicao	NOUN	NOUN	_	99	nsubj	_	TokenRange=533:543
102	de	de	ADP	ADP	_	103	case	_	TokenRange=544:546
103	sergio	sergio	NOUN	NOUN	_	101	nmod	_	TokenRange=547:553
104	moro	moro	NOUN	NOUN	_	103	flat	_	TokenRange=554:558
105	e	e	CCONJ	CONJ	_	178	cc	_	TokenRange=559:560
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	178	det	_	TokenRange=561:562
107	destino	destino	NOUN	NOUN	_	185	nsubj	_	TokenRange=563:570
108-109	do	_	_	_	_	_	_	_	TokenRange=571:573
108	de	de	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	expresidente	expresidente	NOUN	NOUN	_	107	nmod	_	TokenRange=574:586
111	a	o	DET	DET	_	112	det	_	TokenRange=587:588
112	gente	gente	NOUN	NOUN	_	116	nsubj	_	TokenRange=589:594
113	ja	ja	ADV	ADV	_	116	advmod	_	TokenRange=595:597
114	pode	_	AUX	AUX	_	116	aux	_	TokenRange=598:602
115	ate	ate	ADV	ADV	_	116	advmod	_	TokenRange=603:606
116	imaginar	imaginar	VERB	VERB	_	39	conj	_	TokenRange=607:615
117	moro	moro	NOUN	NOUN	_	116	obj	_	TokenRange=616:620
118	tem	ter	AUX	AUX	_	119	aux	_	TokenRange=621:624
119	demonstrado	demonstrar	VERB	VERB	_	32	conj	_	TokenRange=625:636
120	que	que	CCONJ	CONJ	_	122	mark	_	TokenRange=637:640
121	nao	nao	ADV	ADV	Polarity=Neg	122	advmod	_	TokenRange=641:644
122	tem	ter	VERB	VERB	_	119	ccomp	_	TokenRange=645:648
123	simpatia	simpatia	NOUN	NOUN	_	122	obj	_	TokenRange=649:657
124	por	por	ADP	ADP	_	125	case	_	TokenRange=658:661
125	criminosos	criminoso	NOUN	NOUN	_	123	nmod	_	TokenRange=662:672
126	independente	_	ADV	ADV	_	39	advmod	_	TokenRange=673:685
127-128	da	_	_	_	_	_	_	_	TokenRange=686:688
127	de	de	ADP	ADP	_	129	case	_	_
128	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	129	det	_	_
129	fama	fama	NOUN	NOUN	_	126	nmod	_	TokenRange=689:693
130	e	e	CCONJ	CONJ	_	131	cc	_	TokenRange=694:695
131	cargos	cargo	NOUN	NOUN	_	129	conj	_	TokenRange=696:702
132	que	_	PRON	PRON	_	133	obj	_	TokenRange=703:706
133	ocupem	ocupar	VERB	VERB	_	131	acl:relcl	_	TokenRange=707:713
134	estarao	estar	VERB	VERB	_	49	acl:relcl	_	TokenRange=714:721
135-136	na	_	_	_	_	_	_	_	TokenRange=722:724
135	em	em	ADP	ADP	_	137	case	_	_
136	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	137	det	_	_
137	republica	_	NOUN	NOUN	_	134	nmod	_	TokenRange=725:734
138	de	de	ADP	ADP	_	139	case	_	TokenRange=735:737
139	curitiba	curitiba	NOUN	NOUN	_	137	nmod	_	TokenRange=738:746
140	os	o	DET	DET	_	141	det	_	TokenRange=747:749
141	inqueritos	inquerito	NOUN	NOUN	_	39	nsubj	_	TokenRange=750:760
142-143	do	_	_	_	_	_	_	_	TokenRange=761:763
142	de	de	ADP	ADP	_	144	case	_	_
143	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	144	det	_	_
144	sitio	sitio	NOUN	NOUN	_	141	nmod	_	TokenRange=764:769
145	de	de	ADP	ADP	_	146	case	_	TokenRange=770:772
146	atibaia	atibaia	NOUN	NOUN	_	144	nmod	_	TokenRange=773:780
147	e	e	CCONJ	CONJ	_	150	cc	_	TokenRange=781:782
148-149	do	_	_	_	_	_	_	_	TokenRange=783:785
148	de	de	ADP	ADP	_	150	case	_	_
149	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	150	det	_	_
150	triplex	_	NOUN	NOUN	_	129	conj	_	TokenRange=786:793
151-152	do	_	_	_	_	_	_	_	TokenRange=794:796
151	de	de	ADP	ADP	_	153	case	_	_
152	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	153	det	_	_
153	guaruja	guaruja	NOUN	NOUN	_	150	nmod	_	TokenRange=797:804
154	que	_	PRON	PRON	_	156	nsubj	_	TokenRange=805:808
155	supostamente	supostamente	ADV	ADV	_	156	advmod	_	TokenRange=809:821
156	pertencem	pertencer	VERB	VERB	_	49	acl:relcl	_	TokenRange=822:831
157	a	_	ADP	ADP	_	158	case	_	TokenRange=832:833
158	lula	lula	NOUN	NOUN	_	156	nmod	_	TokenRange=834:838
159	e	e	CCONJ	CONJ	_	160	cc	_	TokenRange=839:840
160	constituem	constituir	VERB	VERB	_	156	conj	_	TokenRange=841:851
161	casos	caso	NOUN	NOUN	_	160	obj	_	TokenRange=852:857
162	de	de	ADP	ADP	_	163	case	_	TokenRange=858:860
163	ocultacao	ocultacao	NOUN	NOUN	_	161	nmod	_	TokenRange=861:870
164	de	de	ADP	ADP	_	165	case	_	TokenRange=871:873
165	patrimonio	patrimonio	NOUN	NOUN	_	163	nmod	_	TokenRange=874:884
166	e	e	CCONJ	CONJ	_	167	cc	_	TokenRange=885:886
167	lavagem	lavagem	NOUN	NOUN	_	165	conj	_	TokenRange=887:894
168	de	de	ADP	ADP	_	169	case	_	TokenRange=895:897
169	dinheiro	dinheiro	NOUN	NOUN	_	167	nmod	_	TokenRange=898:906
170	ahhh	_	X	X	_	76	dep	_	TokenRange=907:911
171	a	o	DET	DET	_	172	det	_	TokenRange=912:913
172	tentativa	_	NOUN	NOUN	_	185	nsubj	_	TokenRange=914:923
173	de	_	ADP	ADP	_	174	mark	_	TokenRange=924:926
174	calar	calar	VERB	VERB	_	172	nmod	_	TokenRange=927:932
175	nestor	nestor	NOUN	NOUN	_	174	obj	_	TokenRange=933:939
176	cervero	cervero	NOUN	NOUN	_	175	flat	_	TokenRange=940:947
177	e	e	CCONJ	CONJ	_	178	cc	_	TokenRange=948:949
178	atrapalhar	atrapalhar	VERB	VERB	_	174	conj	_	TokenRange=950:960
179	as	o	DET	DET	_	180	det	_	TokenRange=961:963
180	investigacoes	investigacoe	NOUN	NOUN	_	178	obj	_	TokenRange=964:977
181-182	da	_	_	_	_	_	_	_	TokenRange=978:980
181	de	de	ADP	ADP	_	183	case	_	_
182	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	183	det	_	_
183	lavajato	lavajato	NOUN	NOUN	_	180	nmod	_	TokenRange=981:989
184	tambem	tambem	ADV	ADV	_	185	advmod	_	TokenRange=990:996
185	estarao	estar	VERB	VERB	_	68	conj	_	TokenRange=997:1004
186	com	com	ADP	ADP	_	188	case	_	TokenRange=1005:1008
187	o	o	DET	DET	_	188	det	_	TokenRange=1009:1010
188	juiz	juiz	NOUN	NOUN	_	185	nmod	_	TokenRange=1011:1015
189	implacavel	implacavel	ADJ	ADJ	_	188	amod	_	TokenRange=1016:1026

