# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na onda da lava jato policiais federais planejam se candidatar em 18 estados a fotografia do expresidente da camara eduardo cunha pmdbrj caminhando com o semblante preocupado em direcao ao aviao que o levaria para curitiba em 19 de outubro de 2016 pode ser o registro em imagem da morte da sua carreira politica gracas a uma decisao do juiz federal sergio moro o exdeputado trocaria naquele momento os gabinetes de brasilia por uma cela de cadeia do parana um passo atras aparece no retrato o agente da policia federal lucas valenca a pinta de gala despertou curiosidade o coque amarrado no topo da cabeca no estilo samurai e a barba cerrada renderam os apelidos de lenhador da federal e hipster da federal estrangeirismo ingles que define a pessoa que inventa moda a cena no aeroporto da capital pode ser a certidao de nascimento da sua carreira politica o hipster pensa em ser deputado assim como valenca cerca de 30 agentes e delegados da pf pretendem se aventurar nas eleicoes de 2018 a fenapef federacao nacional dos policiais federais que representa todas as carreiras da pf
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	onda	onda	NOUN	NOUN	_	10	nmod	_	TokenRange=3:7
4-5	da	_	_	_	_	_	_	_	TokenRange=8:10
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	lava	lava	NOUN	NOUN	_	3	nmod	_	TokenRange=11:15
7	jato	jato	ADV	ADV	_	10	advmod	_	TokenRange=16:20
8	policiais	policial	NOUN	NOUN	_	10	nsubj	_	TokenRange=21:30
9	federais	federal	ADJ	ADJ	_	8	amod	_	TokenRange=31:39
10	planejam	planejar	VERB	VERB	_	0	root	_	TokenRange=40:48
11	se	_	PRON	PRON	_	12	obj	_	TokenRange=49:51
12	candidatar	candidatar	VERB	VERB	_	10	xcomp	_	TokenRange=52:62
13	em	em	ADP	ADP	_	15	case	_	TokenRange=63:65
14	18	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=66:68
15	estados	estado	NOUN	NOUN	_	12	nmod	_	TokenRange=69:76
16	a	o	DET	DET	_	17	det	_	TokenRange=77:78
17	fotografia	fotografia	NOUN	NOUN	_	10	nsubj	_	TokenRange=79:89
18-19	do	_	_	_	_	_	_	_	TokenRange=90:92
18	de	de	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	expresidente	expresidente	NOUN	NOUN	_	17	nmod	_	TokenRange=93:105
21-22	da	_	_	_	_	_	_	_	TokenRange=106:108
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	camara	camara	NOUN	NOUN	_	20	nmod	_	TokenRange=109:115
24	eduardo	eduardo	NOUN	NOUN	_	20	appos	_	TokenRange=116:123
25	cunha	cunha	PROPN	NOUN	_	24	flat	_	TokenRange=124:129
26	pmdbrj	_	NOUN	NOUN	_	24	flat	_	TokenRange=130:136
27	caminhando	caminhar	VERB	VERB	_	24	acl	_	TokenRange=137:147
