1 pgr pgr 2 NOUN nsubj
2 pedira pedirar 0 VERB root
3 informacoes informacoe 2 NOUN obj
4 sobre sobre 5 ADP case
5 contas conta 3 NOUN nmod
6 em em 8 ADP case
7 o o 8 DET det
8 exterior exterior 5 NOUN nmod
9 que que 12 PRON nsubj
10 podem podem 12 AUX aux
11 ter ter 12 AUX aux
12 abastecido abastecer 5 VERB acl:relcl
13 o o 14 DET det
14 pt pt 12 NOUN obj
15 em em 17 ADP case
16 o o 17 DET det
17 acordo acordo 12 NOUN nmod
18 de de 19 ADP case
19 delacao delacao 17 NOUN nmod
20 premiada premiar 19 ADJ acl
21 joesley joesley 27 NOUN nsubj
22 batista batista 21 ADJ flat
23 dono dono 21 NOUN appos
24 de de 26 ADP case
25 a o 26 DET det
26 jbs jbs 23 NOUN nmod
27 disse dizer 2 VERB parataxis
28 que que 36 CCONJ mark
29 contas conta 36 NOUN nsubj
30 usadas usar 29 VERB acl
31 em em 33 ADP case
32 a o 33 DET det
33 suica suica 30 NOUN nmod
34 chegaram chegar 36 AUX aux
35 a a 36 ADP mark
36 ter ter 27 VERB ccomp
37 us us 36 NOUN obj
38 150 150 39 NUM nummod
39 milhoes milhoes 36 NUM obj
40 e e 41 CCONJ cc
41 abasteceram abastecer 36 VERB conj
42 campanhas campanha 41 NOUN obj
43 de de 44 ADP case
44 lula lula 42 NOUN nmod
45 e e 46 CCONJ cc
46 dilma dilma 44 NOUN conj
47 a o 48 DET det
48 procuradoriageral procuradoriageral 53 NOUN nsubj
49 de de 51 ADP case
50 a o 51 DET det
51 republica republica 48 NOUN nmod
52 vai ir 53 AUX aux
53 pedir pedir 27 VERB ccomp
54 informacoes informacoe 53 NOUN obj
55 as as 56 ADP case
56 autoridades autoridade 53 NOUN iobj
57 de de 59 ADP case
58 os o 59 DET det
59 estados estado 56 NOUN nmod
60 unidos unido 59 ADJ amod
61 e e 64 CCONJ cc
62 de de 64 ADP case
63 a o 64 DET det
64 suica suica 59 NOUN conj
65 sobre sobre 67 ADP case
66 as o 67 DET det
67 contas conta 56 NOUN nmod
68 bancarias bancario 67 ADJ amod
69 que que 79 PRON nsubj
70 segundo segundo 72 ADP case
71 a o 72 DET det
72 delacao delacao 79 NOUN nmod
73 de de 74 ADP case
74 joesley joesley 72 NOUN nmod
75 batista batista 74 ADJ amod
76 de de 78 ADP case
77 a o 78 DET det
78 jbs jbs 74 NOUN nmod
79 abasteceram abastecer 67 VERB acl:relcl
80 campanhas campanha 79 NOUN obj
81 de de 83 ADP case
82 o o 83 DET det
83 pt pt 80 NOUN nmod
84 as o 85 DET det
85 contas conta 169 NOUN nsubj
86 em em 88 ADP case
87 a o 88 DET det
88 suica suica 85 NOUN nmod
89 foram foram 90 AUX aux:pass
90 abertas abrir 182 VERB ccomp
91 em em 92 ADP case
92 2009 2009 90 NUM nmod
93 e e 195 CCONJ cc
94 em em 95 ADP case
95 2014 2014 195 NUM nmod
96 em em 98 ADP case
97 a o 98 DET det
98 delacao delacao 169 NOUN nmod
99 o o 100 DET det
100 dono dono 195 NOUN nsubj
101 de de 103 ADP case
102 a o 103 DET det
103 jbs jbs 100 NOUN nmod
104 joesley joesley 190 NOUN appos
105 batista batista 104 NOUN flat
106 contou contar 2 VERB conj
107 que que 110 CCONJ mark
108 elas elas 110 PRON nsubj:pass
109 foram foram 110 AUX aux:pass
110 usadas usar 106 VERB ccomp
111 para para 112 ADP mark
112 movimentar movimentar 110 VERB advcl
113 dinheiro dinheiro 112 NOUN obj
114 ilegal ilegal 113 ADJ amod
115 para para 117 ADP case
116 as o 117 DET det
117 campanhas campanha 112 NOUN nmod
118 de de 120 ADP case
119 os o 120 DET det
120 expresidentes expresidente 117 NOUN nmod
121 luiz luiz 120 NOUN appos
122 inacio inacio 121 NOUN flat
123 lula lula 121 PROPN appos
124 de de 126 ADP case
125 a o 126 DET det
126 silva silva 121 NOUN nmod
127 e e 128 CCONJ cc
128 dilma dilma 44 NOUN conj
129 rousseff rousseff 128 NOUN flat
130 leia ler 27 VERB ccomp
131 a a 133 ADP case
132 o o 133 DET det
133 final final 130 NOUN nmod
134 desta desta 135 ADP case
135 reportagem reportagem 133 NOUN nmod
136 as o 137 DET det
137 versoes versoe 130 NOUN obj
138 de de 139 ADP case
139 lula lula 137 NOUN nmod
140 e e 141 CCONJ cc
141 dilma dilma 139 NOUN conj
142 sobre sobre 144 ADP case
143 o o 144 DET det
144 assunto assunto 137 NOUN nmod
145 segundo segundo 147 ADP case
146 o o 147 DET det
147 jornal jornal 41 NOUN nmod
148 o o 149 DET det
149 estado estado 147 NOUN appos
150 de de 152 ADP case
151 s s 149 DET nmod
152 paulo paulo 149 NOUN nmod
153 a o 154 DET det
154 suica suica 155 NOUN nsubj
155 detectou detectar 2 VERB parataxis
156 transacoes transacoe 155 NOUN obj
157 atipicas atipico 156 ADJ amod
158 e e 169 CCONJ cc
159 antes antes 163 ADV case
160 mesmo mesmo 163 ADV advmod
161 de de 163 ADP case
162 a o 163 DET det
163 delacao delacao 169 NOUN nmod
164 o o 165 DET det
165 banco banco 169 NOUN nsubj
166 suico suico 165 ADJ amod
167 julius julius 165 PROPN appos
168 baer baer 167 NOUN flat
169 denunciou denunciar 155 VERB conj
170 o o 171 DET det
