# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nos avisamos caiu mais um ministro enrolado na lavajato conforme anunciamos no inicio desta tarde o ministro do turismo henrique eduardo alves pediu demissao do governo temer alves pediu demissao do cargo de ministro do turismo agora pouco a confirmacao foi feita pela sip secretaria de imprensa da presidencia da republica que ainda nao informou os motivos da demissao alves foi o terceiro ministro do novo governo a deixar o cargo o primeiro foi o senador romero juca que entregou o cargo de ministro do planejamento em 23/5 fabiano silveira ministro da transparencia citado em audio de sergio machado tambem pediu demissao no dia 30/05 ambos juca e silveira perderam seus cargos porque foram citados em gravacoes produzidas por sergio machado expresidente da transpetro e agora ao que tudo indica henrique tambem se afastou devidos as implicacoes na operacao lavajato
1-2	nos	_	_	_	_	_	_	_	TokenRange=0:3
1	em	em	ADP	ADP	_	3	case	_	_
2	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	3	det	_	_
3	avisamos	avisamo	NOUN	NOUN	_	4	nmod	_	TokenRange=4:12
4	caiu	cair	VERB	VERB	_	0	root	_	TokenRange=13:17
5	mais	mais	ADV	ADV	_	6	advmod	_	TokenRange=18:22
6	um	_	NUM	NUM	NumType=Card	7	nummod	_	TokenRange=23:25
7	ministro	ministro	NOUN	NOUN	_	4	nsubj	_	TokenRange=26:34
8	enrolado	enrolar	VERB	VERB	_	7	acl	_	TokenRange=35:43
9-10	na	_	_	_	_	_	_	_	TokenRange=44:46
9	em	em	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	lavajato	lavajato	NOUN	NOUN	_	8	nmod	_	TokenRange=47:55
12	conforme	_	CCONJ	CONJ	_	13	mark	_	TokenRange=56:64
13	anunciamos	anunciar	VERB	VERB	_	4	advcl	_	TokenRange=65:75
14-15	no	_	_	_	_	_	_	_	TokenRange=76:78
14	em	em	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	inicio	_	NOUN	NOUN	_	13	nmod	_	TokenRange=79:85
17	desta	_	ADP	ADP	_	18	case	_	TokenRange=86:91
18	tarde	tarde	NOUN	NOUN	_	16	nmod	_	TokenRange=92:97
19	o	o	DET	DET	_	20	det	_	TokenRange=98:99
20	ministro	ministro	NOUN	NOUN	_	27	nsubj	_	TokenRange=100:108
21-22	do	_	_	_	_	_	_	_	TokenRange=109:111
21	de	de	ADP	ADP	_	23	case	_	_
22	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
23	turismo	turismo	NOUN	NOUN	_	20	nmod	_	TokenRange=112:119
24	henrique	henrique	NOUN	NOUN	_	20	appos	_	TokenRange=120:128
25	eduardo	eduardo	NOUN	NOUN	_	24	flat	_	TokenRange=129:136
26	alves	alves	ADJ	ADJ	_	24	flat	_	TokenRange=137:142
27	pediu	pedir	VERB	VERB	_	4	parataxis	_	TokenRange=143:148
28	demissao	demissao	NOUN	NOUN	_	27	obj	_	TokenRange=149:157
29-30	do	_	_	_	_	_	_	_	TokenRange=158:160
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	governo	governo	NOUN	NOUN	_	28	nmod	_	TokenRange=161:168
32	temer	temer	NOUN	NOUN	_	31	appos	_	TokenRange=169:174
33	alves	alves	NOUN	NOUN	_	32	flat	_	TokenRange=175:180
34	pediu	pedir	VERB	VERB	_	27	conj	_	TokenRange=181:186
35	demissao	demissao	NOUN	NOUN	_	34	obj	_	TokenRange=187:195
36-37	do	_	_	_	_	_	_	_	TokenRange=196:198
36	de	de	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	cargo	cargo	NOUN	NOUN	_	35	nmod	_	TokenRange=199:204
39	de	de	ADP	ADP	_	40	case	_	TokenRange=205:207
40	ministro	ministro	NOUN	NOUN	_	38	nmod	_	TokenRange=208:216
41-42	do	_	_	_	_	_	_	_	TokenRange=217:219
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	turismo	turismo	NOUN	NOUN	_	40	nmod	_	TokenRange=220:227
44	agora	agora	ADV	ADV	_	49	advmod	_	TokenRange=228:233
45	pouco	pouco	ADV	ADV	_	49	advmod	_	TokenRange=234:239
46	a	o	DET	DET	_	47	det	_	TokenRange=240:241
47	confirmacao	confirmacao	NOUN	NOUN	_	49	nsubj:pass	_	TokenRange=242:253
48	foi	_	AUX	AUX	_	49	aux:pass	_	TokenRange=254:257
49	feita	_	VERB	VERB	_	27	parataxis	_	TokenRange=258:263
50-51	pela	_	_	_	_	_	_	_	TokenRange=264:268
50	por	por	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	sip	sip	NOUN	NOUN	_	49	nmod	_	TokenRange=269:272
53	secretaria	secretaria	NOUN	NOUN	_	52	appos	_	TokenRange=273:283
54	de	de	ADP	ADP	_	55	case	_	TokenRange=284:286
55	imprensa	imprensa	NOUN	NOUN	_	53	nmod	_	TokenRange=287:295
56-57	da	_	_	_	_	_	_	_	TokenRange=296:298
56	de	de	ADP	ADP	_	58	case	_	_
57	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	58	det	_	_
58	presidencia	presidencia	NOUN	NOUN	_	52	nmod	_	TokenRange=299:310
59-60	da	_	_	_	_	_	_	_	TokenRange=311:313
59	de	de	ADP	ADP	_	61	case	_	_
60	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	61	det	_	_
61	republica	_	NOUN	NOUN	_	58	nmod	_	TokenRange=314:323
62	que	_	PRON	PRON	_	65	nsubj	_	TokenRange=324:327
63	ainda	ainda	ADV	ADV	_	65	advmod	_	TokenRange=328:333
64	nao	nao	ADV	ADV	Polarity=Neg	65	advmod	_	TokenRange=334:337
65	informou	informar	VERB	VERB	_	88	acl:relcl	_	TokenRange=338:346
66	os	o	DET	DET	_	67	det	_	TokenRange=347:349
67	motivos	_	NOUN	NOUN	_	65	obj	_	TokenRange=350:357
68-69	da	_	_	_	_	_	_	_	TokenRange=358:360
68	de	de	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	demissao	demissao	NOUN	NOUN	_	67	nmod	_	TokenRange=361:369
71	alves	alves	ADV	NOUN	_	70	appos	_	TokenRange=370:375
72	foi	_	AUX	AUX	_	75	cop	_	TokenRange=376:379
73	o	o	DET	DET	_	75	det	_	TokenRange=380:381
74	terceiro	_	ADJ	ADJ	_	75	amod	_	TokenRange=382:390
75	ministro	ministro	NOUN	NOUN	_	52	acl:relcl	_	TokenRange=391:399
76-77	do	_	_	_	_	_	_	_	TokenRange=400:402
76	de	de	ADP	ADP	_	79	case	_	_
77	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	_
78	novo	novo	ADJ	ADJ	_	79	amod	_	TokenRange=403:407
79	governo	governo	NOUN	NOUN	_	75	nmod	_	TokenRange=408:415
80	a	_	ADP	ADP	_	81	mark	_	TokenRange=416:417
81	deixar	deixar	VERB	VERB	_	75	nmod	_	TokenRange=418:424
82	o	o	DET	DET	_	83	det	_	TokenRange=425:426
83	cargo	cargo	NOUN	NOUN	_	81	obj	_	TokenRange=427:432
84	o	o	DET	DET	_	85	det	_	TokenRange=433:434
85	primeiro	primeiro	NOUN	NOUN	_	151	nsubj	_	TokenRange=435:443
86	foi	_	AUX	AUX	_	88	cop	_	TokenRange=444:447
87	o	o	DET	DET	_	88	det	_	TokenRange=448:449
88	senador	senador	NOUN	NOUN	_	49	nsubj:pass	_	TokenRange=450:457
89	romero	romero	NOUN	NOUN	_	88	appos	_	TokenRange=458:464
90	juca	juca	NOUN	NOUN	_	89	flat	_	TokenRange=465:469
91	que	_	PRON	PRON	_	92	nsubj	_	TokenRange=470:473
92	entregou	entregar	VERB	VERB	_	88	acl:relcl	_	TokenRange=474:482
93	o	o	DET	DET	_	94	det	_	TokenRange=483:484
94	cargo	cargo	NOUN	NOUN	_	92	obj	_	TokenRange=485:490
95	de	de	ADP	ADP	_	96	case	_	TokenRange=491:493
96	ministro	ministro	NOUN	NOUN	_	94	nmod	_	TokenRange=494:502
97-98	do	_	_	_	_	_	_	_	TokenRange=503:505
97	de	de	ADP	ADP	_	99	case	_	_
98	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	99	det	_	_
99	planejamento	planejamento	NOUN	NOUN	_	96	nmod	_	TokenRange=506:518
100	em	em	ADP	ADP	_	101	case	_	TokenRange=519:521
101	23/5	_	NUM	NUM	NumType=Card	92	nmod	_	TokenRange=522:526
102	fabiano	fabiano	NOUN	NOUN	_	101	appos	_	TokenRange=527:534
103	silveira	silveiro	ADJ	ADJ	_	102	amod	_	TokenRange=535:543
104	ministro	ministro	NOUN	NOUN	_	101	appos	_	TokenRange=544:552
105-106	da	_	_	_	_	_	_	_	TokenRange=553:555
105	de	de	ADP	ADP	_	107	case	_	_
106	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
107	transparencia	transparencia	NOUN	NOUN	_	104	nmod	_	TokenRange=556:569
108	citado	citar	VERB	VERB	_	20	acl	_	TokenRange=570:576
109	em	em	ADP	ADP	_	110	case	_	TokenRange=577:579
110	audio	audio	NOUN	NOUN	_	108	nmod	_	TokenRange=580:585
111	de	de	ADP	ADP	_	112	case	_	TokenRange=586:588
112	sergio	_	PROPN	NOUN	_	110	nmod	_	TokenRange=589:595
113	machado	machado	PROPN	PNOUN	_	112	flat	_	TokenRange=596:603
114	tambem	tambem	ADV	ADV	_	115	advmod	_	TokenRange=604:610
115	pediu	pedir	VERB	VERB	_	4	parataxis	_	TokenRange=611:616
116	demissao	demissao	NOUN	NOUN	_	115	obj	_	TokenRange=617:625
117-118	no	_	_	_	_	_	_	_	TokenRange=626:628
117	em	em	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	dia	dia	NOUN	NOUN	_	115	nmod	_	TokenRange=629:632
120	30/05	_	NUM	NUM	NumType=Card	119	nmod	_	TokenRange=633:638
121	ambos	_	DET	PRON	_	122	det	_	TokenRange=639:644
122	juca	juca	NOUN	NOUN	_	125	nsubj	_	TokenRange=645:649
123	e	e	CCONJ	CONJ	_	124	cc	_	TokenRange=650:651
124	silveira	silveiro	NOUN	NOUN	_	122	conj	_	TokenRange=652:660
125	perderam	perder	VERB	VERB	_	115	conj	_	TokenRange=661:669
