# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dirceu da o troco em lula comecou a briga no comando da republica do pixuleco em recente declaracao o expresidente lula da sila disse que a responsabilidade pela nomeacao dos dirigentes das estatais no seu governo inclusive da petrobras era da responsabilidade do chefe da casa civil hoje falando em nome de seu cliente o advogado de ze dirceu disse que o poder de decisao nao era da casa civil mas sim do presidente da republica veja tambem
1	dirceu	dircer	VERB	VERB	_	0	root	_	TokenRange=0:6
2-3	da	_	_	_	_	_	_	_	TokenRange=7:9
2	de	de	ADP	ADP	_	5	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
4	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	5	det	_	TokenRange=10:11
5	troco	troco	NOUN	NOUN	_	1	nmod	_	TokenRange=12:17
6	em	em	ADP	ADP	_	7	case	_	TokenRange=18:20
7	lula	lula	NOUN	NOUN	_	5	nmod	_	TokenRange=21:25
8	comecou	comecar	VERB	VERB	_	1	parataxis	_	TokenRange=26:33
9	a	o	DET	DET	_	10	det	_	TokenRange=34:35
10	briga	briga	NOUN	NOUN	_	8	nsubj	_	TokenRange=36:41
11-12	no	_	_	_	_	_	_	_	TokenRange=42:44
11	em	em	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	comando	comando	NOUN	NOUN	_	10	nmod	_	TokenRange=45:52
14-15	da	_	_	_	_	_	_	_	TokenRange=53:55
14	de	de	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	republica	_	NOUN	NOUN	_	13	nmod	_	TokenRange=56:65
17-18	do	_	_	_	_	_	_	_	TokenRange=66:68
17	de	de	ADP	ADP	_	19	case	_	_
18	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	19	det	_	_
19	pixuleco	pixuleco	NOUN	NOUN	_	13	nmod	_	TokenRange=69:77
20	em	em	ADP	ADP	_	22	case	_	TokenRange=78:80
21	recente	recente	ADJ	ADJ	_	22	amod	_	TokenRange=81:88
22	declaracao	declaracao	NOUN	NOUN	_	8	nmod	_	TokenRange=89:99
23	o	o	DET	DET	_	24	det	_	TokenRange=100:101
