# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja a repercussao da condenacao de lula em 2 instancia desembargadores votaram por unanimidade pela manutencao da condenacao do expresidente e pelo aumento da pena defesa do petista ainda pode entrar com recursos o expresidente luiz inacio lula da silva foi condenado nesta quartafeira 24 em segunda instancia pela 8 turma do tribunal regional federal da 4 regiao trf4 em porto alegre todos os tres desembargadores do trf4 votaram por manter a condenacao de lula por corrupcao passiva e lavagem de dinheiro a defesa do petista pode entrar com recursos no proprio tribunal ou em instancias superiores stj e stf o expresidente nao sera preso de imediato lula pode manter uma eventual candidatura a presidencia enquanto houver recursos pendentes contra a condenacao o relator do processo desembargador joao pedro gebran neto determinou ainda o aumento da pena do petista para 12 anos
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	repercussao	repercussao	NOUN	NOUN	_	1	obj	_	TokenRange=7:18
4-5	da	_	_	_	_	_	_	_	TokenRange=19:21
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	condenacao	condenacao	NOUN	NOUN	_	3	nmod	_	TokenRange=22:32
7	de	de	ADP	ADP	_	8	case	_	TokenRange=33:35
8	lula	lula	NOUN	NOUN	_	6	nmod	_	TokenRange=36:40
9	em	em	ADP	ADP	_	11	case	_	TokenRange=41:43
10	2	_	NUM	NUM	NumType=Card	11	nummod	_	TokenRange=44:45
11	instancia	instancia	NOUN	NOUN	_	1	nmod	_	TokenRange=46:55
12	desembargadores	desembargador	NOUN	NOUN	_	13	nsubj	_	TokenRange=56:71
13	votaram	votar	VERB	VERB	_	1	parataxis	_	TokenRange=72:79
14	por	por	ADP	ADP	_	15	case	_	TokenRange=80:83
15	unanimidade	unanimidade	NOUN	NOUN	_	13	nmod	_	TokenRange=84:95
16-17	pela	_	_	_	_	_	_	_	TokenRange=96:100
16	por	por	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	manutencao	manutencao	NOUN	NOUN	_	13	nmod	_	TokenRange=101:111
19-20	da	_	_	_	_	_	_	_	TokenRange=112:114
19	de	de	ADP	ADP	_	21	case	_	_
20	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	21	det	_	_
21	condenacao	condenacao	NOUN	NOUN	_	18	nmod	_	TokenRange=115:125
22-23	do	_	_	_	_	_	_	_	TokenRange=126:128
22	de	de	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	expresidente	expresidente	NOUN	NOUN	_	21	nmod	_	TokenRange=129:141
25	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=142:143
26-27	pelo	_	_	_	_	_	_	_	TokenRange=144:148
26	por	por	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	aumento	aumento	NOUN	NOUN	_	13	nmod	_	TokenRange=149:156
29-30	da	_	_	_	_	_	_	_	TokenRange=157:159
29	de	de	ADP	ADP	_	31	case	_	_
30	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
31	pena	_	NOUN	NOUN	_	28	nmod	_	TokenRange=160:164
32	defesa	_	NOUN	NOUN	_	31	appos	_	TokenRange=165:171
33-34	do	_	_	_	_	_	_	_	TokenRange=172:174
33	de	de	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	petista	petista	NOUN	NOUN	_	31	nmod	_	TokenRange=175:182
36	ainda	ainda	ADV	ADV	_	38	advmod	_	TokenRange=183:188
37	pode	_	AUX	AUX	_	38	aux	_	TokenRange=189:193
38	entrar	entrar	VERB	VERB	_	13	conj	_	TokenRange=194:200
39	com	com	ADP	ADP	_	40	case	_	TokenRange=201:204
40	recursos	recurso	NOUN	NOUN	_	38	nmod	_	TokenRange=205:213
41	o	o	DET	DET	_	42	det	_	TokenRange=214:215
42	expresidente	expresidente	NOUN	NOUN	_	50	nsubj:pass	_	TokenRange=216:228
43	luiz	luiz	ADJ	ADJ	_	42	appos	_	TokenRange=229:233
44	inacio	_	NOUN	NOUN	_	43	flat	_	TokenRange=234:240
45	lula	_	NOUN	NOUN	_	43	flat	_	TokenRange=241:245
46-47	da	_	_	_	_	_	_	_	TokenRange=246:248
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	silva	silva	NOUN	NOUN	_	43	nmod	_	TokenRange=249:254
