1 mpf mpf 2 NOUN nsubj
2 quer querer 0 VERB root
3 ouvir ouvir 2 VERB xcomp
4 lula lula 3 NOUN obj
5 dilma dilma 4 NOUN appos
6 e e 7 CCONJ cc
7 mantega mantega 5 NOUN conj
8 sobre sobre 9 ADP case
9 contas conta 22 NOUN nmod
10 de de 11 ADP case
11 joesley joesley 9 NOUN nmod
12 em em 14 ADP case
13 o o 14 DET det
14 exterior exterior 9 NOUN nmod
15 dono dono 20 NOUN nsubj
16 de de 18 ADP case
17 o o 18 DET det
18 grupo grupo 15 NOUN nmod
19 jf jf 18 NOUN appos
20 disse dizer 2 VERB parataxis
21 ter ter 22 AUX aux
22 transferido transferir 20 VERB xcomp
23 us u 22 NOUN obj
24 150 150 25 NUM nummod
25 milhoes milhoes 22 NOUN obj
26 em em 28 ADP case
27 o o 28 DET det
28 exterior exterior 22 NOUN nmod
29 para para 30 ADP case
30 campanhas campanha 22 NOUN nmod
31 de de 32 ADP case
32 lula lula 30 NOUN nmod
33 e e 34 CCONJ cc
34 dilma dilma 32 NOUN conj
35 que que 36 PRON nsubj
36 negam negar 30 VERB acl:relcl
37 antes antes 36 ADV advmod
38 ministerio ministerio 36 NOUN nsubj
39 publico publico 38 ADJ amod
40 quer querer 2 VERB parataxis
41 que que 43 CCONJ mark
42 joesley joesley 43 NOUN nsubj
43 entregue entregar 40 VERB ccomp
44 comprovantes comprovante 43 NOUN obj
45 a a 46 ADP case
46 procuradoria procuradoria 43 NOUN iobj
47 de de 49 ADP case
48 a o 49 DET det
49 republica republica 46 NOUN nmod
50 de de 52 ADP case
51 o o 52 DET det
52 distrito distrito 49 NOUN nmod
53 federal federal 52 ADJ amod
54 vai ir 55 AUX aux
55 convocar convocar 40 VERB ccomp
56 os o 57 DET det
57 expresidentes expresidente 55 NOUN obj
58 luiz luiz 57 NOUN appos
59 inacio inacio 58 NOUN flat
60 lula lula 58 NOUN flat
61 de de 63 ADP case
62 a o 63 DET det
63 silva silva 58 NOUN nmod
64 e e 65 CCONJ cc
65 dilma dilma 58 NOUN conj
66 rousseff rousseff 65 NOUN flat
67 alem alem 55 ADV advmod
68 de de 70 ADP case
69 o o 70 DET det
70 exminstro exminstro 67 NOUN nmod
71 de de 73 ADP case
72 a o 73 DET det
73 fazenda fazenda 70 NOUN nmod
74 guido guido 70 NOUN appos
75 mantega mantega 74 NOUN flat
76 para para 77 ADP case
77 ouvilos ouvilo 74 NOUN nmod
78 sobre sobre 80 ADP case
79 duas duas 80 NUM nummod
80 contas conta 77 NOUN nmod
81 em em 83 ADP case
82 o o 83 DET det
83 exterior exterior 80 NOUN nmod
84 que que 89 PRON obj
85 o o 86 DET det
86 empresario empresario 89 NOUN nsubj
87 joesley joesley 86 NOUN appos
88 batista batista 87 ADJ flat
89 disse dizer 183 VERB acl:relcl
90 ter ter 91 AUX aux
91 utilizado utilizar 89 VERB xcomp
92 para para 93 ADP mark
93 destinar destinar 91 VERB advcl
94 dinheiro dinheiro 93 NOUN obj
95 a a 97 ADP case
96 os o 97 DET det
97 petistas petista 93 NOUN iobj
98 em em 99 ADP case
99 depoimentos depoimento 93 NOUN nmod
100 a a 102 ADP case
101 o o 102 DET det
102 ministerio ministerio 99 NOUN nmod
103 publico publico 102 ADJ amod
104 o o 105 DET det
105 dono dono 207 NOUN nsubj
106 de de 108 ADP case
107 o o 108 DET det
108 grupo grupo 105 NOUN nmod
109 jf jf 108 PROPN appos
110 disse dizer 2 VERB parataxis
111 que que 112 CCONJ mark
112 transferiu transferir 110 VERB ccomp
113 a a 115 ADP case
114 o o 115 DET det
115 todo todo 112 NOUN nmod
116 us us 112 NOUN obj
117 150 150 118 NUM nummod
118 milhoes milhoes 112 NUM obj
119 para para 121 ADP case
120 as o 121 DET det
121 contas conta 112 NOUN nmod
122 em em 124 ADP case
123 o o 124 DET det
124 exterior exterior 121 NOUN nmod
125 a a 126 ADP case
126 mando mando 194 NOUN nmod
127 de de 128 ADP case
128 guido guido 126 NOUN nmod
129 mantega mantega 128 NOUN flat
130 deste deste 131 ADP case
131 valor valor 128 NOUN nmod
132 o o 133 DET det
133 empresario empresario 20 NOUN nsubj
134 disse dizer 2 VERB parataxis
135 que que 112 CCONJ mark
136 us us 140 DET nsubj:pass
137 70 70 138 NUM nummod
138 milhoes milhoes 140 NUM nsubj:pass
139 foram foram 140 AUX aux:pass
140 destinados destinar 134 VERB ccomp
141 a a 142 ADP case
142 lula lula 140 NOUN iobj
143 e e 152 CCONJ cc
144 mais mais 147 ADV advmod
145 us us 147 NOUN nummod
146 80 80 147 NUM nummod
147 milhoes milhoes 43 NUM conj
148 em em 149 ADP case
149 beneficio beneficio 43 NOUN nmod
150 de de 151 ADP case
151 dilma dilma 149 NOUN nmod
152 leia ler 20 VERB conj
153 a o 154 DET det
154 versao versao 152 NOUN obj
155 de de 157 ADP case
156 os o 157 DET det
157 citados citado 154 NOUN nmod
158 a a 160 ADP case
159 o o 160 DET det
160 final final 154 NOUN nmod
161 desta desta 162 ADP case
162 reportagem reportagem 160 NOUN nmod
163 antes antes 166 ADV case
164 de de 163 ADP case
165 os o 163 DET det
166 depoimentos depoimento 55 NOUN nmod
167 de de 170 ADP case
168 os o 170 DET det
169 tres tres 170 NUM nummod
170 ministerio ministerio 166 NOUN nmod
171 publico publico 170 ADJ amod
172 e e 173 CCONJ cc
173 policia policia 170 NOUN conj
174 federal federal 173 ADJ amod
175 determinaram determinar 2 VERB conj
176 que que 179 CCONJ mark
177 joesley joesley 179 NOUN nsubj
178 batista batista 177 ADJ flat
179 entregue entregar 175 VERB ccomp
180 comprovantes comprovante 179 NOUN obj
181 de de 183 ADP case
182 as o 183 DET det
183 movimentacoes movimentacoe 180 NOUN nmod
184 que que 186 PRON obj
185 ele ele 186 PRON nsubj
186 diz dizer 183 VERB acl:relcl
187 ter ter 188 AUX aux
188 feito feito 186 VERB xcomp
189 e e 190 CCONJ cc
190 documentos documento 70 NOUN conj
191 que que 192 PRON nsubj
192 atestem atestar 190 VERB acl:relcl
193 a o 194 DET det
194 existencia existencia 192 NOUN obj
195 de de 197 ADP case
196 as o 197 DET det
197 contas conta 194 NOUN nmod
198 em em 200 ADP case
199 novo novo 200 ADJ amod
200 depoimento depoimento 197 NOUN nmod
201 em em 203 ADP case
202 a o 203 DET det
203 semana semana 192 NOUN nmod
204 passada passado 203 ADJ amod
205 joesley joesley 207 PROPN nsubj
206 batista batista 205 PROPN flat
207 deu dar 175 VERB conj
208 detalhes detalhe 207 NOUN obj
209 sobre sobre 112 ADP mark
