# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = jabor da nocaute no pt so os canalhas precisam de uma ideologia que os absolva e os justifique esta e a maior pancada que o pt dilma e lula ja tomaram ate hoje na globo quem nao deve nao teme nao e se o governo fez tudo para esconder as pedaladas ele tem culpa nao e obvio por isso eu pergunto quais sao as fundas razoes psiquicas que explicam essa gente o que esta entranhado nas mentes dos petistas confira
1	jabor	jabor	NOUN	NOUN	_	0	root	_	TokenRange=0:5
2-3	da	_	_	_	_	_	_	_	TokenRange=6:8
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	nocaute	nocaute	NOUN	NOUN	_	1	nmod	_	TokenRange=9:16
5-6	no	_	_	_	_	_	_	_	TokenRange=17:19
5	em	em	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	pt	_	NOUN	NOUN	_	1	nmod	_	TokenRange=20:22
8	so	_	ADV	ADV	_	11	advmod	_	TokenRange=23:25
9	os	o	DET	DET	_	10	det	_	TokenRange=26:28
10	canalhas	canalha	NOUN	NOUN	_	11	nsubj	_	TokenRange=29:37
11	precisam	precisar	VERB	VERB	_	1	acl:relcl	_	TokenRange=38:46
12	de	de	ADP	ADP	_	14	case	_	TokenRange=47:49
13	uma	um	DET	DET	_	14	det	_	TokenRange=50:53
14	ideologia	ideologia	NOUN	NOUN	_	11	nmod	_	TokenRange=54:63
15	que	_	PRON	PRON	_	17	nsubj	_	TokenRange=64:67
16	os	_	PRON	PRON	_	17	obj	_	TokenRange=68:70
17	absolva	absolvar	VERB	VERB	_	14	acl:relcl	_	TokenRange=71:78
18	e	e	CCONJ	CONJ	_	20	cc	_	TokenRange=79:80
19	os	_	PRON	PRON	_	20	obj	_	TokenRange=81:83
20	justifique	justificar	VERB	VERB	_	17	conj	_	TokenRange=84:94
21	esta	_	PRON	PRON	_	20	obj	_	TokenRange=95:99
22	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=100:101
23	a	o	DET	DET	_	25	det	_	TokenRange=102:103
24	maior	maior	ADJ	ADJ	_	25	amod	_	TokenRange=104:109
25	pancada	pancada	NOUN	NOUN	_	21	conj	_	TokenRange=110:117
26	que	_	PRON	PRON	_	33	obj	_	TokenRange=118:121
27	o	o	DET	DET	_	28	det	_	TokenRange=122:123
28	pt	_	NOUN	NOUN	_	33	nsubj	_	TokenRange=124:126
29	dilma	dilma	NOUN	NOUN	_	28	appos	_	TokenRange=127:132
30	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=133:134
31	lula	lula	NOUN	NOUN	_	29	conj	_	TokenRange=135:139
32	ja	ja	ADV	ADV	_	33	advmod	_	TokenRange=140:142
33	tomaram	tomar	VERB	VERB	_	25	acl:relcl	_	TokenRange=143:150
34	ate	_	ADP	ADP	_	35	mark	_	TokenRange=151:154
35	hoje	hoje	ADV	ADV	_	33	nmod	_	TokenRange=155:159
