1 dissidencia dissidencia 8 NOUN nsubj
2 em em 4 ADP case
3 a o 4 DET det
4 base base 1 NOUN nmod
5 de de 7 ADP case
6 o o 7 DET det
7 governo governo 4 NOUN nmod
8 alcanca alcancar 0 VERB root
9 20 20 8 NUM obj
10 em em 12 ADP case
11 a o 12 DET det
12 votacao votacao 8 NOUN nmod
13 de de 15 ADP case
14 a o 15 DET det
15 reforma reforma 12 NOUN nmod
16 trabalhista trabalhista 15 ADJ amod
17 de de 20 ADP case
18 os o 20 DET det
19 415 415 20 NUM nummod
20 deputados deputado 15 NOUN nmod
21 de de 22 ADP case
22 partidos partido 20 NOUN nmod
23 de de 25 ADP case
24 a o 25 DET det
25 base base 22 NOUN nmod
26 aliada aliado 20 ADJ amod
27 de de 29 ADP case
28 o o 29 DET det
29 governo governo 26 NOUN nmod
30 michel michel 29 ADJ appos
31 temer temer 29 NOUN appos
32 86 86 33 NUM nsubj
33 votaram votar 8 VERB parataxis
34 contra contra 36 ADP case
35 o o 36 DET det
36 projeto projeto 33 NOUN nmod
37 aprovado aprovar 36 VERB acl
38 por por 40 ADP case
39 a o 40 DET det
40 camara camara 37 NOUN nmod
41 que que 42 PRON nsubj
42 altera alterar 36 VERB acl:relcl
43 a o 44 DET det
44 legislacao legislacao 42 NOUN obj
45 trabalhista trabalhista 44 ADJ amod
46 considerado considerar 44 VERB acl
47 prioritario prioritario 46 ADJ xcomp
48 por por 50 ADP case
49 o o 50 DET det
50 governo governo 46 NOUN nmod
51 michel michel 50 ADJ amod
52 temer temer 50 NOUN appos
53 o o 54 DET det
54 projeto projeto 59 NOUN nsubj
55 de de 57 ADP case
56 a o 57 DET det
57 reforma reforma 54 NOUN nmod
58 trabalhista trabalhista 57 ADJ amod
59 teve ter 8 VERB parataxis
60 um um 61 DET det
61 indice indice 59 NOUN obj
62 de de 63 ADP case
63 votos voto 61 NOUN nmod
64 contrarios contrario 63 ADJ amod
65 de de 66 ADP case
66 20 20 63 NUM nmod
67 entre entre 68 ADP case
68 deputados deputado 61 NOUN nmod
69 de de 70 ADP case
70 partidos partido 68 NOUN nmod
71 de de 73 ADP case
72 a o 73 DET det
73 base base 70 NOUN nmod
