# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tente nao piscar com a china se afirmando como potencia naval e aerea e os estados unidos reagindo crescem os riscos de confronto as autoridades americanas estao perdendo a paciencia com a china em 22 de maio o vicepresidente joe biden foi bastante franco ao falar a formandos do colegio naval dos estados unidos sobre novos pontos de divergencia entre as duas superpotencias os chineses afirmou ele ameacam a liberdade de navegacao no mar do sul da china com as obras que vem realizando em grande escala em recifes sobre os quais outros paises tambem reivindicam soberania dois dias antes os eua haviam dado sinais de sua irritacao ao usar uma aeronave espia para sobrevoar uma area proxima a um dos recifes em que os chineses estao construindo uma pista de pouso voos secretos sao comuns mas esse foi diferente no aviao estava tambem uma equipe da cnn que transmitiu a seus
1	tente	tentar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	nao	nao	ADV	ADV	Polarity=Neg	3	advmod	_	TokenRange=6:9
3	piscar	piscar	VERB	VERB	_	1	xcomp	_	TokenRange=10:16
4	com	com	ADP	ADP	_	6	case	_	TokenRange=17:20
5	a	o	DET	DET	_	6	det	_	TokenRange=21:22
6	china	china	NOUN	NOUN	_	3	nmod	_	TokenRange=23:28
7	se	_	PRON	PRON	_	8	obj	_	TokenRange=29:31
8	afirmando	afirmar	VERB	VERB	_	3	acl	_	TokenRange=32:41
9	como	como	ADP	ADP	_	10	case	_	TokenRange=42:46
10	potencia	potencia	NOUN	NOUN	_	8	nmod	_	TokenRange=47:55
11	naval	naval	ADJ	ADJ	_	10	amod	_	TokenRange=56:61
12	e	e	CCONJ	CONJ	_	13	cc	_	TokenRange=62:63
13	aerea	aereo	ADJ	ADJ	_	11	conj	_	TokenRange=64:69
14	e	e	CCONJ	CONJ	_	28	cc	_	TokenRange=70:71
15	os	o	DET	DET	_	16	det	_	TokenRange=72:74
16	estados	estado	NOUN	NOUN	_	28	nsubj	_	TokenRange=75:82
17	unidos	unido	ADJ	ADJ	_	16	amod	_	TokenRange=83:89
18	reagindo	reagir	VERB	VERB	_	16	acl	_	TokenRange=90:98
19	crescem	crescer	VERB	VERB	_	1	conj	_	TokenRange=99:106
20	os	o	DET	DET	_	21	det	_	TokenRange=107:109
21	riscos	risco	NOUN	NOUN	_	19	nsubj	_	TokenRange=110:116
22	de	de	ADP	ADP	_	23	case	_	TokenRange=117:119
23	confronto	confronto	NOUN	NOUN	_	21	nmod	_	TokenRange=120:129
24	as	o	DET	DET	_	25	det	_	TokenRange=130:132
25	autoridades	autoridade	NOUN	NOUN	_	28	nsubj	_	TokenRange=133:144
26	americanas	americano	ADJ	ADJ	_	25	amod	_	TokenRange=145:155
27	estao	_	AUX	AUX	_	28	aux	_	TokenRange=156:161
28	perdendo	perder	VERB	VERB	_	1	conj	_	TokenRange=162:170
29	a	o	DET	DET	_	30	det	_	TokenRange=171:172
30	paciencia	paciencia	NOUN	NOUN	_	28	obj	_	TokenRange=173:182
31	com	com	ADP	ADP	_	33	case	_	TokenRange=183:186
32	a	o	DET	DET	_	33	det	_	TokenRange=187:188
33	china	china	NOUN	NOUN	_	30	nmod	_	TokenRange=189:194
34	em	em	ADP	ADP	_	35	case	_	TokenRange=195:197
35	22	_	NUM	NUM	NumType=Card	28	nmod	_	TokenRange=198:200
36	de	de	ADP	ADP	_	37	case	_	TokenRange=201:203
37	maio	_	PROPN	PNOUN	_	35	nmod	_	TokenRange=204:208
38	o	o	DET	DET	_	39	det	_	TokenRange=209:210
