# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao completar quatro anos a forcatarefa da operacao lava jato em curitiba busca se reinventar em 2018 e avanca sobre supostos crimes em negocios do governo federal nas areas de energia e rodovias depois de revelar mais de r 40 bilhoes em desvios na petrobras e conseguir a condenacao do expresidente luiz inacio lula da silva considerado o maior beneficiario da corrupcao sistemica as investigacoes na estatal desaceleraram e caminham para um fim apesar do ainda volumoso numero de processos abertos na justica federal e inqueritos abertos o movimento e criticado por criminalistas que apontam excessos a lava jato nao e uma operacao de investigacao sobre petrobras ela chegou a petrobras assim como chegou a diversos outros esquemas alguns deles como trafico de drogas que foram condenados na 13 vara federal dentro da lava jato argumentou o procurador regional da republica carlos fernando dos santos lima o mais antigo do grupo de 13 membros do mpf enquanto houver reconhecimento da conexao por parte do juizo a investigacao e da lava jato as duas ultimas operacoes de curitiba batizadas de integracao e buona fortuna vao alem dos crimes em contratos na petrobras marca da lava jato originaria deflagrada pela primeira vez em 17 de marco de 2014 a mais recente a 49
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
1	a	a	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	completar	completar	VERB	VERB	_	15	advcl	_	TokenRange=3:12
4	quatro	_	NUM	NUM	NumType=Card	5	nummod	_	TokenRange=13:19
5	anos	ano	NOUN	NOUN	_	3	obj	_	TokenRange=20:24
6	a	o	DET	DET	_	7	det	_	TokenRange=25:26
7	forcatarefa	forcatarefa	NOUN	NOUN	_	15	nsubj	_	TokenRange=27:38
8-9	da	_	_	_	_	_	_	_	TokenRange=39:41
8	de	de	ADP	ADP	_	10	case	_	_
9	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	10	det	_	_
10	operacao	operacao	NOUN	NOUN	_	7	nmod	_	TokenRange=42:50
11	lava	lava	NOUN	NOUN	_	10	appos	_	TokenRange=51:55
12	jato	jato	NOUN	NOUN	_	11	flat	_	TokenRange=56:60
13	em	em	ADP	ADP	_	14	case	_	TokenRange=61:63
14	curitiba	curitiba	NOUN	NOUN	_	10	nmod	_	TokenRange=64:72
15	busca	buscar	VERB	VERB	_	0	root	_	TokenRange=73:78
16	se	_	PRON	PRON	_	17	obj	_	TokenRange=79:81
17	reinventar	reinventar	VERB	VERB	_	15	xcomp	_	TokenRange=82:92
18	em	em	ADP	ADP	_	19	case	_	TokenRange=93:95
19	2018	_	NUM	NUM	NumType=Card	17	nmod	_	TokenRange=96:100
20	e	e	CCONJ	CONJ	_	21	cc	_	TokenRange=101:102
21	avanca	avancar	VERB	VERB	_	15	conj	_	TokenRange=103:109
22	sobre	_	ADP	ADP	_	24	case	_	TokenRange=110:115
23	supostos	suposto	ADJ	ADJ	_	24	amod	_	TokenRange=116:124
24	crimes	crime	NOUN	NOUN	_	21	nmod	_	TokenRange=125:131
25	em	em	ADP	ADP	_	26	case	_	TokenRange=132:134
26	negocios	negocio	NOUN	NOUN	_	24	nmod	_	TokenRange=135:143
27-28	do	_	_	_	_	_	_	_	TokenRange=144:146
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	governo	governo	NOUN	NOUN	_	26	nmod	_	TokenRange=147:154
30	federal	federal	ADJ	ADJ	_	29	amod	_	TokenRange=155:162
31-32	nas	_	_	_	_	_	_	_	TokenRange=163:166
31	em	em	ADP	ADP	_	33	case	_	_
32	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	33	det	_	_
33	areas	_	NOUN	NOUN	_	21	nmod	_	TokenRange=167:172
34	de	de	ADP	ADP	_	35	case	_	TokenRange=173:175
35	energia	energia	NOUN	NOUN	_	33	nmod	_	TokenRange=176:183
36	e	e	CCONJ	CONJ	_	37	cc	_	TokenRange=184:185
37	rodovias	rodovia	NOUN	NOUN	_	35	conj	_	TokenRange=186:194
38	depois	depois	ADV	ADV	_	40	mark	_	TokenRange=195:201
39	de	_	ADP	ADP	_	38	fixed	_	TokenRange=202:204
40	revelar	revelar	VERB	VERB	_	21	advcl	_	TokenRange=205:212
41	mais	mais	ADV	ADV	_	45	advmod	_	TokenRange=213:217
42	de	de	ADP	ADP	_	41	case	_	TokenRange=218:220
43	r	r	NOUN	NOUN	_	40	obj	_	TokenRange=221:222
44	40	_	NUM	NUM	NumType=Card	45	nummod	_	TokenRange=223:225
45	bilhoes	_	NUM	NUM	NumType=Card	40	obj	_	TokenRange=226:233
46	em	em	ADP	ADP	_	47	case	_	TokenRange=234:236
47	desvios	desvio	NOUN	NOUN	_	40	nmod	_	TokenRange=237:244
48-49	na	_	_	_	_	_	_	_	TokenRange=245:247
