# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = pela terceira vez desde a retomada democratica em 1985 existe embasamento juridico solido para o impeachment do presidente da republica tratase de um momento triste da historia mas a superacao da grave crise etica e moral que abate o pais depende do rigor na aplicacao da lei que deve valer igualmente para todos independentemente do cargo exercido e da pessoa que o exerce sem a preservacao das instituicoes e da lei serao inevitaveis os retrocessos nos valores democraticos e republicanos e consequentemente prejuizos para a continuidade e para o desenvolvimento do estado brasileiro um grande patrimonio conquistado nas ultimas decadas sem duvida alguma e a solidez de nossa democracia e de nossas instituicoes nao
1-2	pela	_	_	_	_	_	_	_	TokenRange=0:4
1	por	por	ADP	ADP	_	4	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
3	terceira	_	ADJ	ADJ	_	4	amod	_	TokenRange=5:13
4	vez	vez	NOUN	NOUN	_	11	nmod	_	TokenRange=14:17
5	desde	_	ADP	ADP	_	7	case	_	TokenRange=18:23
6	a	o	DET	DET	_	7	det	_	TokenRange=24:25
7	retomada	retomada	NOUN	NOUN	_	4	nmod	_	TokenRange=26:34
8	democratica	democratico	ADJ	ADJ	_	7	amod	_	TokenRange=35:46
9	em	em	ADP	ADP	_	10	case	_	TokenRange=47:49
10	1985	_	NUM	NUM	NumType=Card	7	nmod	_	TokenRange=50:54
11	existe	existir	VERB	VERB	_	0	root	_	TokenRange=55:61
12	embasamento	embasamento	NOUN	NOUN	_	11	nsubj	_	TokenRange=62:73
13	juridico	juridico	ADJ	ADJ	_	12	amod	_	TokenRange=74:82
14	solido	solido	ADJ	ADJ	_	12	amod	_	TokenRange=83:89
15	para	para	ADP	ADP	_	17	case	_	TokenRange=90:94
16	o	o	DET	DET	_	17	det	_	TokenRange=95:96
17	impeachment	impeachment	NOUN	NOUN	_	24	nmod	_	TokenRange=97:108
18-19	do	_	_	_	_	_	_	_	TokenRange=109:111
18	de	de	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	presidente	presidente	NOUN	NOUN	_	17	nmod	_	TokenRange=112:122
21-22	da	_	_	_	_	_	_	_	TokenRange=123:125
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	republica	_	NOUN	NOUN	_	20	nmod	_	TokenRange=126:135
24	tratase	tratar	VERB	VERB	_	11	parataxis	_	TokenRange=136:143
25	de	de	ADP	ADP	_	27	case	_	TokenRange=144:146
26	um	um	DET	DET	_	27	det	_	TokenRange=147:149
27	momento	momento	NOUN	NOUN	_	24	nmod	_	TokenRange=150:157
28	triste	triste	ADJ	ADJ	_	27	amod	_	TokenRange=158:164
29-30	da	_	_	_	_	_	_	_	TokenRange=165:167
29	de	de	ADP	ADP	_	31	case	_	_
30	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
31	historia	historia	NOUN	NOUN	_	27	nmod	_	TokenRange=168:176
32	mas	mas	CCONJ	CONJ	_	46	cc	_	TokenRange=177:180
33	a	o	DET	DET	_	34	det	_	TokenRange=181:182
34	superacao	superacao	NOUN	NOUN	_	46	nsubj	_	TokenRange=183:192
35-36	da	_	_	_	_	_	_	_	TokenRange=193:195
35	de	de	ADP	ADP	_	38	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	38	det	_	_
37	grave	grave	ADJ	ADJ	_	38	amod	_	TokenRange=196:201
38	crise	crise	NOUN	NOUN	_	34	nmod	_	TokenRange=202:207
39	etica	etico	ADJ	ADJ	_	38	amod	_	TokenRange=208:213
40	e	e	CCONJ	CONJ	_	41	cc	_	TokenRange=214:215
41	moral	moral	ADJ	ADJ	_	39	conj	_	TokenRange=216:221
42	que	_	PRON	PRON	_	43	nsubj	_	TokenRange=222:225
43	abate	abater	VERB	VERB	_	38	acl:relcl	_	TokenRange=226:231
44	o	o	DET	DET	_	45	det	_	TokenRange=232:233
45	pais	_	NOUN	NOUN	_	43	obj	_	TokenRange=234:238
46	depende	depender	VERB	VERB	_	11	conj	_	TokenRange=239:246
47-48	do	_	_	_	_	_	_	_	TokenRange=247:249
47	de	de	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	rigor	rigor	NOUN	NOUN	_	46	nmod	_	TokenRange=250:255
50-51	na	_	_	_	_	_	_	_	TokenRange=256:258
50	em	em	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	aplicacao	aplicacao	NOUN	NOUN	_	49	nmod	_	TokenRange=259:268
53-54	da	_	_	_	_	_	_	_	TokenRange=269:271
53	de	de	ADP	ADP	_	55	case	_	_
54	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	55	det	_	_
55	lei	lei	NOUN	NOUN	_	52	nmod	_	TokenRange=272:275
56	que	_	PRON	PRON	_	58	nsubj	_	TokenRange=276:279
57	deve	dever	AUX	AUX	_	58	aux	_	TokenRange=280:284
58	valer	valer	VERB	VERB	_	52	acl:relcl	_	TokenRange=285:290
59	igualmente	igualmente	ADV	ADV	_	58	advmod	_	TokenRange=291:301
60	para	para	ADP	ADP	_	61	case	_	TokenRange=302:306
61	todos	_	PRON	PRON	_	58	nmod	_	TokenRange=307:312
62	independentemente	independentemente	ADV	ADV	_	58	advmod	_	TokenRange=313:330
63-64	do	_	_	_	_	_	_	_	TokenRange=331:333
63	de	de	ADP	ADP	_	65	case	_	_
64	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	65	det	_	_
65	cargo	cargo	NOUN	NOUN	_	62	nmod	_	TokenRange=334:339
66	exercido	exercer	VERB	VERB	_	65	acl	_	TokenRange=340:348
67	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=349:350
68-69	da	_	_	_	_	_	_	_	TokenRange=351:353
68	de	de	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	pessoa	pessoa	NOUN	NOUN	_	65	conj	_	TokenRange=354:360
71	que	_	PRON	PRON	_	73	nsubj	_	TokenRange=361:364
72	o	_	PRON	PRON	_	73	obj	_	TokenRange=365:366
73	exerce	exercer	VERB	VERB	_	70	acl:relcl	_	TokenRange=367:373
74	sem	_	ADP	ADP	_	76	case	_	TokenRange=374:377
75	a	o	DET	DET	_	76	det	_	TokenRange=378:379
76	preservacao	preservacao	NOUN	NOUN	_	73	nmod	_	TokenRange=380:391
77-78	das	_	_	_	_	_	_	_	TokenRange=392:395
77	de	de	ADP	ADP	_	79	case	_	_
78	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	79	det	_	_
79	instituicoes	instituicoe	NOUN	NOUN	_	76	nmod	_	TokenRange=396:408
80	e	e	CCONJ	CONJ	_	83	cc	_	TokenRange=409:410
81-82	da	_	_	_	_	_	_	_	TokenRange=411:413
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	lei	lei	NOUN	NOUN	_	79	conj	_	TokenRange=414:417
84	serao	_	VERB	VERB	_	58	conj	_	TokenRange=418:423
85	inevitaveis	inevitavel	ADJ	ADJ	_	84	xcomp	_	TokenRange=424:435
86	os	o	DET	DET	_	87	det	_	TokenRange=436:438
87	retrocessos	retrocesso	NOUN	NOUN	_	84	nsubj	_	TokenRange=439:450
88-89	nos	_	_	_	_	_	_	_	TokenRange=451:454
