# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = gosto quando dizem que sou caso de marketing 20 minutos na presenca de anitta tida como rainha do pop brasileiro e de olho no mercado internacional cantora que e tambem sua propria empresaria recebe bbc brasil em seu camarim nao sou escrava de nada nem da beleza nem de sucesso faco o que me da na telha o celular vibrava sem parar o secador chiava e ela estava cercada por pessoas cuidando do cabelo e da maquiagem tanto que nao houve qualquer contato visual entre entrevistadora e entrevistada ora porque os olhos dela estavam fechados para serem maquiados ora porque entre ambas havia o maquiador e o
1	gosto	gostar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	quando	_	CCONJ	CONJ	_	3	mark	_	TokenRange=6:12
3	dizem	dizer	VERB	VERB	_	1	advcl	_	TokenRange=13:18
4	que	que	CCONJ	CONJ	_	6	mark	_	TokenRange=19:22
5	sou	ser	AUX	AUX	_	6	cop	_	TokenRange=23:26
6	caso	caso	NOUN	NOUN	_	3	ccomp	_	TokenRange=27:31
7	de	de	ADP	ADP	_	8	case	_	TokenRange=32:34
8	marketing	marketing	NOUN	NOUN	_	6	nmod	_	TokenRange=35:44
9	20	_	NUM	NUM	NumType=Card	10	nummod	_	TokenRange=45:47
10	minutos	minuto	NOUN	NOUN	_	6	nmod	_	TokenRange=48:55
11-12	na	_	_	_	_	_	_	_	TokenRange=56:58
11	em	em	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	presenca	presenca	NOUN	NOUN	_	6	nmod	_	TokenRange=59:67
14	de	de	ADP	ADP	_	15	case	_	TokenRange=68:70
15	anitta	anitta	NOUN	NOUN	_	13	nmod	_	TokenRange=71:77
16	tida	ter	VERB	VERB	_	15	acl	_	TokenRange=78:82
17	como	como	ADP	ADP	_	18	case	_	TokenRange=83:87
18	rainha	_	NOUN	NOUN	_	16	nmod	_	TokenRange=88:94
19-20	do	_	_	_	_	_	_	_	TokenRange=95:97
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	pop	pop	NOUN	NOUN	_	18	nmod	_	TokenRange=98:101
22	brasileiro	brasileiro	ADJ	ADJ	_	21	amod	_	TokenRange=102:112
23	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=113:114
24	de	de	ADP	ADP	_	25	case	_	TokenRange=115:117
25	olho	olho	NOUN	NOUN	_	18	conj	_	TokenRange=118:122
26-27	no	_	_	_	_	_	_	_	TokenRange=123:125
26	em	em	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	mercado	mercado	NOUN	NOUN	_	25	nmod	_	TokenRange=126:133
29	internacional	internacional	ADJ	ADJ	_	28	amod	_	TokenRange=134:147
30	cantora	cantor	NOUN	NOUN	_	25	appos	_	TokenRange=148:155
31	que	_	PRON	PRON	_	37	nsubj	_	TokenRange=156:159
32	e	e	CCONJ	CONJ	_	36	cc	_	TokenRange=160:161
33	tambem	tambem	ADV	ADV	_	36	advmod	_	TokenRange=162:168
34	sua	_	DET	DET	_	36	det:poss	_	TokenRange=169:172
35	propria	proprio	ADJ	ADJ	_	36	amod	_	TokenRange=173:180
36	empresaria	empresaria	NOUN	NOUN	_	30	conj	_	TokenRange=181:191
37	recebe	receber	VERB	VERB	_	30	acl:relcl	_	TokenRange=192:198
38	bbc	bbc	NOUN	NOUN	_	37	obj	_	TokenRange=199:202
39	brasil	brasil	NOUN	NOUN	_	38	flat	_	TokenRange=203:209
40	em	em	ADP	ADP	_	42	case	_	TokenRange=210:212
41	seu	_	DET	DET	_	42	det:poss	_	TokenRange=213:216
42	camarim	camarim	NOUN	NOUN	_	37	nmod	_	TokenRange=217:224
43	nao	nao	ADV	ADV	Polarity=Neg	45	advmod	_	TokenRange=225:228
44	sou	ser	AUX	AUX	_	45	cop	_	TokenRange=229:232
45	escrava	escravo	NOUN	NOUN	_	37	conj	_	TokenRange=233:240
46	de	de	ADP	ADP	_	47	case	_	TokenRange=241:243
47	nada	_	PRON	PRON	_	45	nmod	_	TokenRange=244:248
48	nem	_	CCONJ	CONJ	_	51	cc	_	TokenRange=249:252
49-50	da	_	_	_	_	_	_	_	TokenRange=253:255
49	de	de	ADP	ADP	_	51	case	_	_
50	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	51	det	_	_
51	beleza	beleza	NOUN	NOUN	_	47	conj	_	TokenRange=256:262
52	nem	_	CCONJ	CONJ	_	54	cc	_	TokenRange=263:266
53	de	de	ADP	ADP	_	54	case	_	TokenRange=267:269
54	sucesso	sucesso	NOUN	NOUN	_	51	conj	_	TokenRange=270:277
55	faco	facar	VERB	VERB	_	45	conj	_	TokenRange=278:282
56	o	_	PRON	PRON	_	55	obj	_	TokenRange=283:284
57	que	_	PRON	PRON	_	66	obj	_	TokenRange=285:288
58	me	_	PRON	PRON	_	55	obj	_	TokenRange=289:291
59-60	da	_	_	_	_	_	_	_	TokenRange=292:294
59	de	de	ADP	ADP	_	63	case	_	_
60	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	63	det	_	_
61-62	na	_	_	_	_	_	_	_	TokenRange=295:297
61	em	em	ADP	ADP	_	63	case	_	_
62	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	63	det	_	_
63	telha	_	NOUN	NOUN	_	66	nmod	_	TokenRange=298:303
64	o	o	DET	DET	_	65	det	_	TokenRange=304:305
65	celular	_	NOUN	NOUN	_	66	nsubj	_	TokenRange=306:313
66	vibrava	vibrar	VERB	VERB	_	55	ccomp	_	TokenRange=314:321
67	sem	_	ADP	ADP	_	68	mark	_	TokenRange=322:325
68	parar	parar	VERB	VERB	_	66	advcl	_	TokenRange=326:331
69	o	o	DET	DET	_	70	det	_	TokenRange=332:333
70	secador	secador	NOUN	NOUN	_	68	obj	_	TokenRange=334:341
71	chiava	chiar	VERB	VERB	_	66	parataxis	_	TokenRange=342:348
72	e	e	CCONJ	CONJ	_	74	cc	_	TokenRange=349:350
73	ela	_	PRON	PRON	_	74	nsubj	_	TokenRange=351:354
74	estava	estar	VERB	VERB	_	71	conj	_	TokenRange=355:361
75	cercada	cercado	ADJ	ADJ	_	74	xcomp	_	TokenRange=362:369
76	por	por	ADP	ADP	_	77	case	_	TokenRange=370:373
77	pessoas	pessoa	NOUN	NOUN	_	75	nmod	_	TokenRange=374:381
78	cuidando	cuidar	VERB	VERB	_	77	acl	_	TokenRange=382:390
79-80	do	_	_	_	_	_	_	_	TokenRange=391:393
79	de	de	ADP	ADP	_	81	case	_	_
80	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	81	det	_	_
81	cabelo	cabelo	NOUN	NOUN	_	78	nmod	_	TokenRange=394:400
82	e	e	CCONJ	CONJ	_	85	cc	_	TokenRange=401:402
83-84	da	_	_	_	_	_	_	_	TokenRange=403:405
