# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como os politicos reagiram a denuncia contra temer pela pgr presidente foi denunciado pelo crime de corrupcao passiva acusacao do ministerio publico e baseada nas investigacoes abertas a partir das delacoes de executivos da jbs o procuradorgeral da republica rodrigo janot denunciou nesta segundafeira 26 o presidente michel temer ao supremo tribunal federal stf pelo crime de corrupcao passiva saiba abaixo como os politicos reagiram leia a integra da denuncia a acusacao de janot e baseada nas investigacoes abertas a partir das delacoes de executivos da jbs no ambito da operacao lava jato entenda a tramitacao da denuncia contra temer o presidente michel temer nao havia
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	como	_	CCONJ	CONJ	_	5	mark	_	TokenRange=6:10
3	os	o	DET	DET	_	4	det	_	TokenRange=11:13
4	politicos	politico	NOUN	NOUN	_	5	nsubj	_	TokenRange=14:23
5	reagiram	reagir	VERB	VERB	_	1	advcl	_	TokenRange=24:32
6	a	o	DET	DET	_	7	det	_	TokenRange=33:34
7	denuncia	denuncia	NOUN	NOUN	_	5	obj	_	TokenRange=35:43
8	contra	_	ADP	ADP	_	9	case	_	TokenRange=44:50
9	temer	temer	NOUN	NOUN	_	7	nmod	_	TokenRange=51:56
10-11	pela	_	_	_	_	_	_	_	TokenRange=57:61
10	por	por	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	pgr	_	NOUN	NOUN	_	5	nmod	_	TokenRange=62:65
13	presidente	presidente	NOUN	NOUN	_	5	nsubj	_	TokenRange=66:76
14	foi	_	AUX	AUX	_	15	aux:pass	_	TokenRange=77:80
15	denunciado	denunciar	VERB	VERB	_	1	ccomp	_	TokenRange=81:91
16-17	pelo	_	_	_	_	_	_	_	TokenRange=92:96
16	por	por	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	crime	crime	NOUN	NOUN	_	15	nmod	_	TokenRange=97:102
19	de	de	ADP	ADP	_	20	case	_	TokenRange=103:105
20	corrupcao	corrupcao	NOUN	NOUN	_	18	nmod	_	TokenRange=106:115
21	passiva	passivo	ADJ	ADJ	_	20	amod	_	TokenRange=116:123
22	acusacao	acusacao	NOUN	NOUN	_	15	nsubj:pass	_	TokenRange=124:132
23-24	do	_	_	_	_	_	_	_	TokenRange=133:135
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	ministerio	ministerio	NOUN	NOUN	_	22	nmod	_	TokenRange=136:146
26	publico	publico	ADJ	ADJ	_	25	amod	_	TokenRange=147:154
27	e	e	CCONJ	CONJ	_	28	cc	_	TokenRange=155:156
28	baseada	basear	VERB	VERB	_	15	conj	_	TokenRange=157:164
29-30	nas	_	_	_	_	_	_	_	TokenRange=165:168
29	em	em	ADP	ADP	_	31	case	_	_
30	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	31	det	_	_
31	investigacoes	investigacoe	NOUN	NOUN	_	28	nmod	_	TokenRange=169:182
32	abertas	abrir	VERB	VERB	_	31	acl	_	TokenRange=183:190
33	a	_	ADP	ADP	_	34	mark	_	TokenRange=191:192
34	partir	partir	VERB	VERB	_	32	nmod	_	TokenRange=193:199
35-36	das	_	_	_	_	_	_	_	TokenRange=200:203
35	de	de	ADP	ADP	_	37	case	_	_
36	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	37	det	_	_
37	delacoes	delacoe	NOUN	NOUN	_	34	nmod	_	TokenRange=204:212
38	de	de	ADP	ADP	_	39	case	_	TokenRange=213:215
39	executivos	executivo	NOUN	NOUN	_	37	nmod	_	TokenRange=216:226
40-41	da	_	_	_	_	_	_	_	TokenRange=227:229
40	de	de	ADP	ADP	_	42	case	_	_
41	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	42	det	_	_
