# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = prendam dom pedro delator diz que roubalheira institucionalizada ocorre desde 1946 em um de seus depoimentos sergio machado expresidente da transpetro relatou que o sistema de desvios em estatais brasileiras funciona desde 1946 o exsenador explica a engrenagem basica da roubalheira 1 politicos indicam pessoas para cargos em empresas do governo e querem o maior volume possivel de recursos ilicitos para campanhas eleitorais e outras finalidades 2 empresas querem contratos e as maiores vantagens possiveis 3 gestores de empresas estatais tem duas necessidades a de administrar a empresa e outra a de arrecadar propina para os politicos eurico gaspar dutra era o presidente da epoca
1	prendam	prendar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	dom	dom	NOUN	NOUN	_	1	nsubj	_	TokenRange=8:11
3	pedro	pedro	NOUN	NOUN	_	2	flat	_	TokenRange=12:17
4	delator	delator	NOUN	NOUN	_	2	flat	_	TokenRange=18:25
5	diz	dizer	VERB	VERB	_	1	ccomp	_	TokenRange=26:29
6	que	que	CCONJ	CONJ	_	9	mark	_	TokenRange=30:33
7	roubalheira	roubalheira	NOUN	NOUN	_	9	nsubj	_	TokenRange=34:45
8	institucionalizada	institucionalizado	ADJ	ADJ	_	7	amod	_	TokenRange=46:64
9	ocorre	ocorrer	VERB	VERB	_	5	ccomp	_	TokenRange=65:71
10	desde	_	ADP	ADP	_	11	case	_	TokenRange=72:77
11	1946	_	NUM	NUM	NumType=Card	9	nmod	_	TokenRange=78:82
12	em	em	ADP	ADP	_	13	case	_	TokenRange=83:85
13	um	_	PRON	PRON	_	9	nmod	_	TokenRange=86:88
14	de	de	ADP	ADP	_	16	case	_	TokenRange=89:91
15	seus	_	DET	DET	_	16	det:poss	_	TokenRange=92:96
16	depoimentos	depoimento	NOUN	NOUN	_	13	nmod	_	TokenRange=97:108
17	sergio	sergio	ADJ	ADJ	_	16	appos	_	TokenRange=109:115
18	machado	machado	ADJ	ADJ	_	17	amod	_	TokenRange=116:123
19	expresidente	expresidente	NOUN	NOUN	_	17	appos	_	TokenRange=124:136
20-21	da	_	_	_	_	_	_	_	TokenRange=137:139
20	de	de	ADP	ADP	_	22	case	_	_
21	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	22	det	_	_
22	transpetro	transpetro	NOUN	NOUN	_	19	nmod	_	TokenRange=140:150
23	relatou	relatar	VERB	VERB	_	5	conj	_	TokenRange=151:158
24	que	que	CCONJ	CONJ	_	32	mark	_	TokenRange=159:162
25	o	o	DET	DET	_	26	det	_	TokenRange=163:164
26	sistema	sistema	NOUN	NOUN	_	32	nsubj	_	TokenRange=165:172
27	de	de	ADP	ADP	_	28	case	_	TokenRange=173:175
28	desvios	desvio	NOUN	NOUN	_	26	nmod	_	TokenRange=176:183
29	em	em	ADP	ADP	_	30	case	_	TokenRange=184:186
30	estatais	estatal	NOUN	NOUN	_	28	nmod	_	TokenRange=187:195
31	brasileiras	brasileiro	ADJ	ADJ	_	30	amod	_	TokenRange=196:207
32	funciona	funcionar	VERB	VERB	_	23	ccomp	_	TokenRange=208:216
33	desde	_	ADP	ADP	_	34	case	_	TokenRange=217:222
34	1946	_	NUM	NUM	NumType=Card	32	nmod	_	TokenRange=223:227
35	o	o	DET	DET	_	36	det	_	TokenRange=228:229
36	exsenador	exsenador	NOUN	NOUN	_	37	nsubj	_	TokenRange=230:239
37	explica	explicar	VERB	VERB	_	23	ccomp	_	TokenRange=240:247
38	a	o	DET	DET	_	39	det	_	TokenRange=248:249
39	engrenagem	engrenagem	NOUN	NOUN	_	37	obj	_	TokenRange=250:260
40	basica	basico	ADJ	ADJ	_	39	amod	_	TokenRange=261:267
41-42	da	_	_	_	_	_	_	_	TokenRange=268:270
41	de	de	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	roubalheira	roubalheira	NOUN	NOUN	_	39	nmod	_	TokenRange=271:282
44	1	_	NUM	NUM	NumType=Card	45	nummod	_	TokenRange=283:284
45	politicos	politico	NOUN	NOUN	_	46	nsubj	_	TokenRange=285:294
46	indicam	indicar	VERB	VERB	_	37	parataxis	_	TokenRange=295:302
47	pessoas	pessoa	NOUN	NOUN	_	46	obj	_	TokenRange=303:310
48	para	para	ADP	ADP	_	49	case	_	TokenRange=311:315
49	cargos	cargo	NOUN	NOUN	_	47	nmod	_	TokenRange=316:322
50	em	em	ADP	ADP	_	51	case	_	TokenRange=323:325
51	empresas	empresa	NOUN	NOUN	_	49	nmod	_	TokenRange=326:334
52-53	do	_	_	_	_	_	_	_	TokenRange=335:337
52	de	de	ADP	ADP	_	54	case	_	_
53	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	54	det	_	_
54	governo	governo	NOUN	NOUN	_	51	nmod	_	TokenRange=338:345
55	e	e	CCONJ	CONJ	_	56	cc	_	TokenRange=346:347
56	querem	querer	VERB	VERB	_	46	conj	_	TokenRange=348:354
57	o	o	DET	DET	_	59	det	_	TokenRange=355:356
58	maior	maior	ADJ	ADJ	_	59	amod	_	TokenRange=357:362
59	volume	volume	NOUN	NOUN	_	56	obj	_	TokenRange=363:369
60	possivel	_	ADJ	ADJ	_	59	amod	_	TokenRange=370:378
61	de	de	ADP	ADP	_	62	case	_	TokenRange=379:381
62	recursos	recurso	NOUN	NOUN	_	59	nmod	_	TokenRange=382:390
63	ilicitos	ilicito	ADJ	ADJ	_	62	amod	_	TokenRange=391:399
64	para	para	ADP	ADP	_	65	case	_	TokenRange=400:404
65	campanhas	campanha	NOUN	NOUN	_	62	nmod	_	TokenRange=405:414
66	eleitorais	eleitoral	ADJ	ADJ	_	65	amod	_	TokenRange=415:425
67	e	e	CCONJ	CONJ	_	69	cc	_	TokenRange=426:427
68	outras	_	DET	DET	_	69	det	_	TokenRange=428:434
69	finalidades	finalidade	NOUN	NOUN	_	65	conj	_	TokenRange=435:446
70	2	_	NUM	NUM	NumType=Card	71	nummod	_	TokenRange=447:448
71	empresas	empresa	NOUN	NOUN	_	72	nsubj	_	TokenRange=449:457
