# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja a repercussao na imprensa internacional da condenacao de lula em 2 instancia no trf4 extraordinaria mudanca de sorte para o petista na opiniao do britanico the guardian para o americano the washington post decisao tem potencial para por fim a carreira politica do expresidente a imprensa internacional noticiou amplamente a decisao unanime dos desembargadores da 8 turma do tribunal regional federal da 4 regiao trf4 em porto alegre em favor de manter a condenacao e ampliar a pena de prisao do expresidente luiz inacio lula da silva por corrupcao passiva e lavagem de dinheiro no caso do triplex em guaruja sp veja abaixo o que os veiculos estrangeiros disseram o jornal
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	repercussao	repercussao	NOUN	NOUN	_	1	obj	_	TokenRange=7:18
4-5	na	_	_	_	_	_	_	_	TokenRange=19:21
4	em	em	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	imprensa	imprensa	NOUN	NOUN	_	3	nmod	_	TokenRange=22:30
7	internacional	internacional	ADJ	ADJ	_	6	amod	_	TokenRange=31:44
8-9	da	_	_	_	_	_	_	_	TokenRange=45:47
8	de	de	ADP	ADP	_	10	case	_	_
9	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	10	det	_	_
10	condenacao	condenacao	NOUN	NOUN	_	3	nmod	_	TokenRange=48:58
11	de	de	ADP	ADP	_	12	case	_	TokenRange=59:61
12	lula	lula	NOUN	NOUN	_	10	nmod	_	TokenRange=62:66
13	em	em	ADP	ADP	_	15	case	_	TokenRange=67:69
14	2	_	NUM	NUM	NumType=Card	15	nummod	_	TokenRange=70:71
15	instancia	instancia	NOUN	NOUN	_	10	nmod	_	TokenRange=72:81
16-17	no	_	_	_	_	_	_	_	TokenRange=82:84
16	em	em	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	trf4	_	NOUN	NOUN	_	10	nmod	_	TokenRange=85:89
19	extraordinaria	extraordinar	ADJ	ADJ	_	20	amod	_	TokenRange=90:104
20	mudanca	mudanca	NOUN	NOUN	_	1	obj	_	TokenRange=105:112
21	de	de	ADP	ADP	_	22	case	_	TokenRange=113:115
22	sorte	sorte	NOUN	NOUN	_	20	nmod	_	TokenRange=116:121
23	para	para	ADP	ADP	_	25	case	_	TokenRange=122:126
24	o	o	DET	DET	_	25	det	_	TokenRange=127:128
25	petista	petista	NOUN	NOUN	_	20	nmod	_	TokenRange=129:136
26-27	na	_	_	_	_	_	_	_	TokenRange=137:139
26	em	em	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
28	opiniao	opiniao	NOUN	NOUN	_	20	nmod	_	TokenRange=140:147
29-30	do	_	_	_	_	_	_	_	TokenRange=148:150
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	britanico	britanico	NOUN	NOUN	_	28	nmod	_	TokenRange=151:160
32	the	_	DET	DET	_	33	det	_	TokenRange=161:164
33	guardian	guardian	NOUN	NOUN	_	31	appos	_	TokenRange=165:173
34	para	para	ADP	ADP	_	36	case	_	TokenRange=174:178
35	o	o	DET	DET	_	36	det	_	TokenRange=179:180
36	americano	americano	NOUN	NOUN	_	28	nmod	_	TokenRange=181:190
37	the	_	DET	DET	_	38	det	_	TokenRange=191:194
38	washington	_	NOUN	NOUN	_	36	appos	_	TokenRange=195:205
39	post	_	X	NOUN	_	38	flat	_	TokenRange=206:210
40	decisao	decisao	NOUN	NOUN	_	41	nsubj	_	TokenRange=211:218
41	tem	ter	VERB	VERB	_	1	parataxis	_	TokenRange=219:222
42	potencial	potencial	NOUN	NOUN	_	41	obj	_	TokenRange=223:232
43	para	_	ADP	ADP	_	45	mark	_	TokenRange=233:237
44	por	por	ADP	ADP	_	45	case	_	TokenRange=238:241
45	fim	fim	NOUN	NOUN	_	42	nmod	_	TokenRange=242:245
46	a	o	DET	DET	_	47	det	_	TokenRange=246:247
47	carreira	_	NOUN	NOUN	_	42	nmod	_	TokenRange=248:256
48	politica	politico	ADJ	ADJ	_	47	amod	_	TokenRange=257:265
49-50	do	_	_	_	_	_	_	_	TokenRange=266:268
49	de	de	ADP	ADP	_	51	case	_	_
50	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	51	det	_	_
51	expresidente	expresidente	NOUN	NOUN	_	47	nmod	_	TokenRange=269:281
52	a	o	DET	DET	_	53	det	_	TokenRange=282:283
53	imprensa	imprensa	NOUN	NOUN	_	41	nsubj	_	TokenRange=284:292
