# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = resende o brasil tem a justica mais cara do mundo e so temos o sergio moro trabalhando abre aspas veja se e possivel viver no nosso brasil veja se e possivel a gente conviver com essa gente que vive da politica o que nos temos nesse momento e a justica mais cara do mundo essa justica so empata com a da suica que tem uma populacao 25 menor e uma renda per capita 5 vezes maior a justica hoje parece que so tem o sergio moro trabalhando o que passa na mao dele caminha o que nao passa fica parado fecha aspas
1	resende	resender	VERB	VERB	_	0	root	_	TokenRange=0:7
2	o	o	DET	DET	_	3	det	_	TokenRange=8:9
3	brasil	brasil	NOUN	NOUN	_	4	nsubj	_	TokenRange=10:16
4	tem	ter	VERB	VERB	_	1	ccomp	_	TokenRange=17:20
5	a	o	DET	DET	_	6	det	_	TokenRange=21:22
6	justica	_	NOUN	NOUN	_	4	obj	_	TokenRange=23:30
7	mais	mais	ADV	ADV	_	8	advmod	_	TokenRange=31:35
8	cara	caro	ADJ	ADJ	_	6	amod	_	TokenRange=36:40
9-10	do	_	_	_	_	_	_	_	TokenRange=41:43
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	mundo	mundo	NOUN	NOUN	_	6	nmod	_	TokenRange=44:49
12	e	e	CCONJ	CONJ	_	14	cc	_	TokenRange=50:51
13	so	so	ADV	ADV	_	14	advmod	_	TokenRange=52:54
14	temos	ter	VERB	VERB	_	4	conj	_	TokenRange=55:60
15	o	o	DET	DET	_	16	det	_	TokenRange=61:62
16	sergio	sergio	NOUN	NOUN	_	14	obj	_	TokenRange=63:69
17	moro	moro	NOUN	NOUN	_	16	flat	_	TokenRange=70:74
18	trabalhando	trabalhar	VERB	VERB	_	16	acl	_	TokenRange=75:86
19	abre	abrir	VERB	VERB	_	18	parataxis	_	TokenRange=87:91
20	aspas	aspa	NOUN	NOUN	_	19	obj	_	TokenRange=92:97
21	veja	ver	VERB	VERB	_	4	conj	_	TokenRange=98:102
22	se	_	CCONJ	CONJ	_	36	mark	_	TokenRange=103:105
23	e	_	CCONJ	CONJ	_	24	cc	_	TokenRange=106:107
24	possivel	_	ADJ	ADJ	_	30	xcomp	_	TokenRange=108:116
25	viver	viver	VERB	VERB	_	21	ccomp	_	TokenRange=117:122
26-27	no	_	_	_	_	_	_	_	TokenRange=123:125
26	em	em	ADP	ADP	_	29	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
28	nosso	_	DET	DET	_	29	det:poss	_	TokenRange=126:131
29	brasil	brasil	NOUN	NOUN	_	25	nmod	_	TokenRange=132:138
30	veja	ver	VERB	VERB	_	21	ccomp	_	TokenRange=139:143
31	se	_	CCONJ	CONJ	_	30	mark	_	TokenRange=144:146
32	e	_	CCONJ	CONJ	_	33	cc	_	TokenRange=147:148
33	possivel	_	ADJ	ADJ	_	30	xcomp	_	TokenRange=149:157
34	a	o	DET	DET	_	35	det	_	TokenRange=158:159
35	gente	gente	NOUN	NOUN	_	36	nsubj	_	TokenRange=160:165
36	conviver	conviver	VERB	VERB	_	21	ccomp	_	TokenRange=166:174
37	com	com	ADP	ADP	_	39	case	_	TokenRange=175:178
38	essa	_	DET	DET	_	39	det	_	TokenRange=179:183
39	gente	gente	NOUN	NOUN	_	36	nmod	_	TokenRange=184:189
40	que	_	PRON	PRON	_	41	nsubj	_	TokenRange=190:193
41	vive	_	VERB	VERB	_	39	acl:relcl	_	TokenRange=194:198
42-43	da	_	_	_	_	_	_	_	TokenRange=199:201
42	de	de	ADP	ADP	_	44	case	_	_
43	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	44	det	_	_
44	politica	_	NOUN	NOUN	_	41	nmod	_	TokenRange=202:210
45	o	_	PRON	PRON	_	36	obj	_	TokenRange=211:212
46	que	_	PRON	PRON	_	41	nsubj	_	TokenRange=213:216
47-48	nos	_	_	_	_	_	_	_	TokenRange=217:220
47	em	em	ADP	ADP	_	49	case	_	_
48	os	o	PRON	PRON	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	49	det	_	_
49	temos	ter	VERB	VERB	_	45	acl:relcl	_	TokenRange=221:226
50	nesse	_	ADP	ADP	_	51	case	_	TokenRange=227:232
51	momento	momento	NOUN	NOUN	_	49	nmod	_	TokenRange=233:240
52	e	e	CCONJ	CONJ	_	54	cc	_	TokenRange=241:242
53	a	o	DET	DET	_	54	det	_	TokenRange=243:244
54	justica	_	NOUN	NOUN	_	45	conj	_	TokenRange=245:252
55	mais	mais	ADV	ADV	_	56	advmod	_	TokenRange=253:257
56	cara	caro	ADJ	ADJ	_	54	amod	_	TokenRange=258:262
57-58	do	_	_	_	_	_	_	_	TokenRange=263:265
57	de	de	ADP	ADP	_	59	case	_	_
58	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
