# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = grupo faz manifestacao em uberlandia pela absolvicao do expresidente lula ato ocorre simultaneamente ao julgamento do recurso do petista no trf4 movimento comecou em frente ao predio da justica federal integrantes de movimentos sociais manifestaram em uberlandia nesta quartafeira 24 pela absolvicao do petista luiz inacio lula da silva pt a acao comecou em frente ao predio da justica federal no inicio da manha simultaneamente ao julgamento do recurso do expresidente luiz inacio lula da silva pt no tribunal regional federal da 4 regiao trf4 a policia militar acompanhou o protesto e contabilizou pelo menos 70 pessoas ja a organizacao do
1	grupo	grupo	NOUN	NOUN	_	2	nsubj	_	TokenRange=0:5
2	faz	fazer	VERB	VERB	_	0	root	_	TokenRange=6:9
3	manifestacao	manifestacao	NOUN	NOUN	_	2	obj	_	TokenRange=10:22
4	em	em	ADP	ADP	_	5	case	_	TokenRange=23:25
5	uberlandia	uberlandia	NOUN	NOUN	_	2	nmod	_	TokenRange=26:36
6-7	pela	_	_	_	_	_	_	_	TokenRange=37:41
6	por	por	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	absolvicao	_	NOUN	NOUN	_	2	nmod	_	TokenRange=42:52
9-10	do	_	_	_	_	_	_	_	TokenRange=53:55
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	expresidente	expresidente	NOUN	NOUN	_	8	nmod	_	TokenRange=56:68
12	lula	lula	ADJ	ADJ	_	11	amod	_	TokenRange=69:73
13	ato	ato	NOUN	NOUN	_	14	nsubj	_	TokenRange=74:77
14	ocorre	ocorrer	VERB	VERB	_	2	parataxis	_	TokenRange=78:84
15	simultaneamente	simultaneamente	ADV	ADV	_	14	advmod	_	TokenRange=85:100
16-17	ao	_	_	_	_	_	_	_	TokenRange=101:103
16	a	a	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	julgamento	julgamento	NOUN	NOUN	_	15	nmod	_	TokenRange=104:114
19-20	do	_	_	_	_	_	_	_	TokenRange=115:117
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	recurso	recurso	NOUN	NOUN	_	18	nmod	_	TokenRange=118:125
22-23	do	_	_	_	_	_	_	_	TokenRange=126:128
22	de	de	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	petista	petista	NOUN	NOUN	_	21	nmod	_	TokenRange=129:136
25-26	no	_	_	_	_	_	_	_	TokenRange=137:139
25	em	em	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	trf4	_	NOUN	NOUN	_	29	nmod	_	TokenRange=140:144
28	movimento	movimento	NOUN	NOUN	_	29	nsubj	_	TokenRange=145:154
