# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no forum economico de davos doze soldados do exercito suico sao flagrados com entorpecentes soldados suicos que estavam encarregados de proteger o forum economico mundial em davos foram dispensados apos testes de deteccao de drogas darem resultado positivo para uso de cocaina a nota foi publicada pelo exercito suico cinco foram mandados para casa e outros sete foram disciplinados por consumo de cannabis depois de todos os 12 serem suspeitos de intoxicacao todos os 12 soldados haviam consumido cannabis e cinco deles adicionalmente consumido cocaina disse o portavoz do exercito suico stefan holder os cinco soldados que foram enviados para casa serao expulsos do servico militar acrescentou holder e um deles descoberto com cerca de tres gramas de cocaina tera de enfrentar consequencias legais civis como multa ou detencao os outros sete que consumiram cannabis receberao punicao disciplinar
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	forum	forum	NOUN	NOUN	_	14	nmod	_	TokenRange=3:8
4	economico	economico	ADJ	ADJ	_	3	amod	_	TokenRange=9:18
5	de	de	ADP	ADP	_	6	case	_	TokenRange=19:21
6	davos	_	PROPN	NOUN	_	3	nmod	_	TokenRange=22:27
7	doze	_	NUM	NUM	NumType=Card	8	nummod	_	TokenRange=28:32
8	soldados	soldado	NOUN	NOUN	_	14	nsubj:pass	_	TokenRange=33:41
9-10	do	_	_	_	_	_	_	_	TokenRange=42:44
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	exercito	exercito	NOUN	NOUN	_	8	nmod	_	TokenRange=45:53
12	suico	suico	ADJ	ADJ	_	11	amod	_	TokenRange=54:59
13	sao	_	AUX	AUX	_	14	aux:pass	_	TokenRange=60:63
14	flagrados	flagrar	VERB	VERB	_	0	root	_	TokenRange=64:73
15	com	com	ADP	ADP	_	17	case	_	TokenRange=74:77
