# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na alemanha atirador abre fogo em cinema e atinge 25 pessoas o atirador estava vestindo uma mascara e abriu fogo dentro de um cinema o atentado aconteceu na cidade de viernheim e deixou entre 25 e 50 pessoas feridas hoje 23 de acordo com informacoes da emissora de tv publica alema a norteamericana cnn e a reuters tambem noticiaram o fato viernheim fica proxima a frankfurt ainda nao se sabe o que motivou o ataque o local foi cercado pela policia e ainda nao ha informacoes se o atirador fez refens o jornal darmstadter echo informou pelo menos 50 pessoas podem estar feridas
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	alemanha	alemanha	NOUN	NOUN	_	5	nmod	_	TokenRange=3:11
4	atirador	atirador	NOUN	NOUN	_	5	nsubj	_	TokenRange=12:20
5	abre	abrir	VERB	VERB	_	0	root	_	TokenRange=21:25
6	fogo	fogo	NOUN	NOUN	_	5	obj	_	TokenRange=26:30
7	em	em	ADP	ADP	_	8	case	_	TokenRange=31:33
8	cinema	cinema	NOUN	NOUN	_	5	nmod	_	TokenRange=34:40
9	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=41:42
10	atinge	atingir	VERB	VERB	_	5	conj	_	TokenRange=43:49
11	25	_	NUM	NUM	NumType=Card	12	nummod	_	TokenRange=50:52
12	pessoas	pessoa	NOUN	NOUN	_	10	obj	_	TokenRange=53:60
13	o	o	DET	DET	_	14	det	_	TokenRange=61:62
14	atirador	atirador	NOUN	NOUN	_	16	nsubj	_	TokenRange=63:71
15	estava	estar	AUX	AUX	_	16	aux	_	TokenRange=72:78
16	vestindo	vestir	VERB	VERB	_	5	conj	_	TokenRange=79:87
17	uma	um	DET	DET	_	18	det	_	TokenRange=88:91
18	mascara	mascara	NOUN	NOUN	_	16	obj	_	TokenRange=92:99
19	e	e	CCONJ	CONJ	_	20	cc	_	TokenRange=100:101
20	abriu	abrir	VERB	VERB	_	16	conj	_	TokenRange=102:107
21	fogo	fogo	NOUN	NOUN	_	20	obj	_	TokenRange=108:112
22	dentro	dentro	ADV	ADV	_	20	advmod	_	TokenRange=113:119
23	de	de	ADP	ADP	_	25	case	_	TokenRange=120:122
24	um	um	DET	DET	_	25	det	_	TokenRange=123:125
25	cinema	cinema	NOUN	NOUN	_	22	nmod	_	TokenRange=126:132
26	o	o	DET	DET	_	27	det	_	TokenRange=133:134
27	atentado	atentado	NOUN	NOUN	_	28	nsubj	_	TokenRange=135:143
28	aconteceu	acontecer	VERB	VERB	_	5	conj	_	TokenRange=144:153
29-30	na	_	_	_	_	_	_	_	TokenRange=154:156
29	em	em	ADP	ADP	_	31	case	_	_
30	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
31	cidade	cidade	NOUN	NOUN	_	28	nmod	_	TokenRange=157:163
32	de	de	ADP	ADP	_	33	case	_	TokenRange=164:166
33	viernheim	viernheim	NOUN	NOUN	_	31	nmod	_	TokenRange=167:176
34	e	e	CCONJ	CONJ	_	35	cc	_	TokenRange=177:178
