# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos declarar brizola heroi patria dilma pode abandonar pt ir pdt exministro educacao cid gomes pdt sugeriu presidente dilma rousseff saia pt distancie proximo processo eleitoral reverter queda popularidade desfiliar pt assumir compromisso publico participar campanha sucessao deixar coisas acontecam meio politica poderia desarmar pouco psdb posicao radical golpista tratar coisas pt ideologico disse gomes disse pais viveu crise organica decorrente relacao promiscua poderes legislativo executivo baseada chantagem achaque muda noite dia proxima eleicao vai permitir gente comece construir nova relacao vem dilma render tentou resistir comeco conseguiu completou dilma filiada pdt sancionou recentemente lei inclui politico gaucho leonel brizola livro herois patria homenageia brasileiros destacaram defesa construcao historia nacional ultima segunda 04 ministrochefe casa civil jaques wagner disparou criticas pt disse partido lambuzou
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
2	declarar	declarar	VERB	VERB	_	8	advcl	_	TokenRange=5:13
3	brizola	brizola	NOUN	NOUN	_	2	obj	_	TokenRange=14:21
4	heroi	heroi	NOUN	NOUN	_	3	amod	_	TokenRange=22:27
5	patria	patria	NOUN	NOUN	_	3	flat	_	TokenRange=28:34
6	dilma	_	PROPN	PNOUN	_	8	nsubj	_	TokenRange=35:40
7	pode	_	AUX	AUX	_	8	aux	_	TokenRange=41:45
8	abandonar	abandonar	VERB	VERB	_	0	root	_	TokenRange=46:55
9	pt	_	NOUN	NOUN	_	8	obj	_	TokenRange=56:58
10	ir	ir	NOUN	NOUN	_	8	nsubj	_	TokenRange=59:61
11	pdt	_	NOUN	NOUN	_	8	nsubj	_	TokenRange=62:65
12	exministro	exministro	NOUN	NOUN	_	10	appos	_	TokenRange=66:76
13	educacao	educacao	NOUN	NOUN	_	12	flat	_	TokenRange=77:85
14	cid	_	NOUN	NOUN	_	17	nsubj	_	TokenRange=86:89
15	gomes	gome	NOUN	NOUN	_	12	flat	_	TokenRange=90:95
16	pdt	_	NOUN	NOUN	_	17	nsubj	_	TokenRange=96:99
17	sugeriu	sugerir	VERB	VERB	_	8	conj	_	TokenRange=100:107
18	presidente	presidente	NOUN	NOUN	_	17	obj	_	TokenRange=108:118
19	dilma	dilma	ADJ	ADJ	_	18	amod	_	TokenRange=119:124
20	rousseff	rousseff	NOUN	NOUN	_	18	appos	_	TokenRange=125:133
21	saia	_	VERB	VERB	_	17	conj	_	TokenRange=134:138
22	pt	_	PROPN	NOUN	_	23	nsubj	_	TokenRange=139:141
23	distancie	distanciar	VERB	VERB	_	21	ccomp	_	TokenRange=142:151
24	proximo	proximo	ADJ	ADJ	_	25	amod	_	TokenRange=152:159
25	processo	processo	NOUN	NOUN	_	23	nsubj	_	TokenRange=160:168
26	eleitoral	eleitoral	ADJ	ADJ	_	25	amod	_	TokenRange=169:178
27	reverter	reverter	VERB	VERB	_	21	ccomp	_	TokenRange=179:187
28	queda	queda	NOUN	NOUN	_	27	obj	_	TokenRange=188:193
