# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tucanou advogado de defesa de dilma vai trabalhar para prefeito do psdb o exministro da agu e advogado de defesa de dilma no processo do impeachment podera se tornar advogado do prefeito tucano joao doria a informacao foi divulgada pelo colunista renato onofre da veja de acordo com a publicacao jose eduardo cardozo e doria tem uma amizade de longa data cardozo tambem teria participacao no grupo empresarial lide comandado pelo prefeito de sp atualmente cardoso e procurador da prefeitura de sao paulo
1	tucanou	tucanar	VERB	VERB	_	0	root	_	TokenRange=0:7
2	advogado	advogado	NOUN	NOUN	_	1	obj	_	TokenRange=8:16
3	de	de	ADP	ADP	_	4	case	_	TokenRange=17:19
4	defesa	_	NOUN	NOUN	_	2	nmod	_	TokenRange=20:26
5	de	de	ADP	ADP	_	6	case	_	TokenRange=27:29
6	dilma	dilma	NOUN	NOUN	_	2	nmod	_	TokenRange=30:35
7	vai	ir	AUX	AUX	_	8	aux	_	TokenRange=36:39
8	trabalhar	trabalhar	VERB	VERB	_	1	ccomp	_	TokenRange=40:49
9	para	para	ADP	ADP	_	10	case	_	TokenRange=50:54
10	prefeito	prefeito	NOUN	NOUN	_	8	nmod	_	TokenRange=55:63
11-12	do	_	_	_	_	_	_	_	TokenRange=64:66
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	psdb	_	NOUN	NOUN	_	10	nmod	_	TokenRange=67:71
14	o	o	DET	DET	_	15	det	_	TokenRange=72:73
15	exministro	exministro	NOUN	NOUN	_	8	nsubj	_	TokenRange=74:84
16-17	da	_	_	_	_	_	_	_	TokenRange=85:87
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	agu	_	NOUN	NOUN	_	15	nmod	_	TokenRange=88:91
19	e	e	CCONJ	CONJ	_	20	cc	_	TokenRange=92:93
20	advogado	advogado	NOUN	NOUN	_	15	conj	_	TokenRange=94:102
21	de	de	ADP	ADP	_	22	case	_	TokenRange=103:105
22	defesa	_	NOUN	NOUN	_	20	nmod	_	TokenRange=106:112
23	de	de	ADP	ADP	_	24	case	_	TokenRange=113:115
24	dilma	dilma	NOUN	NOUN	_	20	nmod	_	TokenRange=116:121
25-26	no	_	_	_	_	_	_	_	TokenRange=122:124
25	em	em	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	processo	processo	NOUN	NOUN	_	34	nmod	_	TokenRange=125:133
28-29	do	_	_	_	_	_	_	_	TokenRange=134:136
28	de	de	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	impeachment	impeachment	NOUN	NOUN	_	27	nmod	_	TokenRange=137:148
31	podera	poder	AUX	AUX	_	34	aux	_	TokenRange=149:155
32	se	_	PRON	PRON	_	34	expl:pv	_	TokenRange=156:158
33	tornar	tornar	AUX	AUX	_	34	cop	_	TokenRange=159:165
34	advogado	advogado	NOUN	NOUN	_	8	conj	_	TokenRange=166:174
35-36	do	_	_	_	_	_	_	_	TokenRange=175:177
35	de	de	ADP	ADP	_	37	case	_	_
36	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	37	det	_	_
