# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = 400 anos nostradamus previu vitoria donald trump disse apocalipse viria junto acordo seguidores michel notre dame nostradamus fato previsto seculo xvi grande audacioso duvidoso eleito governador exercito ponte quebrada cidade ira desmaiar medo muitos acreditam parte audacioso duvidoso refere donald trump governador exercito referese responsavel lideranca forcas militares mundiais outra predicao diz falsa trombeta fara bizancio mude leis bizancio antiga colonia grega alguns estudiosos ligam fato grecia tornando ponto apoio imigrantes refugiados tema centro candidatura trump finalmente nostradamus escreve republica grande cidade ira envolver operacoes militares caras ordenadas trompete levara temores guerra nuclear acontecera mundo partir agora assista video abaixo
1	400	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:3
2	anos	ano	NOUN	NOUN	_	4	nsubj	_	TokenRange=4:8
3	nostradamus	nostradamus	NOUN	NOUN	_	2	appos	_	TokenRange=9:20
4	previu	prever	VERB	VERB	_	0	root	_	TokenRange=21:27
5	vitoria	vitoria	NOUN	NOUN	_	4	obj	_	TokenRange=28:35
6	donald	_	NOUN	NOUN	_	7	case	_	TokenRange=36:42
7	trump	_	NOUN	NOUN	_	8	nsubj	_	TokenRange=43:48
8	disse	dizer	VERB	VERB	_	4	parataxis	_	TokenRange=49:54
9	apocalipse	apocalipse	NOUN	NOUN	_	8	obj	_	TokenRange=55:65
10	viria	vir	VERB	VERB	_	8	ccomp	_	TokenRange=66:71
11	junto	junto	ADV	ADV	_	10	advmod	_	TokenRange=72:77
12	acordo	acordo	NOUN	NOUN	_	10	obj	_	TokenRange=78:84
13	seguidores	seguidor	ADJ	ADJ	_	12	amod	_	TokenRange=85:95
14	michel	michel	NOUN	NOUN	_	12	appos	_	TokenRange=96:102
15	notre	_	ADJ	ADJ	_	16	case	_	TokenRange=103:108
16	dame	dame	NOUN	NOUN	_	14	nmod	_	TokenRange=109:113
17	nostradamus	_	ADJ	ADJ	_	18	amod	_	TokenRange=114:125
18	fato	fato	NOUN	NOUN	_	4	parataxis	_	TokenRange=126:130
19	previsto	previsto	ADJ	ADJ	_	18	amod	_	TokenRange=131:139
20	seculo	seculo	NOUN	NOUN	_	18	appos	_	TokenRange=140:146
21	xvi	_	ADJ	ADJ	_	20	amod	_	TokenRange=147:150
22	grande	grande	ADJ	ADJ	_	23	amod	_	TokenRange=151:157
23	audacioso	audacioso	NOUN	NOUN	_	4	nsubj	_	TokenRange=158:167
24	duvidoso	duvidoso	ADJ	ADJ	_	23	amod	_	TokenRange=168:176
25	eleito	eleger	VERB	VERB	_	26	acl	_	TokenRange=177:183
26	governador	governador	NOUN	NOUN	_	23	appos	_	TokenRange=184:194
27	exercito	exercito	ADJ	ADJ	_	26	amod	_	TokenRange=195:203
28	ponte	ponte	NOUN	NOUN	_	26	appos	_	TokenRange=204:209
29	quebrada	quebrado	ADJ	ADJ	_	30	amod	_	TokenRange=210:218
30	cidade	cidade	NOUN	NOUN	_	32	nsubj	_	TokenRange=219:225
31	ira	_	AUX	AUX	_	32	aux	_	TokenRange=226:229
32	desmaiar	desmaiar	VERB	VERB	_	4	parataxis	_	TokenRange=230:238
33	medo	medo	NOUN	NOUN	_	32	obj	_	TokenRange=239:243
34	muitos	_	PRON	PRON	_	35	nsubj	_	TokenRange=244:250
35	acreditam	acreditar	VERB	VERB	_	32	parataxis	_	TokenRange=251:260
36	parte	parte	NOUN	NOUN	_	32	obj	_	TokenRange=261:266
37	audacioso	audacioso	ADJ	ADJ	_	36	amod	_	TokenRange=267:276
38	duvidoso	duvidoso	ADJ	ADJ	_	36	amod	_	TokenRange=277:285
39	refere	referir	NOUN	NOUN	_	32	parataxis	_	TokenRange=286:292
40	donald	donald	NOUN	NOUN	_	39	nsubj	_	TokenRange=293:299
41	trump	_	NOUN	NOUN	_	40	flat	_	TokenRange=300:305
42	governador	governador	NOUN	NOUN	_	40	appos	_	TokenRange=306:316
43	exercito	exercito	NOUN	NOUN	_	42	amod	_	TokenRange=317:325
44	referese	referese	NOUN	NOUN	_	42	appos	_	TokenRange=326:334
45	responsavel	responsavel	ADJ	ADJ	_	42	amod	_	TokenRange=335:346
46	lideranca	_	NOUN	NOUN	_	44	appos	_	TokenRange=347:356
47	forcas	forca	NOUN	NOUN	_	45	appos	_	TokenRange=357:363
48	militares	militar	ADJ	ADJ	_	47	amod	_	TokenRange=364:373
49	mundiais	mundial	ADJ	ADJ	_	47	amod	_	TokenRange=374:382
50	outra	_	DET	DET	_	51	det	_	TokenRange=383:388
51	predicao	predicao	NOUN	NOUN	_	52	nsubj	_	TokenRange=389:397
52	diz	dizer	VERB	VERB	_	4	parataxis	_	TokenRange=398:401
53	falsa	falso	ADJ	ADJ	_	54	amod	_	TokenRange=402:407
54	trombeta	trombeta	NOUN	NOUN	_	65	nsubj	_	TokenRange=408:416
55	fara	_	VERB	ADP	_	65	nmod	_	TokenRange=417:421
56	bizancio	bizancio	NOUN	NOUN	_	68	obj	_	TokenRange=422:430
57	mude	_	DET	DET	_	58	det	_	TokenRange=431:435
58	leis	lei	NOUN	NOUN	_	56	conj	_	TokenRange=436:440
59	bizancio	bizancio	ADJ	NOUN	_	58	amod	_	TokenRange=441:449
60	antiga	antigo	ADJ	ADJ	_	61	amod	_	TokenRange=450:456
61	colonia	colonia	NOUN	NOUN	_	56	appos	_	TokenRange=457:464
62	grega	grego	ADJ	ADJ	_	61	amod	_	TokenRange=465:470
63	alguns	_	DET	DET	_	64	det	_	TokenRange=471:477
64	estudiosos	estudioso	NOUN	NOUN	_	65	nsubj	_	TokenRange=478:488
65	ligam	ligar	VERB	VERB	_	52	parataxis	_	TokenRange=489:494
66	fato	fato	NOUN	NOUN	_	65	obj	_	TokenRange=495:499
67	grecia	grecia	NOUN	NOUN	_	66	appos	_	TokenRange=500:506
68	tornando	tornar	VERB	VERB	_	66	acl	_	TokenRange=507:515
69	ponto	ponto	NOUN	NOUN	_	68	obj	_	TokenRange=516:521
70	apoio	apoio	NOUN	NOUN	_	66	appos	_	TokenRange=522:527
71	imigrantes	imigrante	ADJ	ADJ	_	70	amod	_	TokenRange=528:538
72	refugiados	refugiado	ADJ	NOUN	_	70	amod	_	TokenRange=539:549
73	tema	tema	NOUN	NOUN	_	70	appos	_	TokenRange=550:554
74	centro	centro	NOUN	NOUN	_	73	flat	_	TokenRange=555:561
75	candidatura	candidatura	NOUN	NOUN	_	73	appos	_	TokenRange=562:573
76	trump	_	NOUN	NOUN	_	75	appos	_	TokenRange=574:579
