# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiu a sentenca lula e condenado a mais de 9 anos de prisao a sentenca pelos crimes de corrupcao passiva e lavagem de dinheiro foi anunciada hoje o expresidente foi acusado pelo mpf de receber propina da oas entre as benesses recebidas esta o apartamento triplex situado na cidade de guaruja sp segundo a denuncia do ministerio publico federal o petista teria recebido aproximadamente r 37 milhoes em vantagens ilicitas pagas pela oas cabe recurso da sentenca de moro nas instancias superiores mais informacoes a seguir leia abaixo a sentenca ou clique aqui
1	saiu	sair	VERB	VERB	_	0	root	_	TokenRange=0:4
2	a	o	DET	DET	_	3	det	_	TokenRange=5:6
3	sentenca	_	NOUN	NOUN	_	1	nsubj	_	TokenRange=7:15
4	lula	lula	NOUN	NOUN	_	3	appos	_	TokenRange=16:20
5	e	e	CCONJ	CONJ	_	6	cc	_	TokenRange=21:22
6	condenado	condenar	VERB	VERB	_	1	conj	_	TokenRange=23:32
7	a	_	ADP	ADP	_	11	case	_	TokenRange=33:34
8	mais	mais	ADV	ADV	_	10	advmod	_	TokenRange=35:39
9	de	de	ADP	ADP	_	8	case	_	TokenRange=40:42
10	9	_	NUM	NUM	NumType=Card	11	nummod	_	TokenRange=43:44
11	anos	ano	NOUN	NOUN	_	6	nmod	_	TokenRange=45:49
12	de	de	ADP	ADP	_	13	case	_	TokenRange=50:52
13	prisao	prisao	NOUN	NOUN	_	11	nmod	_	TokenRange=53:59
14	a	o	DET	DET	_	15	det	_	TokenRange=60:61
15	sentenca	_	NOUN	NOUN	_	27	nsubj:pass	_	TokenRange=62:70
16-17	pelos	_	_	_	_	_	_	_	TokenRange=71:76
16	por	por	ADP	ADP	_	18	case	_	_
17	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	18	det	_	_
18	crimes	crime	NOUN	NOUN	_	15	nmod	_	TokenRange=77:83
19	de	de	ADP	ADP	_	20	case	_	TokenRange=84:86
20	corrupcao	corrupcao	NOUN	NOUN	_	18	nmod	_	TokenRange=87:96
21	passiva	passivo	ADJ	ADJ	_	20	amod	_	TokenRange=97:104
22	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=105:106
23	lavagem	lavagem	NOUN	NOUN	_	20	conj	_	TokenRange=107:114
24	de	de	ADP	ADP	_	25	case	_	TokenRange=115:117
25	dinheiro	dinheiro	NOUN	NOUN	_	23	nmod	_	TokenRange=118:126
26	foi	_	AUX	AUX	_	27	aux:pass	_	TokenRange=127:130
27	anunciada	anunciar	VERB	VERB	_	1	conj	_	TokenRange=131:140
28	hoje	hoje	ADV	ADV	_	27	advmod	_	TokenRange=141:145
29	o	o	DET	DET	_	30	det	_	TokenRange=146:147
30	expresidente	expresidente	NOUN	NOUN	_	32	nsubj:pass	_	TokenRange=148:160
31	foi	_	AUX	AUX	_	32	aux:pass	_	TokenRange=161:164
32	acusado	acusar	VERB	VERB	_	27	parataxis	_	TokenRange=165:172
33-34	pelo	_	_	_	_	_	_	_	TokenRange=173:177
33	por	por	ADP	ADP	_	35	case	_	_
34	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	35	det	_	_
35	mpf	mpf	NOUN	NOUN	_	32	nmod	_	TokenRange=178:181
36	de	_	ADP	ADP	_	37	mark	_	TokenRange=182:184
37	receber	receber	VERB	VERB	_	32	nmod	_	TokenRange=185:192
38	propina	propina	NOUN	NOUN	_	37	obj	_	TokenRange=193:200
39-40	da	_	_	_	_	_	_	_	TokenRange=201:203
39	de	de	ADP	ADP	_	41	case	_	_
40	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
41	oas	_	NOUN	NOUN	_	38	nmod	_	TokenRange=204:207
42	entre	_	ADP	ADP	_	44	case	_	TokenRange=208:213
43	as	o	DET	DET	_	44	det	_	TokenRange=214:216
44	benesses	benesse	NOUN	NOUN	_	37	nmod	_	TokenRange=217:225
45	recebidas	receber	VERB	VERB	_	44	acl	_	TokenRange=226:235
46	esta	_	PRON	PRON	_	45	parataxis	_	TokenRange=236:240
47	o	o	DET	DET	_	48	det	_	TokenRange=241:242
48	apartamento	apartamento	NOUN	NOUN	_	46	nsubj	_	TokenRange=243:254
49	triplex	_	NOUN	NOUN	_	48	flat	_	TokenRange=255:262
50	situado	situar	VERB	VERB	_	48	acl	_	TokenRange=263:270
51-52	na	_	_	_	_	_	_	_	TokenRange=271:273
51	em	em	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	cidade	cidade	NOUN	NOUN	_	50	nmod	_	TokenRange=274:280
54	de	de	ADP	ADP	_	55	case	_	TokenRange=281:283
55	guaruja	guaruja	NOUN	NOUN	_	53	nmod	_	TokenRange=284:291
56	sp	_	ADJ	ADJ	_	55	appos	_	TokenRange=292:294
57	segundo	_	ADP	ADP	_	59	case	_	TokenRange=295:302
58	a	o	DET	DET	_	59	det	_	TokenRange=303:304
