# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = discutir alianca eleitoral agora e colocar o carro a frente dos bois como dizia meu avo chico ferreira a hora agora e de aparar arestas e sobretudo de unir forcas para aprovacao da reforma da previdencia e decepcionante que o psdb ainda esteja a exigir de forma demagogica e irresponsavel que o governo torne a reforma que segundo reportagem do estado de ontem so atingira um terco dos trabalhadores nao se decida por um fechamento de questao que adie esse problema terrivel de caixa para a proxima gestao seja ela qual for afinal o partido ja cuspiu no eleitor e rasgou sua historia se quer ter algum futuro tem que ser digno pelo menos de seu passado resgatando essa bandeira que nao e do governo mas do pais para ouvir clique aqui e em seguida no play para ouvir agora ou nunca mais com beth guzzo clique aqui abaixo a integra da degravacao do comentario eldorado 28 de novembro de 2017 tercafeira o governador de sao paulo geraldo alckmin diz que aceita assumir comando do psdb em nome de unidade partidaria sera que agora os tucanos se unem mesmo se for esse o caminho para unir o partido nosso nome esta a disposicao afirmou o governador de sao paulo segundo reportagem de pedro venceslau no estado de hoje sonora 2811 alckmin o novo presidente da legenda sera oficialmente definido na convencao nacional do partido marcada para o proximo dia 9 em brasilia o senador tasso jereissati ce e o governador de goias marconi perillo desistiram da disputa e com o gesto abriram caminho para alckmin assumir a legenda buscar a unificacao da sigla e fortalecer seu nome como eventual candidato a presidencia da republica em 2018 isso tudo ocorreu apos jantar no palacio dos bandeirantes em sao paulo com tasso perillo e o expresidente fernando henrique cardoso a articulacao para evitar uma disputa interna entre a ala dos cabecas pretas representada por tasso e critica ao presidente michel temer e a dos cabecas brancas de perillo que defende o peemedebista foi coordenada por fhc a movimentacao proalckmin busca uma solucao para o impasse que quase levou o psdb a implosao apos o presidente licenciado aecio neves mg destituir tasso do comando interino da legenda e substituilo pelo exgovernador alberto goldman alckmin foi questionado tambem sobre sua posicao em relacao ao desembarque do psdb da gestao temer minha posicao nunca mudou sempre achei que nao devia ter entrado mas a decisao majoritaria na epoca foi outra afirmou entre os tucanos uma alianca com o pmdb nao esta descartada mas uma eventual defesa do governo na campanha e uma questao que ainda divide o partido apesar do posicionamento de alckmin o palacio do planalto com o acordo que vai evitar um confronto pelo comando do psdb ve agora brecha para uma possivel composicao eleitoral no proximo ano conforme mostrou o estado no sabado temer articula uma frente de centrodireita para defender sua gestao e tentar isolar o expresidente luiz inacio lula da
1	discutir	discutir	VERB	VERB	_	21	csubj	_	TokenRange=0:8
2	alianca	alianca	NOUN	NOUN	_	1	obj	_	TokenRange=9:16
3	eleitoral	eleitoral	ADJ	ADJ	_	2	amod	_	TokenRange=17:26
4	agora	agora	ADV	ADV	_	1	advmod	_	TokenRange=27:32
5	e	e	CCONJ	CONJ	_	6	cc	_	TokenRange=33:34
6	colocar	colocar	VERB	VERB	_	1	conj	_	TokenRange=35:42
7	o	o	DET	DET	_	8	det	_	TokenRange=43:44
8	carro	carro	NOUN	NOUN	_	6	obj	_	TokenRange=45:50
9	a	_	ADP	ADP	_	10	case	_	TokenRange=51:52
10	frente	frente	NOUN	NOUN	_	6	nmod	_	TokenRange=53:59
11-12	dos	_	_	_	_	_	_	_	TokenRange=60:63
11	de	de	ADP	ADP	_	13	case	_	_
12	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	13	det	_	_
13	bois	boi	NOUN	NOUN	_	10	nmod	_	TokenRange=64:68
14	como	_	CCONJ	CONJ	_	15	mark	_	TokenRange=69:73
15	dizia	dizer	VERB	VERB	_	6	advcl	_	TokenRange=74:79
16	meu	_	DET	DET	_	17	det:poss	_	TokenRange=80:83
17	avo	avo	NOUN	NOUN	_	15	nsubj	_	TokenRange=84:87
18	chico	chico	NOUN	NOUN	_	17	appos	_	TokenRange=88:93
19	ferreira	_	PROPN	PNOUN	_	18	flat	_	TokenRange=94:102
20	a	o	DET	DET	_	21	det	_	TokenRange=103:104
21	hora	hora	NOUN	NOUN	_	0	root	_	TokenRange=105:109
22	agora	agora	ADV	ADV	_	21	advmod	_	TokenRange=110:115
23	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=116:117
24	de	_	ADP	ADP	_	25	mark	_	TokenRange=118:120
25	aparar	aparar	VERB	VERB	_	1	conj	_	TokenRange=121:127
26	arestas	aresta	NOUN	NOUN	_	25	obj	_	TokenRange=128:135
27	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=136:137
28	sobretudo	sobretudo	ADV	ADV	_	30	advmod	_	TokenRange=138:147
29	de	_	ADP	ADP	_	30	mark	_	TokenRange=148:150
30	unir	unir	VERB	VERB	_	25	conj	_	TokenRange=151:155
31	forcas	forca	NOUN	NOUN	_	30	obj	_	TokenRange=156:162
32	para	para	ADP	ADP	_	33	case	_	TokenRange=163:167
33	aprovacao	aprovacao	NOUN	NOUN	_	30	nmod	_	TokenRange=168:177
34-35	da	_	_	_	_	_	_	_	TokenRange=178:180
34	de	de	ADP	ADP	_	36	case	_	_
35	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
36	reforma	reforma	NOUN	NOUN	_	33	nmod	_	TokenRange=181:188
37-38	da	_	_	_	_	_	_	_	TokenRange=189:191
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	previdencia	previdencia	NOUN	NOUN	_	36	nmod	_	TokenRange=192:203
40	e	e	CCONJ	CONJ	_	41	cc	_	TokenRange=204:205
41	decepcionante	decepcionante	ADJ	ADJ	_	1	conj	_	TokenRange=206:219
42	que	que	CCONJ	CONJ	_	48	mark	_	TokenRange=220:223
43	o	o	DET	DET	_	44	det	_	TokenRange=224:225
44	psdb	psdb	NOUN	NOUN	_	48	nsubj	_	TokenRange=226:230
45	ainda	ainda	ADV	ADV	_	48	advmod	_	TokenRange=231:236
46	esteja	estar	AUX	AUX	_	48	aux	_	TokenRange=237:243
47	a	_	ADP	ADP	_	48	mark	_	TokenRange=244:245
48	exigir	exigir	VERB	VERB	_	182	ccomp	_	TokenRange=246:252
49	de	de	ADP	ADP	_	50	case	_	TokenRange=253:255
50	forma	forma	NOUN	NOUN	_	48	nmod	_	TokenRange=256:261
51	demagogica	demagogico	ADJ	ADJ	_	50	amod	_	TokenRange=262:272
52	e	e	CCONJ	CONJ	_	53	cc	_	TokenRange=273:274
53	irresponsavel	irresponsavel	ADJ	ADJ	_	51	conj	_	TokenRange=275:288
54	que	que	CCONJ	CONJ	_	57	mark	_	TokenRange=289:292
55	o	o	DET	DET	_	56	det	_	TokenRange=293:294
56	governo	governo	NOUN	NOUN	_	57	nsubj	_	TokenRange=295:302
57	torne	tornar	VERB	VERB	_	182	ccomp	_	TokenRange=303:308
58	a	o	DET	DET	_	59	det	_	TokenRange=309:310
59	reforma	reforma	NOUN	NOUN	_	57	obj	_	TokenRange=311:318
60	que	_	PRON	PRON	_	523	nsubj	_	TokenRange=319:322
