# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos sofrer lavagem cerebral evangelicos tentam pagar comerciante dinheiro sagrado caso aconteceu cacapava sp pm chamada solucionar impasse motorista abasteceu veiculo hora pagar r 11500 registrados bomba combustivel sacou papel branco dizendo dinheiro sagrado frentista receber entregaram papel branco la verificar acontecendo porem insistiam papel dinheiro pensei pegadinha disse gerente policia militar acionada homem esposa continuavam dizer tratava dinheiro tentou fugir ficou calmo aguardou chegada pm nunca vi nada assim explicou frentista subtenente pm acreditou viu pessoas humildes enganadas religiosos deve algum caso fanatismo gerente posto conseguiu chegar acordo motorista combustivel retirado veiculo boletim ocorrencia envolvidos liberados homem livre religiao oportunidade melhor viver vida normal completa sigmund freud
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
2	sofrer	sofrer	VERB	VERB	_	6	advcl	_	TokenRange=5:11
3	lavagem	lavagem	NOUN	NOUN	_	2	obj	_	TokenRange=12:19
4	cerebral	cerebral	ADJ	ADJ	_	3	amod	_	TokenRange=20:28
5	evangelicos	evangelico	NOUN	NOUN	_	6	nsubj	_	TokenRange=29:40
6	tentam	tentar	VERB	VERB	_	0	root	_	TokenRange=41:47
7	pagar	pagar	VERB	VERB	_	6	xcomp	_	TokenRange=48:53
8	comerciante	comerciante	NOUN	NOUN	_	7	obj	_	TokenRange=54:65
9	dinheiro	dinheiro	NOUN	NOUN	_	7	obj	_	TokenRange=66:74
10	sagrado	sagrado	ADJ	ADJ	_	9	amod	_	TokenRange=75:82
11	caso	caso	CCONJ	CONJ	_	12	mark	_	TokenRange=83:87
12	aconteceu	acontecer	VERB	VERB	_	6	advcl	_	TokenRange=88:97
13	cacapava	cacapava	NOUN	NOUN	_	12	nsubj	_	TokenRange=98:106
14	sp	_	NOUN	NOUN	_	13	flat	_	TokenRange=107:109
15	pm	_	DET	DET	_	17	nsubj	_	TokenRange=110:112
16	chamada	_	NOUN	NOUN	_	17	nsubj	_	TokenRange=113:120
17	solucionar	solucionar	VERB	VERB	_	13	conj	_	TokenRange=121:131
18	impasse	impasse	NOUN	NOUN	_	17	obj	_	TokenRange=132:139
19	motorista	motorista	ADJ	ADJ	_	18	amod	_	TokenRange=140:149
20	abasteceu	abastecer	VERB	VERB	_	18	acl:relcl	_	TokenRange=150:159
21	veiculo	_	NOUN	NOUN	_	20	obj	_	TokenRange=160:167
22	hora	hora	NOUN	NOUN	_	21	flat	_	TokenRange=168:172
23	pagar	pagar	VERB	VERB	_	20	ccomp	_	TokenRange=173:178
24	r	r	NOUN	NOUN	_	23	obj	_	TokenRange=179:180
25	11500	_	NUM	NUM	NumType=Card	24	appos	_	TokenRange=181:186
26	registrados	registrar	VERB	VERB	_	27	acl	_	TokenRange=187:198
27	bomba	bomba	NOUN	NOUN	_	29	nsubj	_	TokenRange=199:204
28	combustivel	combustivel	ADJ	ADJ	_	27	amod	_	TokenRange=205:216
