# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = bateu o desespero defesa de lula entra com habeas corpus para adiar depoimento advogados do expresidente protocolaram um pedido no trf4 para suspender o prazo do processo para que haja tempo de fazer uma melhor analise dos documentos e a segunda vez que a defesa do petista tenta adiar o depoimento na primeira ocasiao sergio moro negou o pedido dr zanin advogado de lula alegou e materialmente impossivel analisar toda a documentacao ate a proxima quartafeira 10 data em que havera o interrogatorio do expresidente para a defesa a acusacao conhece melhor os tais documentos o que provoca um desequilibrio entre as partes
1	bateu	bater	VERB	VERB	_	0	root	_	TokenRange=0:5
2	o	o	DET	DET	_	3	det	_	TokenRange=6:7
3	desespero	desespero	NOUN	NOUN	_	1	obj	_	TokenRange=8:17
4	defesa	_	NOUN	NOUN	_	7	nsubj	_	TokenRange=18:24
5	de	de	ADP	ADP	_	6	case	_	TokenRange=25:27
6	lula	lula	NOUN	NOUN	_	4	nmod	_	TokenRange=28:32
7	entra	entrar	VERB	VERB	_	1	parataxis	_	TokenRange=33:38
8	com	com	ADP	ADP	_	9	case	_	TokenRange=39:42
9	habeas	habeas	NOUN	NOUN	_	7	nmod	_	TokenRange=43:49
10	corpus	corpus	NOUN	NOUN	_	9	flat	_	TokenRange=50:56
11	para	_	ADP	ADP	_	12	mark	_	TokenRange=57:61
12	adiar	adiar	VERB	VERB	_	7	advcl	_	TokenRange=62:67
13	depoimento	depoimento	NOUN	NOUN	_	12	obj	_	TokenRange=68:78
14	advogados	advogado	NOUN	NOUN	_	18	nsubj	_	TokenRange=79:88
15-16	do	_	_	_	_	_	_	_	TokenRange=89:91
15	de	de	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	expresidente	expresidente	NOUN	NOUN	_	14	nmod	_	TokenRange=92:104
18	protocolaram	protocolar	VERB	VERB	_	1	parataxis	_	TokenRange=105:117
19	um	um	DET	DET	_	20	det	_	TokenRange=118:120
20	pedido	pedido	NOUN	NOUN	_	18	obj	_	TokenRange=121:127
21-22	no	_	_	_	_	_	_	_	TokenRange=128:130
21	em	em	ADP	ADP	_	23	case	_	_
22	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
23	trf4	_	NOUN	NOUN	_	20	nmod	_	TokenRange=131:135
24	para	_	ADP	ADP	_	25	mark	_	TokenRange=136:140
25	suspender	suspender	VERB	VERB	_	18	advcl	_	TokenRange=141:150
26	o	o	DET	DET	_	27	det	_	TokenRange=151:152
27	prazo	prazo	NOUN	NOUN	_	25	obj	_	TokenRange=153:158
28-29	do	_	_	_	_	_	_	_	TokenRange=159:161
28	de	de	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	processo	processo	NOUN	NOUN	_	27	nmod	_	TokenRange=162:170
31	para	_	ADP	ADP	_	33	mark	_	TokenRange=171:175
32	que	_	CCONJ	CONJ	_	31	fixed	_	TokenRange=176:179
33	haja	haver	VERB	VERB	_	18	advcl	_	TokenRange=180:184
34	tempo	tempo	NOUN	NOUN	_	33	obj	_	TokenRange=185:190
35	de	_	ADP	ADP	_	36	mark	_	TokenRange=191:193
36	fazer	fazer	VERB	VERB	_	34	nmod	_	TokenRange=194:199
37	uma	um	DET	DET	_	39	det	_	TokenRange=200:203
38	melhor	melhor	ADJ	ADJ	_	39	amod	_	TokenRange=204:210
39	analise	analise	NOUN	NOUN	_	36	obj	_	TokenRange=211:218
40-41	dos	_	_	_	_	_	_	_	TokenRange=219:222
40	de	de	ADP	ADP	_	42	case	_	_
41	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	42	det	_	_
42	documentos	documento	NOUN	NOUN	_	39	nmod	_	TokenRange=223:233
43	e	e	CCONJ	CONJ	_	63	cc	_	TokenRange=234:235
44	a	o	DET	DET	_	46	det	_	TokenRange=236:237
45	segunda	segundo	ADJ	ADJ	_	46	amod	_	TokenRange=238:245
46	vez	vez	NOUN	NOUN	_	33	conj	_	TokenRange=246:249
47	que	_	PRON	PRON	_	53	dep	_	TokenRange=250:253
48	a	o	DET	DET	_	49	det	_	TokenRange=254:255
49	defesa	_	NOUN	NOUN	_	53	nsubj	_	TokenRange=256:262
50-51	do	_	_	_	_	_	_	_	TokenRange=263:265
50	de	de	ADP	ADP	_	52	case	_	_
