# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tretados com justin bieber parceiros de demi lovato e parentes do sugar ray conheca o cheat codes trio de musica eletronica/pop toca no lollapalooza 2018 no domingo 25 no palco perry as 17h15 o trio de dance pop cheat codes toca no domingo 25 de lollapalooza 2018 e pelo visto os codigos de trapaca nao sao apenas uma brincadeira para usar no nome do grupo esses caras conhecem bem os caminhos para zerar a vida ta pra falar a verdade os quatro ultimos itens sao de so um deles kevin ford um dos produtores e hype man do cheat codes ou seja o cara que sobe na mesa toca buzina balanca bandeira e agita o show o americano conversou com o
1	tretados	tretado	NOUN	NOUN	_	15	acl	_	TokenRange=0:8
2	com	com	ADP	ADP	_	3	case	_	TokenRange=9:12
3	justin	_	NOUN	NOUN	_	1	nmod	_	TokenRange=13:19
4	bieber	_	NOUN	NOUN	_	3	flat	_	TokenRange=20:26
5	parceiros	parceiro	NOUN	NOUN	_	3	appos	_	TokenRange=27:36
6	de	de	ADP	ADP	_	7	case	_	TokenRange=37:39
7	demi	_	NOUN	NOUN	_	5	nmod	_	TokenRange=40:44
8	lovato	lovato	NOUN	NOUN	_	7	flat	_	TokenRange=45:51
9	e	e	CCONJ	CONJ	_	10	cc	_	TokenRange=52:53
10	parentes	parente	NOUN	NOUN	_	7	conj	_	TokenRange=54:62
11-12	do	_	_	_	_	_	_	_	TokenRange=63:65
11	de	de	ADP	ADP	_	13	case	_	_
12	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	13	det	_	_
13	sugar	sugar	NOUN	NOUN	_	10	nmod	_	TokenRange=66:71
14	ray	_	NOUN	NOUN	_	13	flat	_	TokenRange=72:75
15	conheca	conhecar	VERB	VERB	_	0	root	_	TokenRange=76:83
16	o	o	DET	DET	_	17	det	_	TokenRange=84:85
17	cheat	_	NOUN	NOUN	_	15	obj	_	TokenRange=86:91
18	codes	_	NOUN	NOUN	_	17	flat	_	TokenRange=92:97
19	trio	trio	NOUN	NOUN	_	17	appos	_	TokenRange=98:102
20	de	de	ADP	ADP	_	21	case	_	TokenRange=103:105
21	musica	_	NOUN	NOUN	_	19	nmod	_	TokenRange=106:112
22	eletronica/pop	_	ADJ	ADJ	_	21	amod	_	TokenRange=113:127
23	toca	tocar	VERB	VERB	_	15	parataxis	_	TokenRange=128:132
