# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vai arrepiar durante show rock plateia reconhece sergio moro juiz ovacionado sergio moro juiz implacavel contra corruptos ovacionado publico noite ontem 25 durante show capital inicial capital paranaense moro levantou agradeceu aplausos plateia bateu palmas minuto apresentacao capital inicial ocorreu teatro positivo moro assistiu espetaculo camorote dinho ouro preto vocalista banda mencionou nome sergio moro antes cantar musica pais publico delirou video 1 video 2
1	vai	ir	AUX	AUX	_	2	aux	_	TokenRange=0:3
2	arrepiar	arrepiar	VERB	VERB	_	0	root	_	TokenRange=4:12
3	durante	_	ADP	ADP	_	4	case	_	TokenRange=13:20
4	show	show	NOUN	NOUN	_	2	nmod	_	TokenRange=21:25
5	rock	rock	NOUN	NOUN	_	4	flat	_	TokenRange=26:30
6	plateia	plateia	NOUN	NOUN	_	7	nsubj	_	TokenRange=31:38
7	reconhece	reconhecer	VERB	VERB	_	2	ccomp	_	TokenRange=39:48
8	sergio	sergio	NOUN	NOUN	_	7	obj	_	TokenRange=49:55
9	moro	moro	NOUN	NOUN	_	8	flat	_	TokenRange=56:60
10	juiz	juiz	NOUN	NOUN	_	7	obj	_	TokenRange=61:65
11	ovacionado	ovacionado	ADJ	ADJ	_	14	amod	_	TokenRange=66:76
12	sergio	sergio	ADJ	ADJ	_	13	amod	_	TokenRange=77:83
13	moro	moro	NOUN	NOUN	_	14	appos	_	TokenRange=84:88
14	juiz	juiz	NOUN	NOUN	_	10	appos	_	TokenRange=89:93
15	implacavel	implacavel	ADJ	ADJ	_	14	amod	_	TokenRange=94:104
16	contra	_	ADP	ADP	_	17	case	_	TokenRange=105:111
17	corruptos	corrupto	NOUN	NOUN	_	14	nmod	_	TokenRange=112:121
18	ovacionado	ovacionado	ADJ	ADJ	_	17	amod	_	TokenRange=122:132
19	publico	_	ADJ	ADJ	_	17	amod	_	TokenRange=133:140
20	noite	noite	NOUN	NOUN	_	17	appos	_	TokenRange=141:146
21	ontem	ontem	ADV	ADV	_	22	advmod	_	TokenRange=147:152
22	25	_	NUM	NUM	NumType=Card	20	appos	_	TokenRange=153:155
23	durante	_	ADP	ADP	_	24	case	_	TokenRange=156:163
24	show	show	NOUN	NOUN	_	30	nmod	_	TokenRange=164:168
25	capital	capital	NOUN	NOUN	_	24	appos	_	TokenRange=169:176
26	inicial	inicial	ADJ	ADJ	_	27	amod	_	TokenRange=177:184
27	capital	capital	NOUN	NOUN	_	24	appos	_	TokenRange=185:192
28	paranaense	paranaense	ADJ	ADJ	_	27	amod	_	TokenRange=193:203
29	moro	moro	NOUN	NOUN	_	30	nsubj	_	TokenRange=204:208
30	levantou	levantar	VERB	VERB	_	2	parataxis	_	TokenRange=209:217
31	agradeceu	agradecer	VERB	VERB	_	30	ccomp	_	TokenRange=218:227
32	aplausos	aplauso	NOUN	NOUN	_	34	obj	_	TokenRange=228:236
33	plateia	plateia	NOUN	NOUN	_	34	nsubj	_	TokenRange=237:244
34	bateu	bater	VERB	VERB	_	31	parataxis	_	TokenRange=245:250
35	palmas	_	NOUN	NOUN	_	34	obj	_	TokenRange=251:257
36	minuto	minuto	NOUN	NOUN	_	37	amod	_	TokenRange=258:264
37	apresentacao	apresentacao	NOUN	NOUN	_	34	obj	_	TokenRange=265:277
38	capital	capital	NOUN	NOUN	_	34	nsubj	_	TokenRange=278:285
39	inicial	inicial	ADJ	ADJ	_	38	amod	_	TokenRange=286:293
40	ocorreu	ocorrer	VERB	VERB	_	30	parataxis	_	TokenRange=294:301
41	teatro	teatro	NOUN	NOUN	_	40	obj	_	TokenRange=302:308
42	positivo	positivo	ADJ	ADJ	_	41	amod	_	TokenRange=309:317
43	moro	moro	NOUN	NOUN	_	44	nsubj	_	TokenRange=318:322
44	assistiu	assistir	VERB	VERB	_	40	parataxis	_	TokenRange=323:331
45	espetaculo	espetaculo	NOUN	NOUN	_	44	obj	_	TokenRange=332:342
46	camorote	camorote	NOUN	NOUN	_	45	appos	_	TokenRange=343:351
47	dinho	_	NOUN	NOUN	_	45	appos	_	TokenRange=352:357
48	ouro	ouro	NOUN	NOUN	_	47	flat	_	TokenRange=358:362
49	preto	preto	ADJ	ADJ	_	48	amod	_	TokenRange=363:368
50	vocalista	vocalista	NOUN	NOUN	_	52	nsubj	_	TokenRange=369:378
51	banda	banda	NOUN	NOUN	_	50	appos	_	TokenRange=379:384
52	mencionou	mencionar	VERB	VERB	_	44	parataxis	_	TokenRange=385:394
