# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja os principais trechos do 2 depoimento de lula a moro expresidente foi interrogado pelo juiz federal como reu por 2h10 nesta quartafeira 13 nesta acao o mpf acusa lula de receber um apartamento e um terreno como propina da odebrecht o expresidente luiz inacio lula da silva depos nesta quartafeira 13 como reu ao juiz sergio moro na justica federal de curitiba pela segunda vez nesta acao lula e acusado pelo mpf de receber propina da empreiteira odebrecht por meio da compra de um terreno para a nova sede do instituto lula e de um apartamento
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	os	o	DET	DET	_	4	det	_	TokenRange=5:7
3	principais	principal	ADJ	ADJ	_	4	amod	_	TokenRange=8:18
4	trechos	trecho	NOUN	NOUN	_	1	obj	_	TokenRange=19:26
5-6	do	_	_	_	_	_	_	_	TokenRange=27:29
5	de	de	ADP	ADP	_	8	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
7	2	_	NUM	NUM	NumType=Card	8	nummod	_	TokenRange=30:31
8	depoimento	depoimento	NOUN	NOUN	_	4	nmod	_	TokenRange=32:42
9	de	de	ADP	ADP	_	10	case	_	TokenRange=43:45
10	lula	lula	NOUN	NOUN	_	8	nmod	_	TokenRange=46:50
11	a	_	ADP	ADP	_	12	case	_	TokenRange=51:52
12	moro	moro	NOUN	NOUN	_	15	nmod	_	TokenRange=53:57
13	expresidente	expresidente	NOUN	NOUN	_	15	nsubj:pass	_	TokenRange=58:70
14	foi	_	AUX	AUX	_	15	aux:pass	_	TokenRange=71:74
15	interrogado	interrogar	VERB	VERB	_	1	parataxis	_	TokenRange=75:86
16-17	pelo	_	_	_	_	_	_	_	TokenRange=87:91
16	por	por	ADP	ADP	_	18	case	_	_
17	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	18	det	_	_
18	juiz	juiz	NOUN	NOUN	_	15	nmod	_	TokenRange=92:96
19	federal	federal	ADJ	ADJ	_	18	amod	_	TokenRange=97:104
20	como	como	ADP	ADP	_	21	case	_	TokenRange=105:109
21	reu	reu	NOUN	NOUN	_	15	nmod	_	TokenRange=110:113
22	por	por	ADP	ADP	_	23	case	_	TokenRange=114:117
23	2h10	_	NUM	NUM	NumType=Card	21	nmod	_	TokenRange=118:122
