# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja e leia a integra do pronunciamento de temer neste sabado 20 presidente disse que pedira suspensao do inquerito contra ele no stf e que permanecera no governo apos delacao da jbs temer passou a ser investigado por corrupcao passiva obstrucao da justica e organizacao criminosa muito bem eu quero cumprimentalos a todos e dizer que mais uma vez eu estou aqui para fazer uma declaracao aos senhores e as senhoras jornalistas e ao povo brasileiro eu registro que eu li hoje noticia do jornal folha de sao paulo de que pericia constatou que houve edicao no audio de minha conversa com o senhor joesley batista essa gravacao clandestina e o que diz foi manipulada e adulterada com objetivos nitidamente subterraneos incluida no inquerito sem a devida e adequada averiguacao levou muitas pessoas a um engano induzido e trouxe grave crise ao brasil por isso no dia de hoje estamos entrando com peticao no colendo supremo tribunal federal para suspender o inquerito ate que seja verificada em definitivo a autenticidade da gravacao clandestina o autor do grampo esta livre e solto passeando pelas ruas de nova york o brasil que ja tinha saido da mais grave crise economica da sua historia vive agora sou obrigado a reconhecer dias de incerteza ele nao passou nem um dia na cadeia nao foi preso nao foi julgado nao foi punido e pelo jeito nao sera cometeu digamos assim o crime perfeito gracas a essa gravacao fraudulenta e manipulada especulou contra a moeda nacional a noticia foi vazada seguramente por gente ligada ao grupo empresarial e antes de entregar a gravacao comprou um bilhao de dolares porque sabia que isso provocaria o caos no cambio por outro lado sabendo que a divulgacao da gravacao tambem reduziria as acoes de sua empresa as vendeu antes da queda da bolsa nao sao palavras minhas apenas esses fatos ja estao sendo apurados pela comissao de valores mobiliarios a jbs meus senhores e minhas senhoras lucrou
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	e	e	CCONJ	CONJ	_	3	cc	_	TokenRange=5:6
3	leia	ler	VERB	VERB	_	1	conj	_	TokenRange=7:11
4	a	o	DET	DET	_	5	det	_	TokenRange=12:13
5	integra	integra	NOUN	NOUN	_	3	obj	_	TokenRange=14:21
6-7	do	_	_	_	_	_	_	_	TokenRange=22:24
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	pronunciamento	pronunciamento	NOUN	NOUN	_	5	nmod	_	TokenRange=25:39
9	de	de	ADP	ADP	_	10	case	_	TokenRange=40:42
10	temer	temer	NOUN	NOUN	_	8	nmod	_	TokenRange=43:48
11	neste	_	ADP	ADP	_	12	case	_	TokenRange=49:54
12	sabado	_	PROPN	PNOUN	_	42	nmod	_	TokenRange=55:61
13	20	_	NUM	NUM	NumType=Card	14	nummod	_	TokenRange=62:64
14	presidente	presidente	NOUN	NOUN	_	15	nsubj	_	TokenRange=65:75
15	disse	dizer	VERB	VERB	_	1	parataxis	_	TokenRange=76:81
16	que	que	CCONJ	CONJ	_	17	mark	_	TokenRange=82:85
17	pedira	pedir	VERB	VERB	_	15	ccomp	_	TokenRange=86:92
18	suspensao	suspensao	NOUN	NOUN	_	17	obj	_	TokenRange=93:102
19-20	do	_	_	_	_	_	_	_	TokenRange=103:105
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	inquerito	inquerito	NOUN	NOUN	_	18	nmod	_	TokenRange=106:115
22	contra	_	ADP	ADP	_	23	case	_	TokenRange=116:122
23	ele	_	PRON	PRON	_	21	nmod	_	TokenRange=123:126
24-25	no	_	_	_	_	_	_	_	TokenRange=127:129
24	em	em	ADP	ADP	_	26	case	_	_
25	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	26	det	_	_
26	stf	_	NOUN	NOUN	_	17	nmod	_	TokenRange=130:133
27	e	e	CCONJ	CONJ	_	29	cc	_	TokenRange=134:135
28	que	que	CCONJ	CONJ	_	29	mark	_	TokenRange=136:139
29	permanecera	permanecer	VERB	VERB	_	17	conj	_	TokenRange=140:151
30-31	no	_	_	_	_	_	_	_	TokenRange=152:154
30	em	em	ADP	ADP	_	32	case	_	_
31	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	32	det	_	_
32	governo	governo	NOUN	NOUN	_	29	nmod	_	TokenRange=155:162
33	apos	_	ADP	ADP	_	34	case	_	TokenRange=163:167
34	delacao	delacao	NOUN	NOUN	_	29	nmod	_	TokenRange=168:175
35-36	da	_	_	_	_	_	_	_	TokenRange=176:178
35	de	de	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	jbs	_	NOUN	NOUN	_	34	nmod	_	TokenRange=179:182
38	temer	temer	NOUN	NOUN	_	37	flat	_	TokenRange=183:188
39	passou	passar	AUX	AUX	_	42	aux	_	TokenRange=189:195
40	a	_	ADP	ADP	_	42	mark	_	TokenRange=196:197
41	ser	ser	AUX	AUX	_	42	aux:pass	_	TokenRange=198:201
42	investigado	investigar	VERB	VERB	_	15	conj	_	TokenRange=202:213
43	por	por	ADP	ADP	_	44	case	_	TokenRange=214:217
44	corrupcao	corrupcao	NOUN	NOUN	_	42	nmod	_	TokenRange=218:227
45	passiva	passivo	ADJ	ADJ	_	44	amod	_	TokenRange=228:235
46	obstrucao	obstrucao	NOUN	NOUN	_	42	nsubj:pass	_	TokenRange=236:245
47-48	da	_	_	_	_	_	_	_	TokenRange=246:248
47	de	de	ADP	ADP	_	49	case	_	_
48	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	49	det	_	_
49	justica	_	NOUN	NOUN	_	46	nmod	_	TokenRange=249:256
50	e	e	CCONJ	CONJ	_	51	cc	_	TokenRange=257:258
51	organizacao	organizacao	NOUN	NOUN	_	49	conj	_	TokenRange=259:270
52	criminosa	criminoso	ADJ	ADJ	_	51	amod	_	TokenRange=271:280
53	muito	muito	ADV	ADV	_	54	advmod	_	TokenRange=281:286
54	bem	bem	ADV	ADV	_	42	advmod	_	TokenRange=287:290
55	eu	_	PRON	PRON	_	56	nsubj	_	TokenRange=291:293
56	quero	querer	VERB	VERB	_	15	ccomp	_	TokenRange=294:299
57	cumprimentalos	cumprimentalo	NOUN	NOUN	_	56	obj	_	TokenRange=300:314
58	a	_	ADP	ADP	_	59	case	_	TokenRange=315:316
59	todos	_	PRON	PRON	_	56	iobj	_	TokenRange=317:322
60	e	e	CCONJ	CONJ	_	61	cc	_	TokenRange=323:324
61	dizer	dizer	VERB	VERB	_	56	conj	_	TokenRange=325:330
62	que	que	CCONJ	CONJ	_	67	mark	_	TokenRange=331:334
63	mais	mais	ADV	ADV	_	64	advmod	_	TokenRange=335:339
64	uma	_	NUM	NUM	NumType=Card	65	nummod	_	TokenRange=340:343
65	vez	vez	NOUN	NOUN	_	355	nmod	_	TokenRange=344:347
66	eu	_	PRON	PRON	_	67	nsubj	_	TokenRange=348:350
67	estou	estar	VERB	VERB	_	61	ccomp	_	TokenRange=351:356
68	aqui	aqui	ADV	ADV	_	67	advmod	_	TokenRange=357:361
69	para	_	ADP	ADP	_	70	mark	_	TokenRange=362:366
70	fazer	fazer	VERB	VERB	_	67	advcl	_	TokenRange=367:372
71	uma	um	DET	DET	_	72	det	_	TokenRange=373:376
72	declaracao	declaracao	NOUN	NOUN	_	70	obj	_	TokenRange=377:387
73-74	aos	_	_	_	_	_	_	_	TokenRange=388:391
73	a	a	ADP	ADP	_	75	case	_	_
74	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	75	det	_	_
75	senhores	senhor	NOUN	NOUN	_	70	iobj	_	TokenRange=392:400
76	e	e	CCONJ	CONJ	_	78	cc	_	TokenRange=401:402
77	as	o	DET	DET	_	78	det	_	TokenRange=403:405
78	senhoras	senhora	NOUN	NOUN	_	75	conj	_	TokenRange=406:414
79	jornalistas	jornalista	ADJ	ADJ	_	78	amod	_	TokenRange=415:426
80	e	e	CCONJ	CONJ	_	83	cc	_	TokenRange=427:428
81-82	ao	_	_	_	_	_	_	_	TokenRange=429:431
81	a	a	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	povo	povo	NOUN	NOUN	_	75	conj	_	TokenRange=432:436
84	brasileiro	brasileiro	ADJ	ADJ	_	83	amod	_	TokenRange=437:447
85	eu	_	PRON	PRON	_	86	nsubj	_	TokenRange=448:450
86	registro	registrar	VERB	VERB	_	15	conj	_	TokenRange=451:459
87	que	que	CCONJ	CONJ	_	89	mark	_	TokenRange=460:463
88	eu	_	PRON	PRON	_	89	nsubj	_	TokenRange=464:466
89	li	_	VERB	VERB	_	86	ccomp	_	TokenRange=467:469
90	hoje	hoje	ADV	ADV	_	89	advmod	_	TokenRange=470:474
91	noticia	noticia	NOUN	NOUN	_	89	obj	_	TokenRange=475:482
92-93	do	_	_	_	_	_	_	_	TokenRange=483:485
92	de	de	ADP	ADP	_	94	case	_	_
93	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	94	det	_	_
94	jornal	jornal	NOUN	NOUN	_	91	nmod	_	TokenRange=486:492
