# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = hartung demite autoras da piada sobre o dia do jornalista duas jornalistas engracadinhas humilharam os jornalistas capixabas no dia do jornalista com postagem pretensamente engracada e ganharam como premio a demissao por justa causa no mesmo dia da publicacao o governo do espirito santo demitiu as duas jornalistas responsaveis pela publicacao de uma homenagem ao dia do jornalista a postagem nas redes sociais do governo colocava jornalistas sendo representados por um macaco perturbado na frente de um notebook a mensagem hoje e o dia do batedor de release parabens amigos jornalistas rendeu criticas e por volta das 11h40 foi apagada o sindicato dos jornalistas profissionais no estado do espirito santo sindijornalistases e a federacao nacional dos jornalistas fenaj lamentam e repudiam a atitude do governo estadual que com a postagem ignora toda a formacao etica e social dos profissionais responsaveis por levar informacao de qualidade a sociedade a postagem teve o repudio de muitos jornalistas e cidadaos indignados com a mensagem do governo do estado ao dia do jornalista o sindicato diz que ao contrario de valorizar a profissao menosprezou toda capacidade dos profissionais na realizacao de suas atividades o sindicato finaliza pedindo que o governo se retrate o governo do estado foi procurado pelo g1 para explicar a mensagem e em nota pediu desculpas a categoria segue a integra do posicionamento da superintendente de estado de comunicacao andreia lopes peco desculpas publicamente em nome da superintendencia estadual de comunicacao e do governo do espirito santo pelo post absurdo publicado em nossas redes sociais em referencia ao dia do jornalista na manha desta sextafeira 07 eu e minha equipe tambem nos sentimos ofendidos com essa publicacao que nao nos representa nao representa a classe jornalistica e o respeito que cada um dos profissionais merece como jornalista ha 19 anos profissao a qual me dedico com muito orgulho eu tambem me sinto envergonhada e indignada com o desastre da abordagem num dia tao especial para todos nos nada justifica estava justamente reunida com nossos jornalistas que integram a rede de comunicacao do governo quando fui surpreendida com a noticia da publicacao pedi imediatamente para que o post fosse retirado do ar mas como sei que isso nao basta fiz questao de pessoalmente me retratar publicamente com os colegas de profissao que tem todo o respeito e admiracao pelo trabalho diario que desempenham esse post definitivamente tambem nao reflete o sentimento do governo do espirito santo os jornalistas sao profissionais essenciais para a democracia sao os olhos e a voz da sociedade sao motivo de orgulho e nao de brincadeiras que nao tem nenhum tipo de explicacao aceitavel para que tenham sido feitas
1	hartung	hartung	NOUN	NOUN	_	2	nsubj	_	TokenRange=0:7
2	demite	demitir	VERB	VERB	_	0	root	_	TokenRange=8:14
3	autoras	autor	NOUN	NOUN	_	2	obj	_	TokenRange=15:22
4-5	da	_	_	_	_	_	_	_	TokenRange=23:25
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	piada	piada	NOUN	NOUN	_	3	nmod	_	TokenRange=26:31
7	sobre	_	ADP	ADP	_	9	case	_	TokenRange=32:37
8	o	o	DET	DET	_	9	det	_	TokenRange=38:39
9	dia	dia	NOUN	NOUN	_	6	nmod	_	TokenRange=40:43
10-11	do	_	_	_	_	_	_	_	TokenRange=44:46
10	de	de	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	jornalista	jornalista	NOUN	NOUN	_	9	nmod	_	TokenRange=47:57
13	duas	_	NUM	NUM	NumType=Card	14	nummod	_	TokenRange=58:62
14	jornalistas	jornalista	NOUN	NOUN	_	16	nsubj	_	TokenRange=63:74
15	engracadinhas	engracadinha	ADJ	ADJ	_	14	amod	_	TokenRange=75:88
16	humilharam	humilhar	VERB	VERB	_	2	parataxis	_	TokenRange=89:99
17	os	o	DET	DET	_	18	det	_	TokenRange=100:102
18	jornalistas	jornalista	NOUN	NOUN	_	16	obj	_	TokenRange=103:114
19	capixabas	capixabo	ADJ	ADJ	_	18	amod	_	TokenRange=115:124
20-21	no	_	_	_	_	_	_	_	TokenRange=125:127
20	em	em	ADP	ADP	_	22	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	22	det	_	_
22	dia	dia	NOUN	NOUN	_	16	nmod	_	TokenRange=128:131
23-24	do	_	_	_	_	_	_	_	TokenRange=132:134
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	jornalista	jornalista	NOUN	NOUN	_	22	nmod	_	TokenRange=135:145
26	com	com	ADP	ADP	_	27	case	_	TokenRange=146:149
27	postagem	postagem	NOUN	NOUN	_	16	nmod	_	TokenRange=150:158
28	pretensamente	pretensamente	ADV	ADV	_	29	advmod	_	TokenRange=159:172
29	engracada	engracado	ADJ	ADJ	_	27	amod	_	TokenRange=173:182
30	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=183:184
31	ganharam	ganhar	VERB	VERB	_	16	conj	_	TokenRange=185:193
32	como	como	ADP	ADP	_	33	case	_	TokenRange=194:198
33	premio	premio	NOUN	NOUN	_	31	nmod	_	TokenRange=199:205
34	a	o	DET	DET	_	35	det	_	TokenRange=206:207
35	demissao	demissao	NOUN	NOUN	_	31	obj	_	TokenRange=208:216
36	por	por	ADP	ADP	_	38	case	_	TokenRange=217:220
37	justa	justo	ADJ	ADJ	_	38	amod	_	TokenRange=221:226
38	causa	causa	NOUN	NOUN	_	31	nmod	_	TokenRange=227:232
39-40	no	_	_	_	_	_	_	_	TokenRange=233:235
39	em	em	ADP	ADP	_	42	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
41	mesmo	mesmo	ADJ	ADJ	_	42	amod	_	TokenRange=236:241
42	dia	dia	NOUN	NOUN	_	31	nmod	_	TokenRange=242:245
43-44	da	_	_	_	_	_	_	_	TokenRange=246:248
43	de	de	ADP	ADP	_	45	case	_	_
44	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	45	det	_	_
45	publicacao	publicacao	NOUN	NOUN	_	42	nmod	_	TokenRange=249:259
46	o	o	DET	DET	_	47	det	_	TokenRange=260:261
47	governo	governo	NOUN	NOUN	_	52	nsubj	_	TokenRange=262:269
48-49	do	_	_	_	_	_	_	_	TokenRange=270:272
48	de	de	ADP	ADP	_	50	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	50	det	_	_
50	espirito	espirito	NOUN	NOUN	_	47	nmod	_	TokenRange=273:281
51	santo	santo	ADJ	ADJ	_	50	amod	_	TokenRange=282:287
52	demitiu	demitir	VERB	VERB	_	2	conj	_	TokenRange=288:295
53	as	o	DET	DET	_	55	det	_	TokenRange=296:298
54	duas	_	NUM	NUM	NumType=Card	55	nummod	_	TokenRange=299:303
55	jornalistas	jornalista	NOUN	NOUN	_	52	obj	_	TokenRange=304:315
56	responsaveis	responsavel	ADJ	ADJ	_	55	amod	_	TokenRange=316:328
57-58	pela	_	_	_	_	_	_	_	TokenRange=329:333
57	por	por	ADP	ADP	_	59	case	_	_
58	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	59	det	_	_
59	publicacao	publicacao	NOUN	NOUN	_	56	nmod	_	TokenRange=334:344
60	de	de	ADP	ADP	_	62	case	_	TokenRange=345:347
61	uma	um	DET	DET	_	62	det	_	TokenRange=348:351
62	homenagem	homenagem	NOUN	NOUN	_	59	nmod	_	TokenRange=352:361
63-64	ao	_	_	_	_	_	_	_	TokenRange=362:364
