1 saiba saber 6 NOUN nsubj
2 como como 4 ADP case
3 o o 4 DET det
4 meio meio 1 NOUN nmod
5 politico politico 4 ADJ amod
6 reagiu reagir 0 VERB root
7 a o 8 DET det
8 decisao decisao 6 NOUN obj
9 de de 11 ADP case
10 o o 11 DET det
11 tse tse 8 NOUN nmod
12 sobre sobre 14 ADP case
13 a o 14 DET det
14 chapa chapa 8 NOUN nmod
15 dilmatemer dilmatemer 14 NOUN flat
16 por por 18 ADP case
17 4 4 18 NUM nummod
18 votos voto 22 NOUN nmod
19 a a 21 ADP case
20 3 3 18 NUM nmod
21 tribunal tribunal 22 NOUN nsubj
22 rejeitou rejeitar 6 VERB parataxis
23 nesta nesta 24 ADP case
24 sextafeira sextafeira 22 PROPN nmod
25 9 9 24 NUM nmod
26 a o 27 DET det
27 acao acao 22 NOUN obj
28 movida mover 27 VERB acl
29 por por 31 ADP case
30 o o 31 DET det
31 psdb psdb 28 NOUN nmod
32 que que 33 PRON nsubj
33 pedia pedir 27 VERB acl:relcl
34 a o 35 DET det
35 cassacao cassacao 33 NOUN obj
36 de de 38 ADP case
37 a o 38 DET det
38 chapa chapa 35 NOUN nmod
39 formada formar 38 VERB acl
40 por por 41 ADP case
41 dilma dilma 39 NOUN nmod
42 rousseff rousseff 41 NOUN flat
43 e e 44 CCONJ cc
44 michel michel 41 NOUN conj
45 temer temer 44 NOUN flat
46 em em 47 ADP case
47 2014 2014 39 NUM nmod
48 por por 49 ADP case
49 abuso abuso 33 NOUN nmod
50 de de 51 ADP case
51 poder poder 49 NOUN nmod
52 por por 54 ADP case
53 4 4 54 NUM nummod
54 votos voto 39 NOUN nmod
55 a a 56 ADP case
56 3 3 54 NUM nmod
57 o o 58 DET det
58 tribunal tribunal 62 NOUN nsubj
59 superior superior 58 ADJ amod
60 eleitoral eleitoral 58 ADJ amod
61 tse tse 58 PRON appos
62 rejeitou rejeitar 6 VERB conj
63 nesta nesta 64 ADP case
64 sextafeira sextafeira 62 NOUN nmod
65 9 9 64 NUM nmod
66 a o 67 DET det
67 cassacao cassacao 82 NOUN obj
68 de de 70 ADP case
69 a o 70 DET det
70 chapa chapa 67 NOUN nmod
71 formada formar 70 VERB acl
72 por por 73 ADP case
73 dilma dilma 71 NOUN nmod
74 rousseff rousseff 73 NOUN flat
75 e e 76 CCONJ cc
76 michel michel 73 ADJ conj
77 temer temer 76 NOUN flat
78 em em 79 ADP case
79 2014 2014 71 NUM nmod
80 o o 81 DET det
81 tse tse 82 NOUN nsubj
82 analisaram analisar 62 VERB parataxis
83 uma um 67 DET det
