# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = delacoes da odebrecht licitacao da arena da amazonia teve acordo entre construtoras construtoras teriam combinado valores para levar vantagem na licitacao estadio de manaus recebeu quatro jogos da copa 2014 o expresidente do setor de operacoes estruturadas da odebrecht benedicto barbosa da silva junior relatou a existencia de um acordo entre a construtora e outra empresa do segmento a andrade gutierrez para frustrar a concorrencia na licitacao associada a construcao da arena da amazonia o estadio que teve obras coordenadas pela andrade gutierrez recebeu quatro jogos da copa do mundo em 2014 e seis da olimpiada do rio de janeiro em 2016 a andrade gutierrez disse que nao vai comentar o assunto em nota a odebrecht diz que a empresa esta colaborando com a justica ja reconheceu os seus erros pediu desculpas publicas assinou
1	delacoes	delacoe	NOUN	NOUN	_	12	nsubj	_	TokenRange=0:8
2-3	da	_	_	_	_	_	_	_	TokenRange=9:11
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	odebrecht	_	NOUN	NOUN	_	1	nmod	_	TokenRange=12:21
5	licitacao	licitacao	NOUN	NOUN	_	4	appos	_	TokenRange=22:31
6-7	da	_	_	_	_	_	_	_	TokenRange=32:34
6	de	de	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	arena	arena	NOUN	NOUN	_	5	nmod	_	TokenRange=35:40
9-10	da	_	_	_	_	_	_	_	TokenRange=41:43
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	amazonia	amazonia	NOUN	NOUN	_	8	nmod	_	TokenRange=44:52
12	teve	ter	VERB	VERB	_	0	root	_	TokenRange=53:57
13	acordo	acordo	NOUN	NOUN	_	12	obj	_	TokenRange=58:64
14	entre	_	ADP	ADP	_	15	case	_	TokenRange=65:70
15	construtoras	construtor	NOUN	NOUN	_	13	nmod	_	TokenRange=71:83
16	construtoras	construtor	ADJ	ADJ	_	15	amod	_	TokenRange=84:96
17	teriam	ter	AUX	AUX	_	18	aux	_	TokenRange=97:103
18	combinado	combinar	VERB	VERB	_	12	ccomp	_	TokenRange=104:113
19	valores	_	NOUN	NOUN	_	18	obj	_	TokenRange=114:121
20	para	_	ADP	ADP	_	21	mark	_	TokenRange=122:126
21	levar	levar	VERB	VERB	_	18	advcl	_	TokenRange=127:132
22	vantagem	vantagem	NOUN	NOUN	_	21	obj	_	TokenRange=133:141
23-24	na	_	_	_	_	_	_	_	TokenRange=142:144
23	em	em	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	licitacao	licitacao	NOUN	NOUN	_	21	nmod	_	TokenRange=145:154
26	estadio	estadio	NOUN	NOUN	_	29	nsubj	_	TokenRange=155:162
27	de	de	ADP	ADP	_	28	case	_	TokenRange=163:165
28	manaus	manau	NOUN	NOUN	_	26	nmod	_	TokenRange=166:172
29	recebeu	receber	VERB	VERB	_	12	parataxis	_	TokenRange=173:180
30	quatro	_	NUM	NUM	NumType=Card	31	nummod	_	TokenRange=181:187
31	jogos	jogo	NOUN	NOUN	_	29	obj	_	TokenRange=188:193
32-33	da	_	_	_	_	_	_	_	TokenRange=194:196
32	de	de	ADP	ADP	_	34	case	_	_
33	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	34	det	_	_
34	copa	copa	NOUN	NOUN	_	31	nmod	_	TokenRange=197:201
35	2014	_	NUM	NUM	NumType=Card	34	nmod	_	TokenRange=202:206
36	o	o	DET	DET	_	37	det	_	TokenRange=207:208
37	expresidente	expresidente	NOUN	NOUN	_	53	nsubj	_	TokenRange=209:221
38-39	do	_	_	_	_	_	_	_	TokenRange=222:224
38	de	de	ADP	ADP	_	40	case	_	_
39	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	40	det	_	_
