# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba o que dizem as defesas de dilma e de temer na acao que sera julgada pelo tse tribunal iniciara julgamento da chapa dilmatemer nesta terca 4 acao movida pelo psdb pede cassacao sob argumentacao de houve abuso de poder politico e economico marcado para comecar as 9h desta tercafeira 4 o julgamento da acao que pede a cassacao da chapa formada pelo presidente michel temer e pela expresidente dilma rousseff devera se concentrar inicialmente na defesa o tribunal superior eleitoral tse apura desde 2015 a pedido do psdb se a chapa que teve dilma como candidata a presidente e temer como vice cometeu abuso de poder politico e economico recebeu dinheiro de propina e se beneficiou do esquema de corrupcao que atuou na petrobras na acao o psdb pede a cassacao da chapa no parecer enviado ao tse o ministerio publico eleitoral recomendou a cassacao do mandato
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=6:7
3	que	_	PRON	PRON	_	4	nsubj	_	TokenRange=8:11
4	dizem	dizer	VERB	VERB	_	2	acl:relcl	_	TokenRange=12:17
5	as	o	DET	DET	_	6	det	_	TokenRange=18:20
6	defesas	_	NOUN	NOUN	_	4	obj	_	TokenRange=21:28
7	de	de	ADP	ADP	_	8	case	_	TokenRange=29:31
8	dilma	dilma	NOUN	NOUN	_	6	nmod	_	TokenRange=32:37
9	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=38:39
10	de	de	ADP	ADP	_	11	case	_	TokenRange=40:42
11	temer	temer	NOUN	NOUN	_	8	conj	_	TokenRange=43:48
12-13	na	_	_	_	_	_	_	_	TokenRange=49:51
12	em	em	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	acao	acao	NOUN	NOUN	_	6	nmod	_	TokenRange=52:56
15	que	_	PRON	PRON	_	17	nsubj:pass	_	TokenRange=57:60
16	sera	_	AUX	AUX	_	17	aux:pass	_	TokenRange=61:65
17	julgada	julgar	VERB	VERB	_	14	acl:relcl	_	TokenRange=66:73
18-19	pelo	_	_	_	_	_	_	_	TokenRange=74:78
18	por	por	ADP	ADP	_	20	case	_	_
