1 dezenas dezenas 3 NUM nummod
2 de de 3 ADP case
3 tanques tanque 5 NOUN nsubj
4 nortecoreanos nortecoreano 3 ADJ amod
5 disparam disparar 0 VERB root
6 misseis missil 5 NOUN obj
7 em em 8 ADP case
8 direcao direcao 5 NOUN nmod
9 a a 10 ADP case
10 frota frota 8 NOUN nmod
11 naval naval 10 ADJ amod
12 de de 14 ADP case
13 os o 14 DET det
14 eua eua 10 NOUN nmod
15 o o 16 DET det
16 reino reino 18 NOUN nsubj
17 eremita eremito 16 ADJ amod
18 disparou disparar 5 VERB parataxis
19 misseis missil 18 NOUN obj
20 em em 21 ADP case
21 resposta resposta 18 NOUN nmod
22 a a 23 ADP case
23 frota frota 21 NOUN nmod
24 de de 25 ADP case
25 guerra guerra 23 NOUN nmod
26 comandada comandar 23 VERB acl
27 por por 29 ADP case
28 o o 29 DET det
29 navio navio 26 NOUN nmod
30 americano americano 29 ADJ amod
31 carl carl 29 NOUN appos
32 vinson vinson 31 NOUN flat
33 que que 34 PRON nsubj
34 chegou chegar 23 VERB acl:relcl
35 a a 36 ADP case
36 peninsula peninsula 34 NOUN nmod
37 demonstrando demonstrar 34 VERB acl
38 que que 47 CCONJ mark
39 o o 40 DET det
40 poder poder 47 NOUN nsubj
41 de de 42 ADP case
42 fogo fogo 40 NOUN nmod
43 de de 45 ADP case
44 os o 45 DET det
45 tanques tanque 40 NOUN nmod
46 podem podem 47 AUX aux
47 atingir atingir 37 VERB ccomp
48 tranquilamente tranquilamente 47 ADV advmod
49 os o 50 DET det
50 navios navio 47 NOUN obj
51 estrangeiros estrangeiro 50 ADJ amod
52 o o 53 DET det
53 portaavioes portaavioes 56 NOUN nsubj
54 carl carl 53 NOUN appos
55 vinson vinson 54 NOUN flat
56 aguarda aguardar 128 VERB ccomp
57 a o 58 DET det
58 chegada chegada 56 NOUN obj
59 de de 61 ADP case
60 as o 61 DET det
61 frotas frota 58 NOUN nmod
62 de de 64 ADP case
63 o o 64 DET det
64 japao japao 61 NOUN nmod
65 e e 68 CCONJ cc
66 de de 68 ADP case
67 a o 68 DET det
68 coreia coreia 64 NOUN conj
69 de de 71 ADP case
70 o o 71 DET det
71 sul sul 68 NOUN nmod
72 para para 74 ADP mark
73 se se 74 PRON obj
74 juntarem juntar 152 VERB advcl
75 a a 77 ADP case
76 os o 77 DET det
77 exercicios exercicio 74 NOUN nmod
78 militares militar 77 ADJ amod
79 leiase leiase 56 VERB parataxis
80 prontidao prontidao 152 NOUN obj
81 para para 83 ADP case
82 a o 83 DET det
83 guerra guerra 80 NOUN nmod
84 um um 85 DET det
85 submarino submarino 97 NOUN nsubj
86 nuclear nuclear 85 ADJ amod
87 de de 89 ADP case
88 os o 89 DET det
89 eua eua 85 NOUN nmod
90 armado armado 85 ADJ amod
91 com com 92 ADP case
92 misseis missil 90 NOUN nmod
93 de de 94 ADP case
94 cruzeiro cruzeiro 92 NOUN nmod
95 tomahawk tomahawk 92 NOUN appos
96 tambem tambem 97 ADV advmod
97 desembarcou desembarcar 23 VERB acl:relcl
98 em em 100 ADP case
99 o o 100 DET det
100 porto porto 97 NOUN nmod
101 de de 103 ADP case
102 a o 103 DET det
103 marinha marinha 100 NOUN nmod
104 de de 105 ADP case
105 busan busan 103 NOUN nmod
106 coreia coreia 47 NOUN nsubj
107 de de 109 ADP case
108 o o 109 DET det
109 sul sul 106 NOUN nmod
110 kim kim 97 PROPN nsubj
111 jongun jongun 110 PROPN flat
112 reagiu reagir 37 VERB ccomp
113 furiosamente furiosamente 112 ADV advmod
114 e e 115 CCONJ cc
115 ameacou ameacar 112 VERB conj
116 explodir explodir 115 VERB xcomp
117 a o 118 DET det
118 frota frota 116 NOUN obj
119 de de 121 ADP case
120 a o 121 DET det
121 agua agua 118 NOUN nmod
122 com com 125 ADP case
123 um um 125 DET det
124 unico unico 125 ADJ amod
125 missil missil 47 NOUN nmod
126 especialistas especialista 47 NOUN nsubj
127 militares militar 126 ADJ amod
128 acreditam acreditar 37 VERB ccomp
129 que que 134 CCONJ mark
130 o o 131 DET det
131 tirano tirano 134 NOUN nsubj
132 esta esta 134 AUX aux
133 se se 134 PRON obj
134 preparando preparar 128 VERB ccomp
135 para para 138 ADP case
136 seu seu 138 DET det:poss
137 proximo proximo 138 ADJ amod
138 lancamento lancamento 134 NOUN nmod
139 de de 140 ADP case
140 missil missil 138 NOUN nmod
141 nuclear nuclear 140 ADJ amod
142 de de 144 ADP case
143 longo longo 144 ADJ amod
144 alcance alcance 138 NOUN nmod
145 o o 56 PRON nsubj
146 que que 148 PRON nsubj
147 pode pode 148 AUX aux
148 acontecer acontecer 145 VERB acl:relcl
149 nesta nesta 150 ADP case
150 semana semana 148 NOUN nmod
151 estamos estar 152 AUX aux
152 observando observar 128 VERB ccomp
153 de de 154 ADP mark
154 perto perto 152 ADV nmod
155 os o 156 DET det
156 movimentos movimento 152 NOUN obj
157 de de 159 ADP case
158 os o 159 DET det
159 militares militar 156 NOUN nmod
160 nortecoreanos nortecoreano 159 ADJ amod
161 em em 162 ADP case
162 torno torno 156 NOUN nmod
163 de de 164 ADP case
164 wonsan wonsan 162 NOUN nmod
165 mantendo manter 156 VERB acl
166 uma um 168 DET det
167 firme firme 168 ADJ amod
168 disposicao disposicao 165 NOUN obj
169 disseram dizer 152 VERB parataxis
170 os o 171 DET det
171 militares militar 169 NOUN nsubj
172 sulcoreanos sulcoreano 171 ADJ amod
173 em em 174 ADP case
174 comunicado comunicado 169 NOUN nmod
