# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja quem sao os presos pela operacao de hoje da policia federal operacao skala tem como base o inquerito que apura beneficios ilicitos na edicao do decreto dos portos os presos pela policia federal no ambito da operacao skala deflagrada na manha desta quintafeira estao envolvidos no inquerito que investiga se o presidente michel temer beneficiou empresas em troca de propina na edicao do decreto dos portos autorizadas pelo ministro do supremo luis roberto barroso as prisoes foram pedidas pela procuradorageral da republica raquel dodge a defesa de jose yunes amigo e exassessor de temer classificou a prisao como ilegal e uma violencia tambem foram levados pela pf um dos donos da empresa rodrimar o exministro da agricultura wagner rossi e um aliado e o amigo pessoal de temer conhecido como coronel lima mesmo com prisao de aliados temer mantem agenda em vitoria janot
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	quem	_	PRON	PRON	_	17	nsubj	_	TokenRange=5:9
3	sao	_	AUX	AUX	_	2	cop	_	TokenRange=10:13
4	os	o	DET	DET	_	5	det	_	TokenRange=14:16
5	presos	preso	NOUN	NOUN	_	2	nsubj	_	TokenRange=17:23
6-7	pela	_	_	_	_	_	_	_	TokenRange=24:28
6	por	por	ADP	ADP	_	8	case	_	_
7	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	8	det	_	_
8	operacao	operacao	NOUN	NOUN	_	5	nmod	_	TokenRange=29:37
9	de	_	ADP	ADP	_	10	mark	_	TokenRange=38:40
10	hoje	hoje	ADV	ADV	_	8	nmod	_	TokenRange=41:45
11-12	da	_	_	_	_	_	_	_	TokenRange=46:48
11	de	de	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	policia	policia	NOUN	NOUN	_	8	nmod	_	TokenRange=49:56
14	federal	federal	ADJ	ADJ	_	13	amod	_	TokenRange=57:64
15	operacao	operacao	NOUN	NOUN	_	17	nsubj	_	TokenRange=65:73
16	skala	_	NOUN	NOUN	_	15	flat	_	TokenRange=74:79
17	tem	ter	VERB	VERB	_	1	ccomp	_	TokenRange=80:83
18	como	como	ADP	ADP	_	19	case	_	TokenRange=84:88
19	base	base	NOUN	NOUN	_	17	nmod	_	TokenRange=89:93
20	o	o	DET	DET	_	21	det	_	TokenRange=94:95
21	inquerito	inquerito	NOUN	NOUN	_	17	obj	_	TokenRange=96:105
22	que	_	PRON	PRON	_	23	nsubj	_	TokenRange=106:109
23	apura	apurar	VERB	VERB	_	21	acl:relcl	_	TokenRange=110:115
24	beneficios	beneficio	NOUN	NOUN	_	23	obj	_	TokenRange=116:126
25	ilicitos	ilicito	ADJ	ADJ	_	24	amod	_	TokenRange=127:135
26-27	na	_	_	_	_	_	_	_	TokenRange=136:138
26	em	em	ADP	ADP	_	28	case	_	_
27	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	28	det	_	_
