# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no documento em que pediu a prisao do presidente do senado renan calheiros pmdbal do senador romero juca pmdbrr e de tornozeleira eletronica para o expresidente jose sarney pmdbap em 23 de maio o procuradorgeral da republica rodrigo janot afirmou que o acordao para barrar a operacao lava jato e um dos mais graves atentados ja vistos contra o funcionamento das instituicoes brasileiras o pedido de janot que tem como base a delacao premiada do expresidente da
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	3	det	_	_
3	documento	documento	NOUN	NOUN	_	45	nmod	_	TokenRange=3:12
4	em	em	ADP	ADP	_	5	case	_	TokenRange=13:15
5	que	_	PRON	PRON	_	6	nmod	_	TokenRange=16:19
6	pediu	pedir	VERB	VERB	_	3	acl:relcl	_	TokenRange=20:25
7	a	o	DET	DET	_	8	det	_	TokenRange=26:27
8	prisao	prisao	NOUN	NOUN	_	6	obj	_	TokenRange=28:34
9-10	do	_	_	_	_	_	_	_	TokenRange=35:37
9	de	de	ADP	ADP	_	11	case	_	_
10	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	presidente	presidente	NOUN	NOUN	_	8	nmod	_	TokenRange=38:48
12-13	do	_	_	_	_	_	_	_	TokenRange=49:51
12	de	de	ADP	ADP	_	14	case	_	_
13	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	senado	senado	NOUN	NOUN	_	11	nmod	_	TokenRange=52:58
15	renan	renan	NOUN	NOUN	_	11	appos	_	TokenRange=59:64
16	calheiros	calheiro	NOUN	NOUN	_	15	flat	_	TokenRange=65:74
17	pmdbal	pmdbal	ADJ	ADJ	_	16	amod	_	TokenRange=75:81
18-19	do	_	_	_	_	_	_	_	TokenRange=82:84
18	de	de	ADP	ADP	_	20	case	_	_
