# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = correu porque pf da busca em hotel de brasilia lula nao era alvo e mesmo assim saiu correndo noticias dos principais veiculos de comunicacao do pais dao conta que o expresidente lula teria se evadido do hotel royal tulip hoje de manha a policia federal pf foi a um hotel em brasilia onde por acaso estava hospedado o expresidente luiz inacio lula da silva o royal tulip a operacao faz parte da 26 fase da operacao lavajato e foi autorizada pelo pelo juiz sergio moro da 13 vara federal de curitiba uma viatura da policia federal entrou no inicio da manha no hotel royal tulip em brasilia endereco de politicos na capital federal e saiu por volta das 7h40 sem presos em entrevista coletiva agora na parte da manha a equipe de delegados da pf disse que lula nao era alvo de nenhuma busca dessa vez mesmo assim ele saiu do hotel em alta velocidade acompanhado se segurancas pessoais
1	correu	correr	VERB	VERB	_	0	root	_	TokenRange=0:6
2	porque	_	CCONJ	CONJ	_	14	mark	_	TokenRange=7:13
3	pf	_	NOUN	NOUN	_	14	nsubj	_	TokenRange=14:16
4-5	da	_	_	_	_	_	_	_	TokenRange=17:19
4	de	de	ADP	ADP	_	6	case	_	_
5	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	busca	busca	NOUN	NOUN	_	3	nmod	_	TokenRange=20:25
7	em	em	ADP	ADP	_	8	case	_	TokenRange=26:28
8	hotel	hotel	NOUN	NOUN	_	6	nmod	_	TokenRange=29:34
9	de	de	ADP	ADP	_	10	case	_	TokenRange=35:37
10	brasilia	brasilia	NOUN	NOUN	_	8	nmod	_	TokenRange=38:46
11	lula	lula	NOUN	NOUN	_	13	nsubj	_	TokenRange=47:51
12	nao	nao	ADV	ADV	Polarity=Neg	14	advmod	_	TokenRange=52:55
13	era	_	AUX	AUX	_	1	ccomp	_	TokenRange=56:59
14	alvo	alvo	ADJ	ADJ	_	1	ccomp	_	TokenRange=60:64
15	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=65:66
16	mesmo	mesmo	ADV	ADV	_	17	advmod	_	TokenRange=67:72
17	assim	assim	ADV	ADV	_	18	advmod	_	TokenRange=73:78
18	saiu	sair	VERB	VERB	_	14	conj	_	TokenRange=79:83
19	correndo	correr	VERB	VERB	_	18	acl	_	TokenRange=84:92
20	noticias	noticia	NOUN	NOUN	_	19	obj	_	TokenRange=93:101
21-22	dos	_	_	_	_	_	_	_	TokenRange=102:105
21	de	de	ADP	ADP	_	24	case	_	_
22	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	24	det	_	_
23	principais	principal	ADJ	ADJ	_	24	amod	_	TokenRange=106:116
24	veiculos	veiculo	NOUN	NOUN	_	20	nmod	_	TokenRange=117:125
25	de	de	ADP	ADP	_	26	case	_	TokenRange=126:128
26	comunicacao	comunicacao	NOUN	NOUN	_	24	nmod	_	TokenRange=129:140
27-28	do	_	_	_	_	_	_	_	TokenRange=141:143
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	pais	_	NOUN	NOUN	_	24	nmod	_	TokenRange=144:148
30	dao	_	VERB	VERB	_	18	parataxis	_	TokenRange=149:152
31	conta	conta	NOUN	NOUN	_	30	obj	_	TokenRange=153:158
32	que	que	CCONJ	CONJ	_	38	mark	_	TokenRange=159:162
33	o	o	DET	DET	_	34	det	_	TokenRange=163:164
34	expresidente	expresidente	NOUN	NOUN	_	38	nsubj	_	TokenRange=165:177
35	lula	lula	ADJ	ADJ	_	34	amod	_	TokenRange=178:182
36	teria	ter	AUX	AUX	_	38	aux	_	TokenRange=183:188
37	se	_	PRON	PRON	_	38	obj	_	TokenRange=189:191
38	evadido	evadir	VERB	VERB	_	30	ccomp	_	TokenRange=192:199
39-40	do	_	_	_	_	_	_	_	TokenRange=200:202
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	hotel	hotel	NOUN	NOUN	_	38	nmod	_	TokenRange=203:208
42	royal	royal	ADJ	ADJ	_	41	amod	_	TokenRange=209:214
43	tulip	tulip	NOUN	NOUN	_	41	appos	_	TokenRange=215:220
44	hoje	hoje	ADV	ADV	_	38	advmod	_	TokenRange=221:225
45	de	de	ADP	ADP	_	46	case	_	TokenRange=226:228
46	manha	manha	NOUN	NOUN	_	44	nmod	_	TokenRange=229:234
47	a	o	DET	DET	_	48	det	_	TokenRange=235:236
48	policia	policia	NOUN	NOUN	_	51	nsubj	_	TokenRange=237:244
49	federal	federal	ADJ	ADJ	_	48	amod	_	TokenRange=245:252
50	pf	_	NOUN	NOUN	_	48	appos	_	TokenRange=253:255
51	foi	_	VERB	VERB	_	30	parataxis	_	TokenRange=256:259
52	a	_	ADP	ADP	_	54	case	_	TokenRange=260:261
53	um	um	DET	DET	_	54	det	_	TokenRange=262:264
54	hotel	hotel	NOUN	NOUN	_	51	nmod	_	TokenRange=265:270
55	em	em	ADP	ADP	_	56	case	_	TokenRange=271:273
56	brasilia	brasilia	NOUN	NOUN	_	54	nmod	_	TokenRange=274:282
57	onde	onde	ADV	ADV	_	60	advmod	_	TokenRange=283:287
58	por	por	ADP	ADP	_	59	case	_	TokenRange=288:291
59	acaso	acaso	NOUN	NOUN	_	60	nmod	_	TokenRange=292:297
60	estava	estar	VERB	VERB	_	54	acl:relcl	_	TokenRange=298:304
61	hospedado	hospedado	ADJ	ADJ	_	60	xcomp	_	TokenRange=305:314
62	o	o	DET	DET	_	63	det	_	TokenRange=315:316
63	expresidente	expresidente	NOUN	NOUN	_	60	nsubj	_	TokenRange=317:329
64	luiz	luiz	ADJ	ADJ	_	63	appos	_	TokenRange=330:334
65	inacio	_	NOUN	NOUN	_	64	flat	_	TokenRange=335:341
66	lula	_	NOUN	NOUN	_	64	flat	_	TokenRange=342:346
67-68	da	_	_	_	_	_	_	_	TokenRange=347:349
67	de	de	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	silva	silva	NOUN	NOUN	_	64	nmod	_	TokenRange=350:355
70	o	o	DET	DET	_	72	det	_	TokenRange=356:357
71	royal	royal	ADJ	ADJ	_	72	amod	_	TokenRange=358:363
72	tulip	_	NOUN	NOUN	_	60	nsubj	_	TokenRange=364:369
73	a	o	DET	DET	_	74	det	_	TokenRange=370:371
74	operacao	operacao	NOUN	NOUN	_	155	nsubj	_	TokenRange=372:380
75	faz	fazer	VERB	VERB	_	155	ccomp	_	TokenRange=381:384
76	parte	parte	NOUN	NOUN	_	75	obj	_	TokenRange=385:390
77-78	da	_	_	_	_	_	_	_	TokenRange=391:393
77	de	de	ADP	ADP	_	80	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
79	26	_	NUM	NUM	NumType=Card	80	nummod	_	TokenRange=394:396
80	fase	fase	NOUN	NOUN	_	76	nmod	_	TokenRange=397:401
81-82	da	_	_	_	_	_	_	_	TokenRange=402:404
81	de	de	ADP	ADP	_	83	case	_	_
82	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	83	det	_	_
83	operacao	operacao	NOUN	NOUN	_	80	nmod	_	TokenRange=405:413
84	lavajato	lavajato	NOUN	NOUN	_	83	flat	_	TokenRange=414:422
85	e	e	CCONJ	CONJ	_	169	cc	_	TokenRange=423:424
86	foi	_	AUX	AUX	_	87	aux:pass	_	TokenRange=425:428
87	autorizada	autorizar	VERB	VERB	_	169	conj	_	TokenRange=429:439
88-89	pelo	_	_	_	_	_	_	_	TokenRange=440:444
88	por	por	ADP	ADP	_	92	case	_	_
89	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	92	det	_	_
90-91	pelo	_	_	_	_	_	_	_	TokenRange=445:449
90	por	por	ADP	ADP	_	92	case	_	_
