# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = fugiu filho de lula foi para os eua pf teve que arrombar a porta do ape de luxo para cumprir mandado para cumprir um mandado de busca e apreensao na casa de luis claudio lula da silva filho prodigio do expresidente lula a pf precisou pular o muro e arrombar a porta do apartamento de luxo no bairro jardins em sp a pf chegou as 5h50 nopredio onde o empresario citado na operacao zelotes mora com a esposa os porteiros nao deixaram a policia entrar porque nao havia ninguem em casa a equipe entao decidiu pular o portao e entrar no predio logo apos arrombaram a porta do apartamento e so permaneceram no local ate as 9h da manha os porteiros disseram a pf que luis claudio estava em nova york ha alguns meses luis claudio instalou cameras de seguranca nos comodos do apartamento as instalacoes foram feitas apos ele ser citado na operacao zelotes o imovel onde luis claudio mora e emprestado do advogado roberto teixeira que defende lula leia tambem
1	fugiu	fugir	VERB	VERB	_	0	root	_	TokenRange=0:5
2	filho	filho	NOUN	NOUN	_	1	obj	_	TokenRange=6:11
3	de	de	ADP	ADP	_	4	case	_	TokenRange=12:14
4	lula	lula	NOUN	NOUN	_	2	nmod	_	TokenRange=15:19
5	foi	_	VERB	VERB	_	1	parataxis	_	TokenRange=20:23
6	para	para	ADP	ADP	_	8	case	_	TokenRange=24:28
7	os	o	DET	DET	_	8	det	_	TokenRange=29:31
8	eua	_	NOUN	NOUN	_	5	nmod	_	TokenRange=32:35
9	pf	_	NOUN	NOUN	_	5	nsubj	_	TokenRange=36:38
10	teve	ter	AUX	AUX	_	12	aux	_	TokenRange=39:43
11	que	que	CCONJ	CONJ	_	12	mark	_	TokenRange=44:47
12	arrombar	arrombar	VERB	VERB	_	1	conj	_	TokenRange=48:56
13	a	o	DET	DET	_	14	det	_	TokenRange=57:58
14	porta	porta	NOUN	NOUN	_	12	obj	_	TokenRange=59:64
15-16	do	_	_	_	_	_	_	_	TokenRange=65:67
15	de	de	ADP	ADP	_	17	case	_	_
16	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	17	det	_	_
17	ape	ape	NOUN	NOUN	_	14	nmod	_	TokenRange=68:71
18	de	de	ADP	ADP	_	19	case	_	TokenRange=72:74
19	luxo	luxo	NOUN	NOUN	_	17	nmod	_	TokenRange=75:79
20	para	_	ADP	ADP	_	21	mark	_	TokenRange=80:84
21	cumprir	cumprir	VERB	VERB	_	12	advcl	_	TokenRange=85:92
