# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba como sera cada etapa do julgamento da chapa dilmatemer no tse tribunal superior eleitoral marcou quatro sessoes ate quintafeira para apresentacao do relatorio manifestacoes das partes e votos dos ministros a sessao desta tercafeira do tribunal superior eleitoral tse sera a primeira de quatro ja marcadas para esta semana que o tribunal dedicou exclusivamente para a analise do pedido de cassacao da chapa dilma rousseffmichel temer por suposto abuso de poder politico e economico na campanha eleitoral de 2014 entenda mesmo se condenado pelo tse temer pode adiar saida da presidencia atualizacao conforme informou inicialmente esta reportagem a previsao inicial era que analise das preliminares
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	como	como	ADV	ADV	_	3	advmod	_	TokenRange=6:10
3	sera	_	VERB	VERB	_	1	ccomp	_	TokenRange=11:15
4	cada	_	DET	DET	_	5	det	_	TokenRange=16:20
5	etapa	etapa	NOUN	NOUN	_	19	nsubj	_	TokenRange=21:26
6-7	do	_	_	_	_	_	_	_	TokenRange=27:29
6	de	de	ADP	ADP	_	8	case	_	_
7	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	8	det	_	_
8	julgamento	julgamento	NOUN	NOUN	_	5	nmod	_	TokenRange=30:40
9-10	da	_	_	_	_	_	_	_	TokenRange=41:43
9	de	de	ADP	ADP	_	11	case	_	_
10	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	11	det	_	_
11	chapa	chapa	NOUN	NOUN	_	8	nmod	_	TokenRange=44:49
12	dilmatemer	dilmatemer	NOUN	NOUN	_	11	flat	_	TokenRange=50:60
13-14	no	_	_	_	_	_	_	_	TokenRange=61:63
13	em	em	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	tse	_	NOUN	NOUN	_	19	nmod	_	TokenRange=64:67
16	tribunal	tribunal	NOUN	NOUN	_	19	nsubj	_	TokenRange=68:76
17	superior	superior	ADJ	ADJ	_	16	amod	_	TokenRange=77:85
18	eleitoral	eleitoral	ADJ	ADJ	_	16	amod	_	TokenRange=86:95
19	marcou	marcar	VERB	VERB	_	1	ccomp	_	TokenRange=96:102
20	quatro	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=103:109
21	sessoes	sessoe	NOUN	NOUN	_	19	obj	_	TokenRange=110:117
22	ate	_	ADP	ADP	_	23	case	_	TokenRange=118:121
23	quintafeira	quintafeira	NOUN	NOUN	_	19	nmod	_	TokenRange=122:133
24	para	para	ADP	ADP	_	25	case	_	TokenRange=134:138
25	apresentacao	apresentacao	NOUN	NOUN	_	19	nmod	_	TokenRange=139:151
26-27	do	_	_	_	_	_	_	_	TokenRange=152:154
26	de	de	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	relatorio	relatorio	NOUN	NOUN	_	25	nmod	_	TokenRange=155:164
29	manifestacoes	manifestacoe	NOUN	NOUN	_	28	appos	_	TokenRange=165:178
30-31	das	_	_	_	_	_	_	_	TokenRange=179:182
30	de	de	ADP	ADP	_	32	case	_	_
31	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	32	det	_	_
32	partes	_	PROPN	PNOUN	_	29	nmod	_	TokenRange=183:189
33	e	e	CCONJ	CONJ	_	34	cc	_	TokenRange=190:191
34	votos	voto	NOUN	NOUN	_	32	conj	_	TokenRange=192:197
35-36	dos	_	_	_	_	_	_	_	TokenRange=198:201
35	de	de	ADP	ADP	_	37	case	_	_
36	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	37	det	_	_
37	ministros	ministro	NOUN	NOUN	_	25	nmod	_	TokenRange=202:211
38	a	o	DET	DET	_	39	det	_	TokenRange=212:213
39	sessao	sessao	NOUN	NOUN	_	50	nsubj	_	TokenRange=214:220
40	desta	_	ADP	ADP	_	41	case	_	TokenRange=221:226
41	tercafeira	tercafeira	NOUN	NOUN	_	39	nmod	_	TokenRange=227:237
42-43	do	_	_	_	_	_	_	_	TokenRange=238:240
42	de	de	ADP	ADP	_	44	case	_	_
43	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	44	det	_	_
44	tribunal	tribunal	NOUN	NOUN	_	39	nmod	_	TokenRange=241:249
45	superior	superior	ADJ	ADJ	_	44	amod	_	TokenRange=250:258
46	eleitoral	eleitoral	ADJ	ADJ	_	44	amod	_	TokenRange=259:268
47	tse	_	PRON	PRON	_	50	nsubj	_	TokenRange=269:272
48	sera	_	AUX	AUX	_	50	cop	_	TokenRange=273:277
49	a	o	DET	DET	_	50	det	_	TokenRange=278:279
50	primeira	primeiro	NOUN	NOUN	_	1	parataxis	_	TokenRange=280:288
51	de	de	ADP	ADP	_	52	case	_	TokenRange=289:291
52	quatro	_	NUM	NUM	NumType=Card	50	nmod	_	TokenRange=292:298
53	ja	ja	ADV	ADV	_	54	advmod	_	TokenRange=299:301
54	marcadas	marcar	VERB	VERB	_	52	acl	_	TokenRange=302:310
55	para	para	ADP	ADP	_	57	case	_	TokenRange=311:315
56	esta	_	DET	DET	_	57	det	_	TokenRange=316:320
57	semana	semana	NOUN	NOUN	_	54	nmod	_	TokenRange=321:327
