# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vazou a lista dos politicos que serao indiciados na lava jato esta semana o procuradorgeral da republica rodrigo janot pedira esta semana ao stf supremo tribunal federal o indiciamento dos politicos mais importantes do pais esta semana o procuradorgeral da republica rodrigo janot pedira nos proximos dias ao stf supremo tribunal federal a abertura de inquerito para investigar pelo menos dois ministros do governo de michel temer alem de senadores do pmdb e do psdb todos citados nas delacoes premiadas da odebrecht janot vai requerer ainda o desmembramento para instancias inferiores de casos envolvendo dezenas de politicos sem foro no supremo mas que foram mencionados nos depoimentos entre eles estao os petistas e expresidentes dilma rousseff e luiz inacio lula da silva alem dos exministros guido mantega e antonio palocci o marqueteiro joao santana governadores exgovernadores e exparlamentares da equipe de temer segundo a folha apurou ja estao na lista da procuradoriageral da republica pgr os ministros eliseu padilha casa civil e moreira franco secretariageral da presidencia outros ministros podem aparecer por exemplo gilberto kassab ciencia e tecnologia e comunicacoes a procuradoria por enquanto estuda esse caso da bancada do pmdb no congresso a pgr quer investigar o presidente do senado eunicio oliveira ce o lider do partido e expresidente renan calheiros al e os senadores edison lobao ma e romero juca rr integram tambem a lista da procuradoria os tucanos jose serra sp e aecio neves mg estrategia a estrategia de janot e tentar entregar na proxima semana todos os pedidos de uma vez ao relator da lava jato no stf edson fachin o numero de solicitacoes ao ministro do supremo pode passar de 40 os detalhes sobre os inqueritos devem ser concluidos ate esta segundafeira 6 em brasilia o procuradorgeral vai sugerir diligencias incluindo depoimentos e quebra de sigilos bancarios e fiscal ao todo cerca de 850 depoimentos de 77 executivos da odebrecht foram analisados muitos deles contem fatos semelhantes outros podem ser anexados a investigacoes ja em andamento hipoteses de acordo com quem tem acesso as delacoes janot e sua equipe estudam ainda a viabilidade juridica de incluir ou nao o nome do presidente michel temer como alvo de inquerito as delacoes da odebrecht incluem o peemedebista em episodios quando ele era vicepresidente por exemplo um jantar no palacio do jaburu com marcelo odebrecht em 2014 e quando ainda era deputado e candidato a vice da petista em 2010 ano em que teria participado de uma reuniao com a empreiteira para discutir repasse de recursos a discussao interna na pgr e se o cargo de vice pode ser considerado um mandato presidencial nesse caso o stf pode autorizar a investigacao da participacao de temer no jantar de 2014
1	vazou	vazar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	a	o	DET	DET	_	3	det	_	TokenRange=6:7
3	lista	lista	NOUN	NOUN	_	1	obj	_	TokenRange=8:13
4-5	dos	_	_	_	_	_	_	_	TokenRange=14:17
4	de	de	ADP	ADP	_	6	case	_	_
5	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	6	det	_	_
6	politicos	politico	NOUN	NOUN	_	3	nmod	_	TokenRange=18:27
7	que	_	PRON	PRON	_	9	nsubj:pass	_	TokenRange=28:31
8	serao	ser	AUX	AUX	_	9	aux:pass	_	TokenRange=32:37
9	indiciados	indiciar	VERB	VERB	_	6	acl:relcl	_	TokenRange=38:48
10-11	na	_	_	_	_	_	_	_	TokenRange=49:51
10	em	em	ADP	ADP	_	12	case	_	_
11	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	12	det	_	_
12	lava	lava	NOUN	NOUN	_	9	nmod	_	TokenRange=52:56
13	jato	jato	ADJ	ADJ	_	12	amod	_	TokenRange=57:61
14	esta	_	DET	DET	_	15	det	_	TokenRange=62:66
15	semana	semana	NOUN	NOUN	_	23	nmod	_	TokenRange=67:73
16	o	o	DET	DET	_	17	det	_	TokenRange=74:75
17	procuradorgeral	procuradorgeral	NOUN	NOUN	_	23	nsubj	_	TokenRange=76:91
18-19	da	_	_	_	_	_	_	_	TokenRange=92:94
18	de	de	ADP	ADP	_	20	case	_	_
19	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	20	det	_	_
20	republica	_	NOUN	NOUN	_	17	nmod	_	TokenRange=95:104
21	rodrigo	rodrigo	NOUN	NOUN	_	17	appos	_	TokenRange=105:112
22	janot	_	NOUN	NOUN	_	21	flat	_	TokenRange=113:118
23	pedira	pedirar	VERB	VERB	_	1	parataxis	_	TokenRange=119:125
24	esta	_	DET	DET	_	25	det	_	TokenRange=126:130
25	semana	semana	NOUN	NOUN	_	23	nmod	_	TokenRange=131:137
26-27	ao	_	_	_	_	_	_	_	TokenRange=138:140
26	a	a	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	stf	_	NOUN	NOUN	_	23	iobj	_	TokenRange=141:144
29	supremo	supremo	ADJ	ADJ	_	30	amod	_	TokenRange=145:152
30	tribunal	tribunal	NOUN	NOUN	_	28	appos	_	TokenRange=153:161
31	federal	federal	ADJ	ADJ	_	30	amod	_	TokenRange=162:169
32	o	o	DET	DET	_	33	det	_	TokenRange=170:171
33	indiciamento	indiciamento	NOUN	NOUN	_	23	obj	_	TokenRange=172:184
34-35	dos	_	_	_	_	_	_	_	TokenRange=185:188
34	de	de	ADP	ADP	_	36	case	_	_
35	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	36	det	_	_
36	politicos	politico	NOUN	NOUN	_	33	nmod	_	TokenRange=189:198
37	mais	mais	ADV	ADV	_	38	advmod	_	TokenRange=199:203
38	importantes	importante	ADJ	ADJ	_	36	amod	_	TokenRange=204:215
39-40	do	_	_	_	_	_	_	_	TokenRange=216:218
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	pais	_	NOUN	NOUN	_	38	nmod	_	TokenRange=219:223
42	esta	_	DET	DET	_	43	det	_	TokenRange=224:228
43	semana	semana	NOUN	NOUN	_	51	nmod	_	TokenRange=229:235
44	o	o	DET	DET	_	45	det	_	TokenRange=236:237
45	procuradorgeral	procuradorgeral	NOUN	NOUN	_	51	nsubj	_	TokenRange=238:253
46-47	da	_	_	_	_	_	_	_	TokenRange=254:256
46	de	de	ADP	ADP	_	48	case	_	_
47	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	48	det	_	_
48	republica	_	NOUN	NOUN	_	45	nmod	_	TokenRange=257:266
49	rodrigo	rodrigo	ADJ	ADJ	_	45	appos	_	TokenRange=267:274
50	janot	_	NOUN	NOUN	_	49	flat	_	TokenRange=275:280
51	pedira	pedirar	VERB	VERB	_	1	parataxis	_	TokenRange=281:287
52-53	nos	_	_	_	_	_	_	_	TokenRange=288:291
52	em	em	ADP	ADP	_	55	case	_	_
53	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	55	det	_	_
54	proximos	proximo	ADJ	ADJ	_	55	amod	_	TokenRange=292:300
55	dias	dia	NOUN	NOUN	_	51	nmod	_	TokenRange=301:305
56-57	ao	_	_	_	_	_	_	_	TokenRange=306:308
56	a	a	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
