1 cenario cenario 0 NOUN root
2 a o 3 DET det
3 coreia coreia 1 NOUN nsubj
4 de de 6 ADP case
5 o o 6 DET det
6 norte norte 3 NOUN nmod
7 e e 10 CCONJ cc
8 definitivamente definitivamente 10 ADV advmod
9 uma um 10 DET det
10 potencia potencia 3 NOUN conj
11 nuclear nuclear 10 ADJ amod
12 a o 13 DET det
13 bomba bomba 22 NOUN nsubj
14 de de 15 ADP case
15 hidrogenio hidrogenio 13 NOUN nmod
16 de de 18 ADP case
17 a o 18 DET det
18 coreia coreia 13 NOUN nmod
19 de de 21 ADP case
20 o o 21 DET det
21 norte norte 18 NOUN nmod
22 funciona funcionar 1 VERB parataxis
23 e e 25 CCONJ cc
24 o o 25 DET det
25 missil missil 233 NOUN nsubj
26 de de 28 ADP case
27 longo longo 28 ADJ amod
28 alcance alcance 25 NOUN nmod
29 feito feito 25 VERB acl
30 para para 31 ADP mark
31 transportar transportar 29 VERB advcl
32 a o 33 DET det
33 carga carga 31 NOUN obj
34 de de 35 ADP case
35 ataque ataque 33 NOUN nmod
36 voa voa 35 ADJ amod
37 com com 38 ADP case
38 precisao precisao 36 NOUN nmod
39 e e 40 CCONJ cc
40 capaz capaz 117 ADJ conj
41 de de 42 ADP mark
42 chegar chegar 40 VERB nmod
43 a a 45 ADP case
44 o o 45 DET det
45 territorio territorio 42 NOUN nmod
46 continental continental 45 ADJ amod
47 de de 49 ADP case
48 os o 49 DET det
49 eua eua 45 NOUN nmod
50 as o 51 DET det
51 noticias noticia 107 NOUN nsubj
52 sao sao 54 AUX cop
53 as o 54 DET det
54 piores piores 107 NOUN parataxis
55 a o 56 DET det
56 bomba bomba 233 NOUN nsubj
57 de de 58 ADP case
58 hidrogenio hidrogenio 56 NOUN nmod
59 de de 61 ADP case
60 a o 61 DET det
61 coreia coreia 56 NOUN nmod
62 de de 64 ADP case
63 o o 64 DET det
64 norte norte 61 NOUN nmod
65 funciona funcionar 54 VERB csubj
66 e e 233 CCONJ cc
67 o o 68 DET det
68 missil missil 233 NOUN nsubj
69 de de 71 ADP case
70 longo longo 71 ADJ amod
71 alcance alcance 68 NOUN nmod
72 feito feito 68 VERB acl
73 para para 74 ADP mark
74 transportar transportar 72 VERB advcl
75 a o 76 DET det
76 carga carga 74 NOUN obj
77 de de 78 ADP case
78 ataque ataque 76 NOUN nmod
79 voa voa 78 ADJ amod
80 com com 81 ADP case
81 precisao precisao 160 NOUN nmod
82 e e 83 CCONJ cc
83 capaz capaz 321 ADJ conj
84 de de 85 ADP mark
85 chegar chegar 83 VERB nmod
86 a a 88 ADP case
87 o o 88 DET det
88 territorio territorio 85 NOUN nmod
89 continental continental 88 ADJ amod
90 de de 92 ADP case
91 os o 92 DET det
92 eua eua 88 NOUN nmod
93 ate ate 94 ADP case
94 julho julho 85 PROPN nmod
95 de de 96 ADP case
96 2018 2018 94 NUM nmod
97 os o 98 DET det
98 especialistas especialista 107 NOUN nsubj
99 de de 101 ADP case
100 o o 101 DET det
101 instituto instituto 98 NOUN nmod
102 de de 103 ADP case
103 armas arma 101 NOUN nmod
104 nucleares nuclear 103 ADJ amod
105 de de 106 ADP case
106 pyongyang pyongyang 101 NOUN nmod
107 terao ter 1 VERB parataxis
108 pronto pronto 107 ADJ xcomp
109 o o 110 DET det
110 veiculo veiculo 108 NOUN nsubj
111 de de 112 ADP case
112 reentrada reentrada 110 NOUN nmod
