# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = virou bagunca todo mundo quer o mesmo beneficio de dilma delcidio recorre ao stf para recuperar direitos a balburdia criada pelo fatiamento do impeachment esta criando uma avalanche de recursos no supremo o exsenador petista delcidio do amaral recorreu agora pouco ao stf para que sua cassacao seja anulada a defesa de delcidio quer que o processo volte para a comissao de constituicao e justica do senado e o exparlamentar tenha seus direitos politicos devolvidos o exsenador teve o mandato cassado em maio/2016 e esta inelegivel ao menos por enquanto por oito anos a advogado argumentou nao e possivel que num estado democratico de direito valham dois pesos e duas medidas delcidio foi cassado do mandato sem a perda dos direitos politicos dada a isonomia de tratamento com o impeachment da expresidente
1	virou	virar	VERB	VERB	_	0	root	_	TokenRange=0:5
2	bagunca	bagunca	NOUN	NOUN	_	1	nsubj	_	TokenRange=6:13
3	todo	_	DET	DET	_	4	det	_	TokenRange=14:18
4	mundo	mundo	NOUN	NOUN	_	5	nsubj	_	TokenRange=19:24
5	quer	querer	VERB	VERB	_	1	ccomp	_	TokenRange=25:29
6	o	o	DET	DET	_	8	det	_	TokenRange=30:31
7	mesmo	mesmo	ADJ	ADJ	_	8	amod	_	TokenRange=32:37
8	beneficio	beneficio	NOUN	NOUN	_	5	obj	_	TokenRange=38:47
9	de	de	ADP	ADP	_	10	case	_	TokenRange=48:50
10	dilma	dilma	NOUN	NOUN	_	8	nmod	_	TokenRange=51:56
11	delcidio	delcidio	NOUN	NOUN	_	10	amod	_	TokenRange=57:65
12	recorre	recorrer	VERB	VERB	_	1	conj	_	TokenRange=66:73
13-14	ao	_	_	_	_	_	_	_	TokenRange=74:76
13	a	a	ADP	ADP	_	15	case	_	_
14	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	15	det	_	_
15	stf	_	NOUN	NOUN	_	12	nmod	_	TokenRange=77:80
16	para	_	ADP	ADP	_	17	mark	_	TokenRange=81:85
17	recuperar	recuperar	VERB	VERB	_	12	advcl	_	TokenRange=86:95
18	direitos	direito	NOUN	NOUN	_	17	obj	_	TokenRange=96:104
19	a	o	DET	DET	_	20	det	_	TokenRange=105:106
20	balburdia	balburdia	NOUN	NOUN	_	29	nsubj	_	TokenRange=107:116
21	criada	criar	VERB	VERB	_	20	acl	_	TokenRange=117:123
22-23	pelo	_	_	_	_	_	_	_	TokenRange=124:128
22	por	por	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	fatiamento	fatiamento	NOUN	NOUN	_	21	nmod	_	TokenRange=129:139
25-26	do	_	_	_	_	_	_	_	TokenRange=140:142
25	de	de	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	impeachment	impeachment	NOUN	NOUN	_	24	nmod	_	TokenRange=143:154
28	esta	_	PRON	AUX	_	29	aux	_	TokenRange=155:159
29	criando	criar	VERB	VERB	_	1	parataxis	_	TokenRange=160:167
30	uma	um	DET	DET	_	31	det	_	TokenRange=168:171
31	avalanche	avalanche	NOUN	NOUN	_	29	obj	_	TokenRange=172:181
32	de	de	ADP	ADP	_	33	case	_	TokenRange=182:184
33	recursos	recurso	NOUN	NOUN	_	31	nmod	_	TokenRange=185:193
34-35	no	_	_	_	_	_	_	_	TokenRange=194:196
34	em	em	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	supremo	supremo	NOUN	NOUN	_	29	nmod	_	TokenRange=197:204
37	o	o	DET	DET	_	38	det	_	TokenRange=205:206
38	exsenador	exsenador	NOUN	NOUN	_	44	nsubj	_	TokenRange=207:216
39	petista	petista	ADJ	ADJ	_	38	amod	_	TokenRange=217:224
40	delcidio	delcidio	NOUN	NOUN	_	38	appos	_	TokenRange=225:233
41-42	do	_	_	_	_	_	_	_	TokenRange=234:236
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	amaral	amaral	NOUN	NOUN	_	40	nmod	_	TokenRange=237:243
44	recorreu	recorrer	VERB	VERB	_	29	parataxis	_	TokenRange=244:252
45	agora	agora	ADV	ADV	_	44	advmod	_	TokenRange=253:258
46	pouco	pouco	ADV	ADV	_	44	advmod	_	TokenRange=259:264
47-48	ao	_	_	_	_	_	_	_	TokenRange=265:267
47	a	a	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	stf	_	NOUN	NOUN	_	44	nmod	_	TokenRange=268:271
50	para	_	ADP	ADP	_	55	mark	_	TokenRange=272:276
51	que	_	CCONJ	CONJ	_	50	fixed	_	TokenRange=277:280
52	sua	_	DET	DET	_	53	det:poss	_	TokenRange=281:284
53	cassacao	cassacao	NOUN	NOUN	_	55	nsubj:pass	_	TokenRange=285:293
54	seja	ser	AUX	AUX	_	55	aux:pass	_	TokenRange=294:298
55	anulada	anular	VERB	VERB	_	44	advcl	_	TokenRange=299:306
56	a	o	DET	DET	_	57	det	_	TokenRange=307:308
57	defesa	_	NOUN	NOUN	_	55	nsubj:pass	_	TokenRange=309:315
58	de	de	ADP	ADP	_	59	case	_	TokenRange=316:318
59	delcidio	delcidio	NOUN	NOUN	_	57	nmod	_	TokenRange=319:327
60	quer	querer	VERB	VERB	_	44	parataxis	_	TokenRange=328:332
61	que	que	CCONJ	CONJ	_	64	mark	_	TokenRange=333:336
62	o	o	DET	DET	_	63	det	_	TokenRange=337:338
63	processo	processo	NOUN	NOUN	_	64	nsubj	_	TokenRange=339:347
64	volte	voltar	VERB	VERB	_	60	ccomp	_	TokenRange=348:353
65	para	para	ADP	ADP	_	67	case	_	TokenRange=354:358
66	a	o	DET	DET	_	67	det	_	TokenRange=359:360
67	comissao	comissao	NOUN	NOUN	_	64	nmod	_	TokenRange=361:369
68	de	de	ADP	ADP	_	69	case	_	TokenRange=370:372
69	constituicao	constituicao	NOUN	NOUN	_	67	nmod	_	TokenRange=373:385
70	e	e	CCONJ	CONJ	_	71	cc	_	TokenRange=386:387
71	justica	_	NOUN	NOUN	_	69	conj	_	TokenRange=388:395
72-73	do	_	_	_	_	_	_	_	TokenRange=396:398
72	de	de	ADP	ADP	_	74	case	_	_
73	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	74	det	_	_
74	senado	senado	NOUN	NOUN	_	67	nmod	_	TokenRange=399:405
75	e	e	CCONJ	CONJ	_	78	cc	_	TokenRange=406:407
76	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	78	det	_	TokenRange=408:409
77	exparlamentar	exparlamentar	NOUN	NOUN	_	78	nsubj	_	TokenRange=410:423
78	tenha	ter	VERB	VERB	_	44	conj	_	TokenRange=424:429
79	seus	_	DET	DET	_	80	det:poss	_	TokenRange=430:434
80	direitos	direito	NOUN	NOUN	_	78	obj	_	TokenRange=435:443
81	politicos	politico	ADJ	ADJ	_	80	amod	_	TokenRange=444:453
82	devolvidos	devolvido	ADJ	ADJ	_	78	xcomp	_	TokenRange=454:464
83	o	o	DET	DET	_	84	det	_	TokenRange=465:466
84	exsenador	exsenador	NOUN	NOUN	_	85	nsubj	_	TokenRange=467:476
85	teve	ter	VERB	VERB	_	60	ccomp	_	TokenRange=477:481
86	o	o	DET	DET	_	87	det	_	TokenRange=482:483
