# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = nove algoritmos podem estar tomando decisoes saber sistemas inteligencia artificial determinam escolhido entrevistas emprego conseguira emprestimos relacionamos chance pessoa cometer novo crime tecnologia levanta questoes eticas importantes video mostra medico david dao sendo removido voo united airlines aeroporto chicago estados unidos viralizou abril passado episodio gerou prejuizos imagem empresa americana cuja tripulacao queria dao cedesse lugar funcionario destino voo louisville render equipe local quase nenhuma criticas tratou elemento crucial ocorrido necessidade retirar medico voo decidida maquina especificamente programa computador exemplo classico programas conhecidos algoritimos tomando decisoes afetam vidas muitas vezes gente sequer saiba disso especialistas manifestaram preocupacao falta transparencia uso sistemas
1	nove	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
2	algoritmos	algoritmo	NOUN	NOUN	_	5	nsubj	_	TokenRange=5:15
3	podem	_	AUX	AUX	_	5	aux	_	TokenRange=16:21
4	estar	estar	AUX	AUX	_	5	aux	_	TokenRange=22:27
5	tomando	tomar	VERB	VERB	_	24	ccomp	_	TokenRange=28:35
6	decisoes	decisoe	NOUN	NOUN	_	5	obj	_	TokenRange=36:44
7	saber	saber	VERB	VERB	_	5	ccomp	_	TokenRange=45:50
8	sistemas	sistema	NOUN	NOUN	_	7	obj	_	TokenRange=51:59
9	inteligencia	inteligencia	NOUN	NOUN	_	8	appos	_	TokenRange=60:72
10	artificial	artificial	ADJ	ADJ	_	9	amod	_	TokenRange=73:83
11	determinam	determinar	VERB	VERB	_	5	parataxis	_	TokenRange=84:94
12	escolhido	escolher	VERB	VERB	_	11	acl	_	TokenRange=95:104
13	entrevistas	entrevista	NOUN	NOUN	_	15	obj	_	TokenRange=105:116
14	emprego	emprego	NOUN	NOUN	_	13	appos	_	TokenRange=117:124
15	conseguira	conseguir	VERB	VERB	_	11	parataxis	_	TokenRange=125:135
16	emprestimos	emprestimo	NOUN	NOUN	_	15	obj	_	TokenRange=136:147
17	relacionamos	relacionar	VERB	VERB	_	0	root	_	TokenRange=148:160
18	chance	chance	NOUN	NOUN	_	17	obj	_	TokenRange=161:167
19	pessoa	pessoa	NOUN	NOUN	_	18	flat	_	TokenRange=168:174
20	cometer	cometer	VERB	VERB	_	18	acl:inf	_	TokenRange=175:182
21	novo	novo	ADJ	ADJ	_	22	amod	_	TokenRange=183:187
22	crime	crime	NOUN	NOUN	_	20	obj	_	TokenRange=188:193
23	tecnologia	tecnologia	NOUN	NOUN	_	22	appos	_	TokenRange=194:204
24	levanta	levantar	VERB	VERB	_	17	parataxis	_	TokenRange=205:212
25	questoes	questoe	NOUN	NOUN	_	24	obj	_	TokenRange=213:221
26	eticas	etico	ADJ	ADJ	_	25	amod	_	TokenRange=222:228
27	importantes	importante	ADJ	ADJ	_	25	amod	_	TokenRange=229:240
28	video	video	NOUN	NOUN	_	42	nsubj	_	TokenRange=241:246
29	mostra	mostra	NOUN	NOUN	_	24	parataxis	_	TokenRange=247:253
30	medico	medico	NOUN	NOUN	_	29	appos	_	TokenRange=254:260
31	david	_	NOUN	NOUN	_	30	appos	_	TokenRange=261:266
32	dao	dao	NOUN	NOUN	_	31	flat	_	TokenRange=267:270
33	sendo	ser	AUX	AUX	_	34	aux:pass	_	TokenRange=271:276
34	removido	remover	VERB	VERB	_	30	acl	_	TokenRange=277:285
35	voo	voo	NOUN	NOUN	_	34	nsubj:pass	_	TokenRange=286:289
36	united	_	ADJ	ADJ	_	37	amod	_	TokenRange=290:296
37	airlines	_	NOUN	NOUN	_	35	appos	_	TokenRange=297:305
38	aeroporto	aeroporto	NOUN	NOUN	_	35	appos	_	TokenRange=306:315
39	chicago	chicago	NOUN	NOUN	_	40	amod	_	TokenRange=316:323
40	estados	estado	NOUN	NOUN	_	38	appos	_	TokenRange=324:331
41	unidos	unido	ADJ	ADJ	_	40	amod	_	TokenRange=332:338
42	viralizou	viralizar	VERB	VERB	_	5	parataxis	_	TokenRange=339:348
43	abril	_	PROPN	PNOUN	_	42	obj	_	TokenRange=349:354
44	passado	passado	ADJ	ADJ	_	43	amod	_	TokenRange=355:362
45	episodio	episodio	NOUN	NOUN	_	46	nsubj	_	TokenRange=363:371
46	gerou	gerar	VERB	VERB	_	42	parataxis	_	TokenRange=372:377
47	prejuizos	prejuízo	NOUN	NOUN	_	46	obj	_	TokenRange=378:387
48	imagem	imagem	NOUN	NOUN	_	49	amod	_	TokenRange=388:394
49	empresa	empresa	NOUN	NOUN	_	46	nsubj	_	TokenRange=395:402
