# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = comeca o desmonte do pmdb dois ministros de temer aparecem nas primeiras delacoes da odebrecht o colunista guilherme amado do globo informou que paulo cesena executivo da odebrecht transport confirmou que fez repasses em cash dinheiro vivo grana bufunfa dim dim cascalho faz me rir etc para dois ministros de temer sao eles eliseu padilha ministro chefe da casa civil e moreira franco o delator informou que os dois pediram dinheiro em nome do partido o pmdb em outubro deste ano o estadao publicou uma outra denuncia contra moreira franco porem o executivo delator era outro
1	comeca	comecar	VERB	VERB	_	0	root	_	TokenRange=0:6
2	o	o	DET	DET	_	3	det	_	TokenRange=7:8
3	desmonte	desmonte	NOUN	NOUN	_	1	nsubj	_	TokenRange=9:17
4-5	do	_	_	_	_	_	_	_	TokenRange=18:20
4	de	de	ADP	ADP	_	6	case	_	_
5	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	pmdb	_	NOUN	NOUN	_	3	nmod	_	TokenRange=21:25
7	dois	_	NUM	NUM	NumType=Card	8	nummod	_	TokenRange=26:30
8	ministros	ministro	NOUN	NOUN	_	11	nsubj	_	TokenRange=31:40
9	de	de	ADP	ADP	_	10	case	_	TokenRange=41:43
10	temer	temer	NOUN	NOUN	_	8	nmod	_	TokenRange=44:49
11	aparecem	aparecer	VERB	VERB	_	1	parataxis	_	TokenRange=50:58
12-13	nas	_	_	_	_	_	_	_	TokenRange=59:62
12	em	em	ADP	ADP	_	15	case	_	_
13	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	15	det	_	_
14	primeiras	primeiro	ADJ	ADJ	_	15	amod	_	TokenRange=63:72
15	delacoes	delacoe	NOUN	NOUN	_	11	nmod	_	TokenRange=73:81
16-17	da	_	_	_	_	_	_	_	TokenRange=82:84
16	de	de	ADP	ADP	_	18	case	_	_
17	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	18	det	_	_
18	odebrecht	_	NOUN	NOUN	_	15	nmod	_	TokenRange=85:94
19	o	o	DET	DET	_	20	det	_	TokenRange=95:96
20	colunista	colunista	NOUN	NOUN	_	11	nsubj	_	TokenRange=97:106
21	guilherme	guilherme	NOUN	NOUN	_	20	appos	_	TokenRange=107:116
22	amado	amado	ADJ	NOUN	_	21	flat	_	TokenRange=117:122
23-24	do	_	_	_	_	_	_	_	TokenRange=123:125
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	globo	globo	NOUN	NOUN	_	20	nmod	_	TokenRange=126:131
26	informou	informar	VERB	VERB	_	1	conj	_	TokenRange=132:140
27	que	que	CCONJ	CONJ	_	35	mark	_	TokenRange=141:144
28	paulo	paulo	NOUN	NOUN	_	35	nsubj	_	TokenRange=145:150
29	cesena	_	NOUN	NOUN	_	28	flat	_	TokenRange=151:157
30	executivo	executivo	NOUN	NOUN	_	28	flat	_	TokenRange=158:167
31-32	da	_	_	_	_	_	_	_	TokenRange=168:170
31	de	de	ADP	ADP	_	33	case	_	_
32	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
33	odebrecht	_	NOUN	NOUN	_	28	nmod	_	TokenRange=171:180
34	transport	transport	NOUN	NOUN	_	33	flat	_	TokenRange=181:190
35	confirmou	confirmar	VERB	VERB	_	26	ccomp	_	TokenRange=191:200
36	que	que	CCONJ	CONJ	_	37	mark	_	TokenRange=201:204
37	fez	fazer	VERB	VERB	_	35	ccomp	_	TokenRange=205:208
38	repasses	repasse	NOUN	NOUN	_	37	obj	_	TokenRange=209:217
39	em	em	ADP	ADP	_	40	case	_	TokenRange=218:220
40	cash	_	NOUN	NOUN	_	38	nmod	_	TokenRange=221:225
41	dinheiro	dinheiro	NOUN	NOUN	_	40	flat	_	TokenRange=226:234
42	vivo	vivo	ADJ	ADJ	_	41	amod	_	TokenRange=235:239
43	grana	grana	NOUN	NOUN	_	37	nsubj	_	TokenRange=240:245
44	bufunfa	bufunfa	NOUN	NOUN	_	43	flat	_	TokenRange=246:253
45	dim	dim	NOUN	NOUN	_	48	nmod	_	TokenRange=254:257
46	dim	_	NOUN	NOUN	_	48	nsubj	_	TokenRange=258:261
47	cascalho	cascalho	NOUN	NOUN	_	48	nsubj	_	TokenRange=262:270
48	faz	fazer	VERB	VERB	_	37	conj	_	TokenRange=271:274
49	me	_	PRON	PRON	_	50	obj	_	TokenRange=275:277
50	rir	rir	VERB	VERB	_	48	xcomp	_	TokenRange=278:281
51	etc	_	X	X	_	48	nsubj	_	TokenRange=282:285
52	para	para	ADP	ADP	_	54	case	_	TokenRange=286:290
53	dois	_	NUM	NUM	NumType=Card	54	nummod	_	TokenRange=291:295
54	ministros	ministro	NOUN	NOUN	_	48	nmod	_	TokenRange=296:305
55	de	de	ADP	ADP	_	56	case	_	TokenRange=306:308
56	temer	temer	NOUN	NOUN	_	54	nmod	_	TokenRange=309:314
57	sao	_	AUX	AUX	_	59	cop	_	TokenRange=315:318
58	eles	_	PRON	PRON	_	59	nsubj	_	TokenRange=319:323
59	eliseu	_	NOUN	NOUN	_	54	appos	_	TokenRange=324:330
60	padilha	padilha	ADJ	ADJ	_	59	flat	_	TokenRange=331:338
61	ministro	ministro	NOUN	NOUN	_	59	flat	_	TokenRange=339:347
62	chefe	chefe	NOUN	NOUN	_	59	flat	_	TokenRange=348:353
63-64	da	_	_	_	_	_	_	_	TokenRange=354:356
63	de	de	ADP	ADP	_	65	case	_	_
64	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	65	det	_	_
65	casa	casa	NOUN	NOUN	_	61	nmod	_	TokenRange=357:361
66	civil	civil	ADJ	ADJ	_	65	amod	_	TokenRange=362:367
67	e	e	CCONJ	CONJ	_	68	cc	_	TokenRange=368:369
68	moreira	_	NOUN	NOUN	_	59	conj	_	TokenRange=370:377
69	franco	franco	ADJ	ADJ	_	68	amod	_	TokenRange=378:384
70	o	o	DET	DET	_	71	det	_	TokenRange=385:386
71	delator	delator	NOUN	NOUN	_	72	nsubj	_	TokenRange=387:394
72	informou	informar	VERB	VERB	_	11	conj	_	TokenRange=395:403
73	que	que	CCONJ	CONJ	_	76	mark	_	TokenRange=404:407
74	os	o	DET	DET	_	75	det	_	TokenRange=408:410
75	dois	_	NUM	NUM	NumType=Card	76	nsubj	_	TokenRange=411:415
76	pediram	pedir	VERB	VERB	_	72	ccomp	_	TokenRange=416:423
77	dinheiro	dinheiro	NOUN	NOUN	_	76	obj	_	TokenRange=424:432
78	em	em	ADP	ADP	_	79	case	_	TokenRange=433:435
79	nome	nome	NOUN	NOUN	_	76	nmod	_	TokenRange=436:440
80-81	do	_	_	_	_	_	_	_	TokenRange=441:443
80	de	de	ADP	ADP	_	82	case	_	_
81	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	82	det	_	_
82	partido	partido	NOUN	NOUN	_	79	nmod	_	TokenRange=444:451
83	o	o	DET	DET	_	84	det	_	TokenRange=452:453
84	pmdb	_	NOUN	NOUN	_	76	obj	_	TokenRange=454:458
85	em	em	ADP	ADP	_	86	case	_	TokenRange=459:461
86	outubro	_	PROPN	PNOUN	_	91	nmod	_	TokenRange=462:469
87	deste	_	ADP	ADP	_	88	case	_	TokenRange=470:475
88	ano	ano	NOUN	NOUN	_	86	nmod	_	TokenRange=476:479
89	o	o	DET	DET	_	90	det	_	TokenRange=480:481
90	estadao	estadao	NOUN	NOUN	_	91	nsubj	_	TokenRange=482:489
91	publicou	publicar	VERB	VERB	_	72	ccomp	_	TokenRange=490:498
92	uma	um	DET	DET	_	94	det	_	TokenRange=499:502
93	outra	_	DET	DET	_	94	det	_	TokenRange=503:508
94	denuncia	denuncia	NOUN	NOUN	_	91	obj	_	TokenRange=509:517
95	contra	_	ADP	ADP	_	96	case	_	TokenRange=518:524
96	moreira	_	NOUN	NOUN	_	94	nmod	_	TokenRange=525:532
97	franco	franco	ADJ	ADJ	_	96	amod	_	TokenRange=533:539
98	porem	_	CCONJ	CONJ	_	103	mark	_	TokenRange=540:545
99	o	o	DET	DET	_	100	det	_	TokenRange=546:547
100	executivo	executivo	NOUN	NOUN	_	103	nsubj	_	TokenRange=548:557
101	delator	delator	NOUN	NOUN	_	100	amod	_	TokenRange=558:565
102	era	_	AUX	AUX	_	103	cop	_	TokenRange=566:569
103	outro	_	PRON	PRON	_	72	ccomp	_	TokenRange=570:575

