# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = preso pela lava jato bendine diz que encontrou dono da odebrecht em local oculto expresidente da petrobras e dois operadores financeiros foram presos na 42 fase da operacao eles prestaram depoimento a pf nesta segundafeira 31 o expresidente da petrobras e do banco do brasil aldemir bendine que e um dos alvos da 42 fase da lava jato disse em depoimento a policia federal pf que se encontrou com emilio odebrecht dono do grupo odebrecht em um local oculto bendine relatou que se encontrou com andre gustavo outro alvo da 42 etapa da operacao e fernando reis exexecutivo da
1	preso	_	VERB	VERB	_	6	acl	_	TokenRange=0:5
2-3	pela	_	_	_	_	_	_	_	TokenRange=6:10
2	por	por	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	lava	lava	NOUN	NOUN	_	1	nmod	_	TokenRange=11:15
5	jato	jato	NOUN	NOUN	_	4	flat	_	TokenRange=16:20
6	bendine	bendine	NOUN	NOUN	_	7	nsubj	_	TokenRange=21:28
7	diz	dizer	VERB	VERB	_	0	root	_	TokenRange=29:32
8	que	que	CCONJ	CONJ	_	9	mark	_	TokenRange=33:36
9	encontrou	encontrar	VERB	VERB	_	7	ccomp	_	TokenRange=37:46
10	dono	dono	NOUN	NOUN	_	9	obj	_	TokenRange=47:51
11-12	da	_	_	_	_	_	_	_	TokenRange=52:54
11	de	de	ADP	ADP	_	13	case	_	_
12	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	13	det	_	_
13	odebrecht	_	NOUN	NOUN	_	10	nmod	_	TokenRange=55:64
14	em	em	ADP	ADP	_	15	case	_	TokenRange=65:67
15	local	local	NOUN	NOUN	_	9	nmod	_	TokenRange=68:73
16	oculto	oculto	ADJ	ADJ	_	15	amod	_	TokenRange=74:80
17	expresidente	expresidente	NOUN	NOUN	_	15	appos	_	TokenRange=81:93
18-19	da	_	_	_	_	_	_	_	TokenRange=94:96
18	de	de	ADP	ADP	_	20	case	_	_
19	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	20	det	_	_
20	petrobras	petrobra	NOUN	NOUN	_	17	nmod	_	TokenRange=97:106
21	e	e	CCONJ	CONJ	_	26	cc	_	TokenRange=107:108
22	dois	_	NUM	NUM	NumType=Card	23	nummod	_	TokenRange=109:113
23	operadores	operador	NOUN	NOUN	_	26	nsubj:pass	_	TokenRange=114:124
24	financeiros	financeiro	ADJ	ADJ	_	23	amod	_	TokenRange=125:136
25	foram	_	AUX	AUX	_	26	aux:pass	_	TokenRange=137:142
26	presos	prender	VERB	VERB	_	9	conj	_	TokenRange=143:149
27-28	na	_	_	_	_	_	_	_	TokenRange=150:152
27	em	em	ADP	ADP	_	30	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	30	det	_	_
29	42	_	NUM	NUM	NumType=Card	30	nummod	_	TokenRange=153:155
30	fase	fase	NOUN	NOUN	_	26	nmod	_	TokenRange=156:160
31-32	da	_	_	_	_	_	_	_	TokenRange=161:163
31	de	de	ADP	ADP	_	33	case	_	_
32	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	33	det	_	_
33	operacao	operacao	NOUN	NOUN	_	30	nmod	_	TokenRange=164:172
34	eles	_	PRON	PRON	_	35	nsubj	_	TokenRange=173:177
35	prestaram	prestar	VERB	VERB	_	26	parataxis	_	TokenRange=178:187
36	depoimento	depoimento	NOUN	NOUN	_	35	obj	_	TokenRange=188:198
37	a	_	ADP	ADP	_	38	case	_	TokenRange=199:200
38	pf	_	NOUN	NOUN	_	35	iobj	_	TokenRange=201:203
39	nesta	_	ADP	ADP	_	40	case	_	TokenRange=204:209
40	segundafeira	_	NOUN	NOUN	_	35	nmod	_	TokenRange=210:222
41	31	_	NUM	NUM	NumType=Card	40	appos	_	TokenRange=223:225
42	o	o	DET	DET	_	43	det	_	TokenRange=226:227
43	expresidente	expresidente	NOUN	NOUN	_	35	nsubj	_	TokenRange=228:240
44-45	da	_	_	_	_	_	_	_	TokenRange=241:243
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	petrobras	petrobra	NOUN	NOUN	_	43	nmod	_	TokenRange=244:253
47	e	e	CCONJ	CONJ	_	50	cc	_	TokenRange=254:255
48-49	do	_	_	_	_	_	_	_	TokenRange=256:258
48	de	de	ADP	ADP	_	50	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	50	det	_	_
50	banco	banco	NOUN	NOUN	_	46	conj	_	TokenRange=259:264
51-52	do	_	_	_	_	_	_	_	TokenRange=265:267
51	de	de	ADP	ADP	_	53	case	_	_
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	brasil	brasil	NOUN	NOUN	_	50	nmod	_	TokenRange=268:274
54	aldemir	aldemir	VERB	VERB	_	43	appos	_	TokenRange=275:282
55	bendine	bendine	NOUN	NOUN	_	54	flat	_	TokenRange=283:290
56	que	_	PRON	PRON	_	79	nsubj	_	TokenRange=291:294
57	e	e	CCONJ	CONJ	_	58	cc	_	TokenRange=295:296
58	um	_	PRON	PRON	_	43	conj	_	TokenRange=297:299
59-60	dos	_	_	_	_	_	_	_	TokenRange=300:303
59	de	de	ADP	ADP	_	61	case	_	_
60	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	61	det	_	_
61	alvos	alvo	NOUN	NOUN	_	58	nmod	_	TokenRange=304:309
62-63	da	_	_	_	_	_	_	_	TokenRange=310:312
62	de	de	ADP	ADP	_	65	case	_	_
63	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	65	det	_	_
64	42	_	NUM	NUM	NumType=Card	65	nummod	_	TokenRange=313:315
65	fase	fase	NOUN	NOUN	_	61	nmod	_	TokenRange=316:320
66-67	da	_	_	_	_	_	_	_	TokenRange=321:323
66	de	de	ADP	ADP	_	68	case	_	_
67	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	68	det	_	_
68	lava	lava	NOUN	NOUN	_	65	nmod	_	TokenRange=324:328
69	jato	jato	NOUN	NOUN	_	68	flat	_	TokenRange=329:333
70	disse	dizer	VERB	VERB	_	7	parataxis	_	TokenRange=334:339
71	em	em	ADP	ADP	_	72	case	_	TokenRange=340:342
72	depoimento	depoimento	NOUN	NOUN	_	70	nmod	_	TokenRange=343:353
73	a	_	ADP	ADP	_	74	case	_	TokenRange=354:355
74	policia	policia	NOUN	NOUN	_	70	iobj	_	TokenRange=356:363
75	federal	federal	ADJ	ADJ	_	74	amod	_	TokenRange=364:371
76	pf	_	NOUN	NOUN	_	70	obj	_	TokenRange=372:374
77	que	que	CCONJ	CONJ	_	79	mark	_	TokenRange=375:378
78	se	_	PRON	PRON	_	79	expl:pv	_	TokenRange=379:381
