# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja principais trechos 2 depoimento lula moro expresidente interrogado juiz federal reu 2h10 nesta quartafeira 13 nesta acao mpf acusa lula receber apartamento terreno propina odebrecht expresidente luiz inacio lula silva depos nesta quartafeira 13 reu juiz sergio moro justica federal curitiba segunda vez nesta acao lula acusado mpf receber propina empreiteira odebrecht meio compra terreno nova sede instituto lula apartamento
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	principais	principal	ADJ	ADJ	_	3	amod	_	TokenRange=5:15
3	trechos	trecho	NOUN	NOUN	_	1	obj	_	TokenRange=16:23
4	2	_	NUM	NUM	NumType=Card	5	nummod	_	TokenRange=24:25
5	depoimento	depoimento	NOUN	NOUN	_	1	nsubj	_	TokenRange=26:36
6	lula	lula	NOUN	NOUN	_	5	appos	_	TokenRange=37:41
7	moro	moro	NOUN	NOUN	_	6	flat	_	TokenRange=42:46
8	expresidente	expresidente	NOUN	NOUN	_	5	amod	_	TokenRange=47:59
9	interrogado	interrogar	ADJ	ADJ	_	10	amod	_	TokenRange=60:71
10	juiz	juiz	NOUN	NOUN	_	5	appos	_	TokenRange=72:76
11	federal	federal	ADJ	ADJ	_	10	amod	_	TokenRange=77:84
12	reu	reu	NOUN	NOUN	_	10	appos	_	TokenRange=85:88
13	2h10	_	NUM	NUM	NumType=Card	12	appos	_	TokenRange=89:93
14	nesta	_	ADP	ADP	_	15	case	_	TokenRange=94:99
15	quartafeira	_	NOUN	NOUN	_	12	nmod	_	TokenRange=100:111
16	13	_	NUM	NUM	NumType=Card	15	appos	_	TokenRange=112:114
17	nesta	_	ADP	ADP	_	18	case	_	TokenRange=115:120
18	acao	acao	NOUN	NOUN	_	20	nmod	_	TokenRange=121:125
19	mpf	_	PROPN	NOUN	_	20	nsubj	_	TokenRange=126:129
20	acusa	acusar	VERB	VERB	_	1	parataxis	_	TokenRange=130:135
21	lula	_	NOUN	NOUN	_	20	obj	_	TokenRange=136:140
22	receber	receber	VERB	VERB	_	20	ccomp	_	TokenRange=141:148
23	apartamento	apartamento	NOUN	NOUN	_	22	obj	_	TokenRange=149:160
24	terreno	terreno	ADJ	ADJ	_	23	amod	_	TokenRange=161:168
25	propina	propina	NOUN	NOUN	_	23	appos	_	TokenRange=169:176
26	odebrecht	_	NOUN	NOUN	_	25	appos	_	TokenRange=177:186
27	expresidente	expresidente	NOUN	NOUN	_	25	appos	_	TokenRange=187:199
28	luiz	luiz	ADJ	ADJ	_	27	amod	_	TokenRange=200:204
29	inacio	_	NOUN	NOUN	_	28	flat	_	TokenRange=205:211
30	lula	_	NOUN	NOUN	_	28	flat	_	TokenRange=212:216
31	silva	silva	NOUN	NOUN	_	28	flat	_	TokenRange=217:222
32	depos	depo	VERB	VERB	_	20	conj	_	TokenRange=223:228
33	nesta	_	ADP	ADP	_	34	case	_	TokenRange=229:234
34	quartafeira	_	NOUN	NOUN	_	32	nmod	_	TokenRange=235:246
35	13	_	NUM	NUM	NumType=Card	34	appos	_	TokenRange=247:249
36	reu	_	AUX	AUX	_	37	cop	_	TokenRange=250:253
37	juiz	juiz	NOUN	NOUN	_	32	parataxis	_	TokenRange=254:258
38	sergio	_	NOUN	NOUN	_	37	appos	_	TokenRange=259:265
39	moro	moro	NOUN	NOUN	_	37	flat	_	TokenRange=266:270
40	justica	_	NOUN	NOUN	_	37	appos	_	TokenRange=271:278
41	federal	federal	ADJ	ADJ	_	40	amod	_	TokenRange=279:286
42	curitiba	curitiba	NOUN	NOUN	_	40	appos	_	TokenRange=287:295
43	segunda	segundo	ADJ	ADJ	_	44	amod	_	TokenRange=296:303
44	vez	vez	NOUN	NOUN	_	37	nmod	_	TokenRange=304:307
45	nesta	_	ADP	ADP	_	46	case	_	TokenRange=308:313
46	acao	acao	NOUN	NOUN	_	48	nmod	_	TokenRange=314:318
47	lula	lula	NOUN	NOUN	_	48	nsubj	_	TokenRange=319:323
48	acusado	acusar	VERB	VERB	_	44	acl	_	TokenRange=324:331
49	mpf	_	NOUN	PNOUN	_	50	obj	_	TokenRange=332:335
50	receber	receber	VERB	VERB	_	48	xcomp	_	TokenRange=336:343
51	propina	propina	NOUN	NOUN	_	50	obj	_	TokenRange=344:351
52	empreiteira	empreiteiro	ADJ	ADJ	_	51	amod	_	TokenRange=352:363
53	odebrecht	odebrecht	NOUN	NOUN	_	55	nsubj	_	TokenRange=364:373
54	meio	meio	ADJ	NOUN	_	55	amod	_	TokenRange=374:378
55	compra	comprar	VERB	VERB	_	50	parataxis	_	TokenRange=379:385
56	terreno	terreno	NOUN	NOUN	_	55	obj	_	TokenRange=386:393
57	nova	novo	ADJ	ADJ	_	58	amod	_	TokenRange=394:398
58	sede	sede	NOUN	NOUN	_	55	obj	_	TokenRange=399:403
59	instituto	instituto	NOUN	NOUN	_	55	appos	_	TokenRange=404:413
60	lula	lula	ADJ	ADJ	_	61	amod	_	TokenRange=414:418
61	apartamento	apartamento	NOUN	NOUN	_	55	obj	_	SpaceAfter=No|TokenRange=419:430

