# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao vivo caminhao invade mercado mata 9 pessoas e fere dezenas na alemanha ha indicios de ataque nove pessoas morreram e dezenas ficaram feridas apos um caminhao avancar contra a multidao em berlim alemanha de acordo com informacoes da policia local o incidente ocorreu no centro da capital proximo da igreja memorial kaiser wilhelm segundo investigacoes preliminares ha indicios de um possivel ataque o caminhao atravessou a cerca e se jogou em cima das pessoas que se encontravam no mercado o jornal alemao die welt informou que o pais ja estava em alerta devido a ameacas feitas durante as festas natalinas
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
1	a	a	ADP	ADP	_	4	case	_	_
2	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
3	vivo	vivo	ADJ	ADJ	_	4	amod	_	TokenRange=3:7
4	caminhao	caminhao	NOUN	NOUN	_	5	nsubj	_	TokenRange=8:16
5	invade	invadir	VERB	VERB	_	7	advcl	_	TokenRange=17:23
6	mercado	mercado	NOUN	NOUN	_	5	obj	_	TokenRange=24:31
7	mata	matar	VERB	VERB	_	0	root	_	TokenRange=32:36
8	9	_	NUM	NUM	NumType=Card	9	nummod	_	TokenRange=37:38
9	pessoas	pessoa	NOUN	NOUN	_	7	obj	_	TokenRange=39:46
10	e	e	CCONJ	CONJ	_	11	cc	_	TokenRange=47:48
11	fere	ferir	VERB	VERB	_	7	conj	_	TokenRange=49:53
12	dezenas	dezena	NOUN	NOUN	_	11	obj	_	TokenRange=54:61
13-14	na	_	_	_	_	_	_	_	TokenRange=62:64
13	em	em	ADP	ADP	_	15	case	_	_
14	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	15	det	_	_
15	alemanha	alemanha	NOUN	NOUN	_	11	nmod	_	TokenRange=65:73
16	ha	_	VERB	VERB	_	7	conj	_	TokenRange=74:76
17	indicios	indicio	NOUN	NOUN	_	22	nsubj	_	TokenRange=77:85
18	de	de	ADP	ADP	_	19	case	_	TokenRange=86:88
19	ataque	ataque	NOUN	NOUN	_	17	nmod	_	TokenRange=89:95
20	nove	_	NUM	NUM	NumType=Card	21	nummod	_	TokenRange=96:100
21	pessoas	pessoa	NOUN	NOUN	_	22	nsubj	_	TokenRange=101:108
22	morreram	morrer	VERB	VERB	_	7	conj	_	TokenRange=109:117
23	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=118:119
24	dezenas	dezena	NOUN	NOUN	_	25	nsubj	_	TokenRange=120:127
25	ficaram	ficar	VERB	VERB	_	22	conj	_	TokenRange=128:135
26	feridas	ferido	ADJ	ADJ	_	25	xcomp	_	TokenRange=136:143
27	apos	_	ADP	ADP	_	30	mark	_	TokenRange=144:148
28	um	um	DET	DET	_	29	det	_	TokenRange=149:151
29	caminhao	caminhao	NOUN	NOUN	_	30	nsubj	_	TokenRange=152:160
30	avancar	avancar	VERB	VERB	_	25	advcl	_	TokenRange=161:168
31	contra	_	ADP	ADP	_	33	case	_	TokenRange=169:175
32	a	o	DET	DET	_	33	det	_	TokenRange=176:177
33	multidao	multidao	NOUN	NOUN	_	30	nmod	_	TokenRange=178:186
34	em	em	ADP	ADP	_	35	case	_	TokenRange=187:189
35	berlim	berlim	NOUN	NOUN	_	30	nmod	_	TokenRange=190:196
36	alemanha	alemanha	NOUN	NOUN	_	30	obj	_	TokenRange=197:205
37	de	de	ADP	ADP	_	38	case	_	TokenRange=206:208
38	acordo	acordo	NOUN	NOUN	_	47	nmod	_	TokenRange=209:215
39	com	com	ADP	ADP	_	40	case	_	TokenRange=216:219
40	informacoes	informacoe	NOUN	NOUN	_	38	nmod	_	TokenRange=220:231
41-42	da	_	_	_	_	_	_	_	TokenRange=232:234
41	de	de	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	policia	policia	NOUN	NOUN	_	40	nmod	_	TokenRange=235:242
44	local	local	ADJ	ADJ	_	43	amod	_	TokenRange=243:248
45	o	o	DET	DET	_	46	det	_	TokenRange=249:250
46	incidente	incidente	NOUN	NOUN	_	47	nsubj	_	TokenRange=251:260
47	ocorreu	ocorrer	VERB	VERB	_	22	parataxis	_	TokenRange=261:268
48-49	no	_	_	_	_	_	_	_	TokenRange=269:271
48	em	em	ADP	ADP	_	50	case	_	_
49	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	50	det	_	_
50	centro	centro	NOUN	NOUN	_	47	nmod	_	TokenRange=272:278
51-52	da	_	_	_	_	_	_	_	TokenRange=279:281
51	de	de	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	capital	capital	NOUN	NOUN	_	50	nmod	_	TokenRange=282:289
54	proximo	proximo	ADV	ADV	_	47	advmod	_	TokenRange=290:297
55-56	da	_	_	_	_	_	_	_	TokenRange=298:300
55	de	de	ADP	ADP	_	57	case	_	_
56	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	57	det	_	_
57	igreja	igreja	NOUN	NOUN	_	54	nmod	_	TokenRange=301:307
58	memorial	memorial	ADJ	ADJ	_	57	amod	_	TokenRange=308:316
59	kaiser	kaiser	NOUN	NOUN	_	57	appos	_	TokenRange=317:323
60	wilhelm	_	NOUN	NOUN	_	59	flat	_	TokenRange=324:331
61	segundo	_	ADP	ADP	_	62	case	_	TokenRange=332:339
62	investigacoes	investigacoe	NOUN	NOUN	_	47	nmod	_	TokenRange=340:353
63	preliminares	preliminar	ADJ	ADJ	_	62	amod	_	TokenRange=354:366
64	ha	_	VERB	VERB	_	47	advcl	_	TokenRange=367:369
65	indicios	indicio	NOUN	NOUN	_	47	obj	_	TokenRange=370:378
66	de	de	ADP	ADP	_	69	case	_	TokenRange=379:381
67	um	um	DET	DET	_	69	det	_	TokenRange=382:384
68	possivel	possivel	ADJ	ADJ	_	69	amod	_	TokenRange=385:393
69	ataque	ataque	NOUN	NOUN	_	65	nmod	_	TokenRange=394:400
70	o	o	DET	DET	_	71	det	_	TokenRange=401:402
71	caminhao	caminhao	NOUN	NOUN	_	72	nsubj	_	TokenRange=403:411
72	atravessou	atravessar	VERB	VERB	_	65	acl:relcl	_	TokenRange=412:422
73	a	o	DET	DET	_	74	det	_	TokenRange=423:424
74	cerca	cerca	NOUN	NOUN	_	72	obj	_	TokenRange=425:430
75	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=431:432
76	se	_	PRON	PRON	_	77	obj	_	TokenRange=433:435
77	jogou	jogar	VERB	VERB	_	72	conj	_	TokenRange=436:441
