# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos convocado depor cpi lei rouanet ator comunista zomba pf recebe resposta pessoas convocada prestar esclarecimentos sobre uso lei rouanet ator militante chato pt jose abreu site diario poder reportagem publicada ontem 19 informou cuspidor oficial pt podera ver oficiais pf porta qualquer momento materia diz abreu podera conduzido policia va depor cpi ator chegou zombar sobre convocacao internet dizendo necessario enviar passagem aerea brasilia paris acordo ator residencia oficial fica agora cidade luz paris entrevista deputado federal sostenes cavalcante demrj disse necessario mandaremos buscalo jatinho policia federal sostenes pediu camara convocar ator questionalo sobre r 299 mil arrecadados lei incentivo acordo relatorio deputado abreu cumprido parte contrato ministerio cultura valores sido usados espetaculo itinerante fala ze agora prestacao contas enviada deputado ainda ironico fato abreu cuspido casal talvez possa interrogalo guardachuva gosta cuspir outros ironizou
1	apos	_	CCONJ	CONJ	_	2	mark	_	TokenRange=0:4
2	convocado	convocar	VERB	VERB	_	11	advcl	_	TokenRange=5:14
3	depor	depor	VERB	VERB	_	2	mark	_	TokenRange=15:20
4	cpi	cpi	NOUN	NOUN	_	2	obj	_	TokenRange=21:24
5	lei	lei	NOUN	NOUN	_	2	nsubj	_	TokenRange=25:28
6	rouanet	_	ADJ	NOUN	_	5	amod	_	TokenRange=29:36
7	ator	ator	NOUN	NOUN	_	5	appos	_	TokenRange=37:41
8	comunista	comunista	ADJ	ADJ	_	7	amod	_	TokenRange=42:51
9	zomba	zomba	NOUN	NOUN	_	7	appos	_	TokenRange=52:57
10	pf	_	NOUN	NOUN	_	9	flat	_	TokenRange=58:60
11	recebe	receber	VERB	VERB	_	0	root	_	TokenRange=61:67
12	resposta	resposta	NOUN	NOUN	_	11	obj	_	TokenRange=68:76
13	pessoas	pessoa	NOUN	NOUN	_	11	nsubj	_	TokenRange=77:84
14	convocada	convocar	VERB	VERB	_	13	acl	_	TokenRange=85:94
15	prestar	prestar	VERB	VERB	_	14	xcomp	_	TokenRange=95:102
16	esclarecimentos	esclarecimento	NOUN	NOUN	_	15	obj	_	TokenRange=103:118
17	sobre	_	ADP	ADP	_	18	case	_	TokenRange=119:124
18	uso	uso	NOUN	NOUN	_	16	nmod	_	TokenRange=125:128
19	lei	lei	NOUN	NOUN	_	18	flat	_	TokenRange=129:132
20	rouanet	_	NOUN	NOUN	_	18	amod	_	TokenRange=133:140
21	ator	ator	NOUN	NOUN	_	18	appos	_	TokenRange=141:145
22	militante	militante	ADJ	ADJ	_	21	amod	_	TokenRange=146:155
23	chato	chato	ADJ	NOUN	_	21	amod	_	TokenRange=156:161
24	pt	_	NOUN	NOUN	_	21	appos	_	TokenRange=162:164
25	jose	_	NOUN	NOUN	_	21	appos	_	TokenRange=165:169
26	abreu	_	ADJ	ADJ	_	25	flat	_	TokenRange=170:175
27	site	site	NOUN	NOUN	_	21	appos	_	TokenRange=176:180
28	diario	diario	ADJ	NOUN	_	27	amod	_	TokenRange=181:187
29	poder	poder	NOUN	NOUN	_	27	amod	_	TokenRange=188:193
30	reportagem	reportagem	NOUN	NOUN	_	27	appos	_	TokenRange=194:204
31	publicada	publicar	VERB	VERB	_	30	acl	_	TokenRange=205:214
32	ontem	ontem	ADV	ADV	_	31	advmod	_	TokenRange=215:220
33	19	_	NUM	NUM	NumType=Card	32	nmod	_	TokenRange=221:223
34	informou	informar	VERB	VERB	_	11	parataxis	_	TokenRange=224:232
35	cuspidor	cuspidor	NOUN	NOUN	_	34	obj	_	TokenRange=233:241
36	oficial	oficial	ADJ	ADJ	_	35	amod	_	TokenRange=242:249
37	pt	_	PROPN	PNOUN	_	39	nsubj	_	TokenRange=250:252
38	podera	_	AUX	AUX	_	39	aux	_	TokenRange=253:259
39	ver	ver	VERB	VERB	_	35	acl:relcl	_	TokenRange=260:263
40	oficiais	oficial	NOUN	NOUN	_	39	obj	_	TokenRange=264:272
41	pf	_	NOUN	NOUN	_	40	flat	_	TokenRange=273:275
42	porta	portar	VERB	VERB	_	39	parataxis	_	TokenRange=276:281
43	qualquer	_	DET	DET	_	44	det	_	TokenRange=282:290
44	momento	momento	NOUN	NOUN	_	42	obj	_	TokenRange=291:298
45	materia	materia	NOUN	NOUN	_	46	nsubj	_	TokenRange=299:306
46	diz	dizer	VERB	VERB	_	34	parataxis	_	TokenRange=307:310
47	abreu	abreu	NOUN	NOUN	_	133	nsubj	_	TokenRange=311:316
48	podera	_	AUX	AUX	_	49	aux	_	TokenRange=317:323
49	conduzido	conduzir	VERB	VERB	_	46	ccomp	_	TokenRange=324:333
50	policia	policia	NOUN	NOUN	_	49	nsubj	_	TokenRange=334:341
51	va	_	AUX	AUX	_	136	aux	_	TokenRange=342:344
52	depor	depor	VERB	VERB	_	34	ccomp	_	TokenRange=345:350
53	cpi	cpi	NOUN	NOUN	_	55	nsubj	_	TokenRange=351:354
54	ator	ator	NOUN	NOUN	_	55	nsubj	_	TokenRange=355:359
55	chegou	chegar	VERB	VERB	_	52	ccomp	_	TokenRange=360:366
56	zombar	zombar	VERB	VERB	_	55	xcomp	_	TokenRange=367:373
57	sobre	_	ADP	ADP	_	58	case	_	TokenRange=374:379
58	convocacao	convocacao	NOUN	NOUN	_	56	nmod	_	TokenRange=380:390
59	internet	_	PROPN	PNOUN	_	58	appos	_	TokenRange=391:399
60	dizendo	dizer	VERB	VERB	_	55	acl	_	TokenRange=400:407
61	necessario	necessario	ADJ	ADJ	_	60	xcomp	_	TokenRange=408:418
62	enviar	enviar	VERB	VERB	_	60	ccomp	_	TokenRange=419:425
