# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja os principais trechos do julgamento de lula no trf4 em porto alegre primeiro desembargador pedro gebran neto vota no caso do triplex do guaruja e aumenta pena do expresidente para 12 anos e 1 mes de prisao revisor do caso acompanha voto na integra o desembargador pedro gebran neto relator da lava jato no tribunal regional federal da 4 regiao em porto alegre deu na manha desta quartafeira 24 o primeiro voto no julgamento do expresidente luiz inacio lula da silva no caso do triplex do guaruja no qual considerou
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	os	o	DET	DET	_	4	det	_	TokenRange=5:7
3	principais	principal	ADJ	ADJ	_	4	amod	_	TokenRange=8:18
4	trechos	trecho	NOUN	NOUN	_	1	obj	_	TokenRange=19:26
5-6	do	_	_	_	_	_	_	_	TokenRange=27:29
5	de	de	ADP	ADP	_	7	case	_	_
6	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	7	det	_	_
7	julgamento	julgamento	NOUN	NOUN	_	4	nmod	_	TokenRange=30:40
8	de	de	ADP	ADP	_	9	case	_	TokenRange=41:43
9	lula	lula	NOUN	NOUN	_	7	nmod	_	TokenRange=44:48
10-11	no	_	_	_	_	_	_	_	TokenRange=49:51
10	em	em	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	trf4	_	NOUN	NOUN	_	7	nmod	_	TokenRange=52:56
13	em	em	ADP	ADP	_	14	case	_	TokenRange=57:59
14	porto	_	PROPN	PNOUN	_	1	nmod	_	TokenRange=60:65
15	alegre	alegre	ADJ	ADJ	_	14	amod	_	TokenRange=66:72
16	primeiro	primeiro	ADJ	ADJ	_	17	amod	_	TokenRange=73:81
17	desembargador	desembargador	NOUN	NOUN	_	21	nsubj	_	TokenRange=82:95
18	pedro	pedro	NOUN	NOUN	_	17	appos	_	TokenRange=96:101
19	gebran	_	NOUN	NOUN	_	17	appos	_	TokenRange=102:108
20	neto	neto	ADJ	ADJ	_	18	amod	_	TokenRange=109:113
21	vota	votar	VERB	VERB	_	1	parataxis	_	TokenRange=114:118
22-23	no	_	_	_	_	_	_	_	TokenRange=119:121
22	em	em	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
