# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = relembre polemicas envolvendo as passagens de geddel pelo governo alvo de investigacao da policia federal peemedebista ocupou cargos nos governos de michel temer dilma rousseff e luiz inacio lula da silva alvo da operacao da policia federal que investigou fraudes na caixa economica federal o expresidente do pmdbba geddel vieira lima tambem se envolveu em episodios polemicos enquanto ocupava cargos nos governos de michel temer dilma rousseff e luiz inacio lula da silva conhecido pelas declaracoes polemicas geddel foi ministro da secretaria de governo na gestao de temer entre maio e novembro do ano passado no governo dilma foi vicepresidente de pessoa juridica da caixa economica entre 2011 e 2013 e na gestao de lula ministro da integracao nacional de 2007 a 2010 nesta sexta 13 a policia federal cumpriu mandados de busca e apreensao em um imovel de geddel
1	relembre	relembre	NOUN	NOUN	_	62	parataxis	_	TokenRange=0:8
2	polemicas	polemico	NOUN	ADJ	_	1	amod	_	TokenRange=9:18
3	envolvendo	envolver	VERB	VERB	_	1	acl	_	TokenRange=19:29
4	as	o	DET	DET	_	5	det	_	TokenRange=30:32
5	passagens	passagem	NOUN	NOUN	_	3	obj	_	TokenRange=33:42
6	de	de	ADP	ADP	_	7	case	_	TokenRange=43:45
7	geddel	_	NOUN	NOUN	_	5	nmod	_	TokenRange=46:52
8-9	pelo	_	_	_	_	_	_	_	TokenRange=53:57
8	por	por	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	governo	governo	NOUN	NOUN	_	5	nmod	_	TokenRange=58:65
11	alvo	alvo	NOUN	NOUN	_	19	nsubj	_	TokenRange=66:70
12	de	de	ADP	ADP	_	13	case	_	TokenRange=71:73
13	investigacao	investigacao	NOUN	NOUN	_	11	nmod	_	TokenRange=74:86
14-15	da	_	_	_	_	_	_	_	TokenRange=87:89
14	de	de	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	policia	policia	NOUN	NOUN	_	13	nmod	_	TokenRange=90:97
17	federal	federal	ADJ	ADJ	_	16	amod	_	TokenRange=98:105
18	peemedebista	_	NOUN	NOUN	_	19	nsubj	_	TokenRange=106:118
19	ocupou	ocupar	VERB	VERB	_	62	parataxis	_	TokenRange=119:125
20	cargos	cargo	NOUN	NOUN	_	19	obj	_	TokenRange=126:132
21-22	nos	_	_	_	_	_	_	_	TokenRange=133:136
21	em	em	ADP	ADP	_	23	case	_	_
22	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	23	det	_	_
23	governos	governo	NOUN	NOUN	_	19	nmod	_	TokenRange=137:145
24	de	de	ADP	ADP	_	26	case	_	TokenRange=146:148
25	michel	_	DET	DET	_	26	det	_	TokenRange=149:155
26	temer	temer	NOUN	NOUN	_	23	nmod	_	TokenRange=156:161
27	dilma	dilma	NOUN	NOUN	_	26	appos	_	TokenRange=162:167
28	rousseff	rousseff	NOUN	NOUN	_	27	flat	_	TokenRange=168:176
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=177:178
