# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja detalhes da operacao que encontrou digitais de geddel em dinheiro apontado pela pgr como propina exministro e mais 5 pessoas foram denunciados no caso dos r 51 milhoes encontrados em apartamento na bahia eles sao acusados de lavagem de dinheiro e associacao criminosa considerada pela policia federal como a maior apreensao de dinheiro vivo na historia do brasil a operacao que encontrou r 51 milhoes em um apartamento em salvador levou a cadeia o exministro geddel vieira lima pmdbba o fantastico teve acesso a investigacao da pf que rastreou quem colocou a mao nesse dinheiro e conseguiu identificar a impressao digital de geddel e de dois exassessores do peemedebista antes de ser preso em setembro suspeito de ser o dono do dinheiro encontrado no apartamento geddel ja havia sido detido pela policia federal no dia 3 de julho por suspeita de atrapalhar investigacoes da operacao cui bono que apurava desvios na caixa na epoca em que ele era vicepresidente de pessoa
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	detalhes	detalhe	NOUN	NOUN	_	1	obj	_	TokenRange=5:13
3-4	da	_	_	_	_	_	_	_	TokenRange=14:16
3	de	de	ADP	ADP	_	5	case	_	_
4	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	5	det	_	_
5	operacao	operacao	NOUN	NOUN	_	2	nmod	_	TokenRange=17:25
6	que	_	PRON	PRON	_	7	nsubj	_	TokenRange=26:29
7	encontrou	encontrar	VERB	VERB	_	5	acl:relcl	_	TokenRange=30:39
8	digitais	digital	NOUN	NOUN	_	7	obj	_	TokenRange=40:48
9	de	de	ADP	ADP	_	10	case	_	TokenRange=49:51
10	geddel	_	NOUN	NOUN	_	8	nmod	_	TokenRange=52:58
11	em	em	ADP	ADP	_	12	case	_	TokenRange=59:61
12	dinheiro	dinheiro	NOUN	NOUN	_	7	nmod	_	TokenRange=62:70
13	apontado	apontar	VERB	VERB	_	5	acl	_	TokenRange=71:79
14-15	pela	_	_	_	_	_	_	_	TokenRange=80:84
14	por	por	ADP	ADP	_	16	case	_	_
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	pgr	_	NOUN	NOUN	_	13	nmod	_	TokenRange=85:88
17	como	como	ADP	ADP	_	18	case	_	TokenRange=89:93
18	propina	propina	NOUN	NOUN	_	13	nmod	_	TokenRange=94:101
19	exministro	exministro	NOUN	NOUN	_	18	flat	_	TokenRange=102:112
20	e	e	CCONJ	CONJ	_	25	cc	_	TokenRange=113:114
21	mais	mais	ADV	ADV	_	22	advmod	_	TokenRange=115:119
22	5	_	NUM	NUM	NumType=Card	23	nummod	_	TokenRange=120:121
23	pessoas	pessoa	NOUN	NOUN	_	25	nsubj:pass	_	TokenRange=122:129
24	foram	_	AUX	AUX	_	25	aux:pass	_	TokenRange=130:135
25	denunciados	denunciar	VERB	VERB	_	1	conj	_	TokenRange=136:147
26-27	no	_	_	_	_	_	_	_	TokenRange=148:150
26	em	em	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	caso	caso	NOUN	NOUN	_	25	nmod	_	TokenRange=151:155
29-30	dos	_	_	_	_	_	_	_	TokenRange=156:159
29	de	de	ADP	ADP	_	31	case	_	_
30	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	31	det	_	_
31	r	r	NOUN	NOUN	_	28	nmod	_	TokenRange=160:161
32	51	_	NUM	NUM	NumType=Card	33	nummod	_	TokenRange=162:164
33	milhoes	_	NUM	NUM	NumType=Card	31	appos	_	TokenRange=165:172
34	encontrados	encontrar	VERB	VERB	_	31	acl	_	TokenRange=173:184
35	em	em	ADP	ADP	_	36	case	_	TokenRange=185:187
36	apartamento	apartamento	NOUN	NOUN	_	34	nmod	_	TokenRange=188:199
37-38	na	_	_	_	_	_	_	_	TokenRange=200:202
37	em	em	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	bahia	bahia	NOUN	NOUN	_	36	nmod	_	TokenRange=203:208
40	eles	_	PRON	PRON	_	42	nsubj:pass	_	TokenRange=209:213
41	sao	ser	AUX	AUX	_	42	aux:pass	_	TokenRange=214:217
42	acusados	acusar	VERB	VERB	_	1	parataxis	_	TokenRange=218:226
43	de	de	ADP	ADP	_	44	case	_	TokenRange=227:229
44	lavagem	lavagem	NOUN	NOUN	_	42	nmod	_	TokenRange=230:237
45	de	de	ADP	ADP	_	46	case	_	TokenRange=238:240
46	dinheiro	dinheiro	NOUN	NOUN	_	44	nmod	_	TokenRange=241:249
47	e	e	CCONJ	CONJ	_	48	cc	_	TokenRange=250:251
48	associacao	associacao	NOUN	NOUN	_	42	conj	_	TokenRange=252:262
49	criminosa	criminoso	ADJ	ADJ	_	48	amod	_	TokenRange=263:272
50	considerada	considerar	VERB	VERB	_	48	acl	_	TokenRange=273:284
51-52	pela	_	_	_	_	_	_	_	TokenRange=285:289
51	por	por	ADP	ADP	_	53	case	_	_
52	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	53	det	_	_
53	policia	policia	NOUN	NOUN	_	50	nmod	_	TokenRange=290:297
54	federal	federal	ADJ	ADJ	_	53	amod	_	TokenRange=298:305
55	como	como	ADP	ADP	_	58	case	_	TokenRange=306:310
56	a	o	DET	DET	_	58	det	_	TokenRange=311:312
57	maior	maior	ADJ	ADJ	_	58	amod	_	TokenRange=313:318
58	apreensao	apreensao	NOUN	NOUN	_	50	nmod	_	TokenRange=319:328
59	de	de	ADP	ADP	_	60	case	_	TokenRange=329:331
60	dinheiro	dinheiro	NOUN	NOUN	_	58	nmod	_	TokenRange=332:340
61	vivo	vivo	ADJ	ADJ	_	60	amod	_	TokenRange=341:345
62-63	na	_	_	_	_	_	_	_	TokenRange=346:348
62	em	em	ADP	ADP	_	64	case	_	_
63	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	64	det	_	_
64	historia	historia	NOUN	NOUN	_	50	nmod	_	TokenRange=349:357
65-66	do	_	_	_	_	_	_	_	TokenRange=358:360
65	de	de	ADP	ADP	_	67	case	_	_
66	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	67	det	_	_
67	brasil	brasil	NOUN	NOUN	_	64	nmod	_	TokenRange=361:367
68	a	o	DET	DET	_	69	det	_	TokenRange=368:369
69	operacao	operacao	NOUN	NOUN	_	143	nsubj:pass	_	TokenRange=370:378
70	que	_	PRON	PRON	_	71	nsubj	_	TokenRange=379:382
71	encontrou	encontrar	VERB	VERB	_	69	acl:relcl	_	TokenRange=383:392
72	r	r	NOUN	NOUN	_	71	obj	_	TokenRange=393:394
73	51	_	NUM	NUM	NumType=Card	74	nummod	_	TokenRange=395:397
74	milhoes	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=398:405
75	em	em	ADP	ADP	_	77	case	_	TokenRange=406:408
76	um	um	DET	DET	_	77	det	_	TokenRange=409:411
77	apartamento	apartamento	NOUN	NOUN	_	71	nmod	_	TokenRange=412:423
78	em	em	ADP	ADP	_	79	case	_	TokenRange=424:426
79	salvador	salvador	NOUN	NOUN	_	77	nmod	_	TokenRange=427:435
80	levou	levar	VERB	VERB	_	50	parataxis	_	TokenRange=436:441
81	a	_	ADP	ADP	_	82	case	_	TokenRange=442:443
82	cadeia	cadeia	NOUN	NOUN	_	80	nmod	_	TokenRange=444:450
83	o	o	DET	DET	_	84	det	_	TokenRange=451:452
84	exministro	exministro	NOUN	NOUN	_	80	obj	_	TokenRange=453:463
85	geddel	_	NOUN	NOUN	_	84	appos	_	TokenRange=464:470
86	vieira	vieira	NOUN	NOUN	_	85	flat	_	TokenRange=471:477
87	lima	lima	ADJ	ADJ	_	85	flat	_	TokenRange=478:482
88	pmdbba	_	PROPN	PNOUN	_	84	appos	_	TokenRange=483:489
89	o	o	DET	DET	_	90	det	_	TokenRange=490:491
90	fantastico	fantastico	NOUN	NOUN	_	91	nsubj	_	TokenRange=492:502
