# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = saiba porque a odebrecht esta comemorando o sigilo das delacoes a odebrecht comemorou a noticia de que a homologacao das delacoes de seus 77 executivos pelo stf supremo tribunal federal nao foi acompanhada da retirada do sigilo dos depoimentos prestados a pgr procuradoriageral da republica e a forcatarefa de curitiba a medida que garante validade juridica ao acordo foi assinada pela ministra carmen lucia presidente do supremo na manha desta segunda 30 segundo a folha apurou a empresa ainda se sente muito fragilizada com a divulgacao de pagamentos de propina em 12 paises incluindo o brasil que tem atrapalhado a venda de ativos e a recuperacao financeira da empreiteira todos os paises em que a empresa possui obras esta investigando as praticas comerciais dos executivos da odebrecht o peru ja expulsou a empresa e tal fato pode voltar a acontecer em outros paises nos proximos meses proteger o sigilo ajuda a abafar o escandalo internacional e da a empresa a esperanca de comecar de novo parte dos funcionarios que fecharam delacao premiada no ano passado porem acompanha os desdobramentos com apreensao pois se prepara para cumprir as penas que foram estipuladas na negociacao do acordo o que segundo a folha apurou deve ocorrer em ate dois meses o expresidente da empreiteira marcelo odebrecht por exemplo foi condenado a dez anos de prisao dois e meio deles em regime fechado o cumprimento dessas penas tera que passar pelo crivo dos juizes de execucao que serao determinados pelo stf o conteudo das delacoes da odebrecht e tao explosivo que pode gerar mais um impeachment na presidencia e pelo menos mais tres de governadores alem de suas imediatas prisoes
1	saiba	saber	VERB	VERB	_	0	root	_	TokenRange=0:5
2	porque	_	CCONJ	CONJ	_	6	mark	_	TokenRange=6:12
3	a	o	DET	DET	_	4	det	_	TokenRange=13:14
4	odebrecht	_	NOUN	NOUN	_	6	nsubj	_	TokenRange=15:24
5	esta	_	AUX	AUX	_	6	aux	_	TokenRange=25:29
6	comemorando	comemorar	VERB	VERB	_	1	advcl	_	TokenRange=30:41
7	o	o	DET	DET	_	8	det	_	TokenRange=42:43
8	sigilo	sigilo	NOUN	NOUN	_	6	obj	_	TokenRange=44:50
9-10	das	_	_	_	_	_	_	_	TokenRange=51:54
9	de	de	ADP	ADP	_	11	case	_	_
10	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	11	det	_	_
11	delacoes	delacoe	NOUN	NOUN	_	8	nmod	_	TokenRange=55:63
12	a	o	DET	DET	_	13	det	_	TokenRange=64:65
13	odebrecht	_	NOUN	NOUN	_	14	nsubj	_	TokenRange=66:75
14	comemorou	comemorar	VERB	VERB	_	1	parataxis	_	TokenRange=76:85
15	a	o	DET	DET	_	16	det	_	TokenRange=86:87
16	noticia	noticia	NOUN	NOUN	_	14	obj	_	TokenRange=88:95
17	de	_	ADP	ADP	_	36	mark	_	TokenRange=96:98
18	que	que	CCONJ	CONJ	_	36	mark	_	TokenRange=99:102
19	a	o	DET	DET	_	20	det	_	TokenRange=103:104
20	homologacao	homologacao	NOUN	NOUN	_	36	nsubj:pass	_	TokenRange=105:116
21-22	das	_	_	_	_	_	_	_	TokenRange=117:120
21	de	de	ADP	ADP	_	23	case	_	_
22	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	23	det	_	_
23	delacoes	delacoe	NOUN	NOUN	_	20	nmod	_	TokenRange=121:129
24	de	de	ADP	ADP	_	27	case	_	TokenRange=130:132
25	seus	_	DET	DET	_	27	det:poss	_	TokenRange=133:137
26	77	_	NUM	NUM	NumType=Card	27	nummod	_	TokenRange=138:140
27	executivos	executivo	NOUN	NOUN	_	23	nmod	_	TokenRange=141:151
28-29	pelo	_	_	_	_	_	_	_	TokenRange=152:156
28	por	por	ADP	ADP	_	30	case	_	_
29	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	30	det	_	_
30	stf	_	NOUN	NOUN	_	23	nmod	_	TokenRange=157:160
31	supremo	supremo	ADJ	ADJ	_	32	amod	_	TokenRange=161:168
32	tribunal	tribunal	NOUN	NOUN	_	6	obj	_	TokenRange=169:177
33	federal	federal	ADJ	ADJ	_	32	amod	_	TokenRange=178:185
34	nao	nao	ADV	ADV	Polarity=Neg	36	advmod	_	TokenRange=186:189
35	foi	_	AUX	AUX	_	36	aux:pass	_	TokenRange=190:193
36	acompanhada	acompanhar	VERB	VERB	_	16	nmod	_	TokenRange=194:205
37-38	da	_	_	_	_	_	_	_	TokenRange=206:208
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	retirada	_	NOUN	NOUN	_	36	nmod	_	TokenRange=209:217
40-41	do	_	_	_	_	_	_	_	TokenRange=218:220
40	de	de	ADP	ADP	_	42	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
42	sigilo	sigilo	NOUN	NOUN	_	39	nmod	_	TokenRange=221:227
43-44	dos	_	_	_	_	_	_	_	TokenRange=228:231
43	de	de	ADP	ADP	_	45	case	_	_
44	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	45	det	_	_
45	depoimentos	depoimento	NOUN	NOUN	_	39	nmod	_	TokenRange=232:243
46	prestados	prestar	VERB	VERB	_	45	acl	_	TokenRange=244:253
47	a	_	ADP	ADP	_	48	case	_	TokenRange=254:255
48	pgr	pgr	NOUN	NOUN	_	46	nmod	_	TokenRange=256:259
49	procuradoriageral	procuradoriageral	ADJ	ADJ	_	48	amod	_	TokenRange=260:277
50-51	da	_	_	_	_	_	_	_	TokenRange=278:280
50	de	de	ADP	ADP	_	52	case	_	_
51	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
52	republica	_	NOUN	NOUN	_	48	nmod	_	TokenRange=281:290
53	e	e	CCONJ	CONJ	_	55	cc	_	TokenRange=291:292
54	a	o	DET	DET	_	55	det	_	TokenRange=293:294
55	forcatarefa	forcatarefa	NOUN	NOUN	_	48	conj	_	TokenRange=295:306
56	de	de	ADP	ADP	_	57	case	_	TokenRange=307:309
57	curitiba	curitiba	NOUN	NOUN	_	55	nmod	_	TokenRange=310:318
58	a	_	DET	DET	_	61	mark	_	TokenRange=319:320
59	medida	medida	NOUN	NOUN	_	58	fixed	_	TokenRange=321:327
60	que	_	PRON	PRON	_	58	fixed	_	TokenRange=328:331
61	garante	garantir	VERB	VERB	_	68	advcl	_	TokenRange=332:339
