# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = combater a corrupcao requer um trabalho de inteligencia com uso de ferramentas como delacao premiada e quebra de sigilo fiscal e telefonico isso porque a corrupcao e feita as escondidas mediante pacto de sigilo conforme atesta a procuradora da republica thamea danelon do nucleo de combate a corrupcao do ministerio publico de sao paulo sao muito importantes a prisao e a asfixia economica recomenda thamea e o poder economico aliado com nosso sistema ultrapassado que resulta na impunidade o nucleo de combate a corrupcao completa um ano em setembro e foi responsavel por grandes acoes no ultimo mes a operacao boca livre investiga fraudes de ate r 180 milhoes com recursos do tesouro liberados sob o guardachuva da lei rouanet desdobramento da lava jato em sao paulo a operacao custo brasil apura o esquema consist desvios de mais de r 100 milhoes em emprestimos consignados no ambito do ministerio do planejamento um dos suspeitos de liderar o esquema e o exministro paulo bernardo planejamento/governo lula que comandou a pasta as cifras investigadas nas operacoes fazem parte de um gigantesco valor apontado pela organizacao das nacoes unidas onu e destacado pela procuradora thamea danelon a onu estima que por ano no brasil sejam desviados r 200 bilhoes somente pela corrupcao esse valor equivale a tres vezes o orcamento da educacao e cinco vezes o orcamento da seguranca publica afirma nosso indice de escolaridade e baixissimo por conta da corrupcao o dinheiro nao chega na creche nas escola nos livros e nao chega nos salarios dos professores a corrupcao e a maior vila
1	combater	combater	VERB	VERB	_	4	csubj	_	TokenRange=0:8
2	a	o	DET	DET	_	3	det	_	TokenRange=9:10
3	corrupcao	corrupcao	NOUN	NOUN	_	1	obj	_	TokenRange=11:20
4	requer	requerer	VERB	VERB	_	0	root	_	TokenRange=21:27
5	um	um	DET	DET	_	6	det	_	TokenRange=28:30
6	trabalho	trabalho	NOUN	NOUN	_	4	obj	_	TokenRange=31:39
7	de	de	ADP	ADP	_	8	case	_	TokenRange=40:42
8	inteligencia	inteligencia	NOUN	NOUN	_	6	nmod	_	TokenRange=43:55
9	com	com	ADP	ADP	_	10	case	_	TokenRange=56:59
10	uso	uso	NOUN	NOUN	_	6	nmod	_	TokenRange=60:63
11	de	de	ADP	ADP	_	12	case	_	TokenRange=64:66
12	ferramentas	ferramenta	NOUN	NOUN	_	10	nmod	_	TokenRange=67:78
13	como	como	ADP	ADP	_	14	case	_	TokenRange=79:83
14	delacao	delacao	NOUN	NOUN	_	12	nmod	_	TokenRange=84:91
15	premiada	premiado	ADJ	ADJ	_	14	amod	_	TokenRange=92:100
16	e	e	CCONJ	CONJ	_	17	cc	_	TokenRange=101:102
17	quebra	quebra	NOUN	NOUN	_	14	conj	_	TokenRange=103:109
18	de	de	ADP	ADP	_	19	case	_	TokenRange=110:112
19	sigilo	sigilo	NOUN	NOUN	_	17	nmod	_	TokenRange=113:119
20	fiscal	fiscal	ADJ	ADJ	_	19	amod	_	TokenRange=120:126
21	e	e	CCONJ	CONJ	_	22	cc	_	TokenRange=127:128
