# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = veja o que foi noticia alem do carnaval no brasil e no mundo declaracoes do diretor da pf ataque a escola nos eua venezuelanos em roraima queda de aviao na russia e reaproximacao entre as coreias estao entre os destaques o presidente michel temer foi um dos principais assuntos do carnaval dentro e fora da folia no desfile das escolas do rio de janeiro a academicos do tuiuti levou um presidente vampiro para a avenida o enredo com criticas a reforma trabalhista deu o vicecampeonato a escola o titulo ficou com a beijaflor que tambem fez um desfile politizado em que tratou das desigualdades sociais e da corrupcao nas ruas o governo temer tambem foi lembrado pelos folioes nos blocos fora da folia uma declaracao do diretorgeral da policia federal fernando segovia publicada na sextafeira 9 a noite detonou uma nova polemica no meio politico segovia disse a agencia reuters que nao ha indicios de crime contra temer no inquerito que investiga se o presidente recebeu propina para favorecer uma empresa do setor de portos segundo o diretor da pf a tendencia e de que o caso seja arquivado as afirmacoes sobre uma investigacao que esta em andamento repercutiram mal o ministro luis roberto barroso
1	veja	ver	VERB	VERB	_	0	root	_	TokenRange=0:4
2	o	_	PRON	PRON	_	1	obj	_	TokenRange=5:6
3	que	_	PRON	PRON	_	5	nsubj	_	TokenRange=7:10
4	foi	_	AUX	AUX	_	5	aux:pass	_	TokenRange=11:14
5	noticia	noticiar	VERB	VERB	_	2	acl:relcl	_	TokenRange=15:22
6	alem	alem	ADV	ADV	_	5	advmod	_	TokenRange=23:27
7-8	do	_	_	_	_	_	_	_	TokenRange=28:30
7	de	de	ADP	ADP	_	9	case	_	_
8	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	9	det	_	_
9	carnaval	carnaval	NOUN	NOUN	_	6	nmod	_	TokenRange=31:39
10-11	no	_	_	_	_	_	_	_	TokenRange=40:42
10	em	em	ADP	ADP	_	12	case	_	_
11	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	12	det	_	_
12	brasil	brasil	NOUN	NOUN	_	5	nmod	_	TokenRange=43:49
13	e	e	CCONJ	CONJ	_	16	cc	_	TokenRange=50:51
14-15	no	_	_	_	_	_	_	_	TokenRange=52:54
14	em	em	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	mundo	mundo	NOUN	NOUN	_	12	conj	_	TokenRange=55:60
17	declaracoes	declaracoe	NOUN	NOUN	_	44	nsubj	_	TokenRange=61:72
18-19	do	_	_	_	_	_	_	_	TokenRange=73:75
18	de	de	ADP	ADP	_	20	case	_	_
19	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	20	det	_	_
20	diretor	diretor	NOUN	NOUN	_	17	nmod	_	TokenRange=76:83
21-22	da	_	_	_	_	_	_	_	TokenRange=84:86
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	pf	_	NOUN	NOUN	_	20	nmod	_	TokenRange=87:89
24	ataque	ataque	NOUN	NOUN	_	17	appos	_	TokenRange=90:96
25	a	_	ADP	ADP	_	26	case	_	TokenRange=97:98
26	escola	escola	NOUN	NOUN	_	24	nmod	_	TokenRange=99:105
27-28	nos	_	_	_	_	_	_	_	TokenRange=106:109
27	em	em	ADP	ADP	_	29	case	_	_
28	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	29	det	_	_
29	eua	_	NOUN	NOUN	_	24	nmod	_	TokenRange=110:113
