1 5 5 2 NUM nummod
2 tweets tweets 3 NOUN nsubj
3 mostram mostrar 0 VERB root
4 principal principal 5 ADJ amod
5 defensora defensor 3 NOUN obj
6 dilma dilma 5 ADJ amod
7 senado senado 5 NOUN appos
8 tao tao 9 ADV advmod
9 fiel fiel 7 ADJ amod
10 pensa pensar 3 VERB parataxis
11 apos apos 12 ADP case
12 depoimento depoimento 10 NOUN nmod
13 dilma dilma 12 ADJ amod
14 senado senado 12 NOUN appos
15 senadora senador 14 NOUN appos
16 katia katia 14 NOUN appos
17 abreu abreu 19 ADJ amod
18 primeira primeiro 19 ADJ amod
19 discursar discursar 21 NOUN nsubj
20 katia katia 19 NOUN obj
21 ficou ficar 3 VERB conj
22 revoltada revoltado 21 ADJ xcomp
23 impeachment impeachment 25 NOUN mark
24 expresidenta expresidenta 25 NOUN nsubj
25 defendeu defender 21 VERB parataxis
26 dilma dilma 25 NOUN obj
27 unhas unhas 30 DET det
28 dentes dente 25 NOUN nmod
29 alguns alguns 30 DET det
30 anos ano 25 NOUN nmod
31 mesma mesmo 30 ADJ amod
32 katia katia 25 NOUN nsubj
33 abreu abreu 32 NOUN flat
34 tao tao 35 NOUN appos
35 fa fa 32 NOUN appos
36 pt pt 35 NOUN flat
37 lideres lideres 34 NOUN flat
38 site site 42 NOUN nsubj
39 implicante implicante 38 ADJ amod
40 feliz feliz 41 ADJ amod
41 materia materia 42 NOUN nsubj
42 resolveu resolver 25 VERB parataxis
43 resgatar resgatar 42 VERB xcomp
44 algumas algumas 45 DET det
45 postagens postagem 43 NOUN obj
46 antigas antigo 45 ADJ amod
47 senadora senador 48 NOUN nsubj
48 confira conferir 42 VERB parataxis
