# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na india funcionarios publicos sao obrigados a usarem capacetes para trabalhar o motivo voce nao vai acreditar recentemente um escritorio do governo na india teve um alto indice de acidentes entre seus funcionarios o motivo o teto estava caindo sobre a cabeca deles cansados dessa situacao os empregados decidiram reclamar e o governo fez sua parte os chefes obrigaram todos a usarem capacetes de moto e isso mesmo que voce leu e olha que nao e no brasil o escritorio fica na cidade de bihar e ha cerca de 2 anos uma inspecao constatou que o imovel pode desabar a qualquer momento alem de diversos vazamentos parte do teto comecou a despencar sobre os funcionarios todo dia cai um pedaco do teto sobre nossas cabecas por isso nossos chefes pediram pra gente usar capacete e mais seguro disse um dos empregados
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
1	em	em	ADP	ADP	_	3	case	_	_
2	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	3	det	_	_
3	india	india	NOUN	NOUN	_	7	nmod	_	TokenRange=3:8
4	funcionarios	funcionario	NOUN	NOUN	_	7	nsubj:pass	_	TokenRange=9:21
5	publicos	publico	ADJ	ADJ	_	4	amod	_	TokenRange=22:30
6	sao	_	AUX	AUX	_	7	aux:pass	_	TokenRange=31:34
7	obrigados	obrigar	VERB	VERB	_	0	root	_	TokenRange=35:44
8	a	_	ADP	ADP	_	9	mark	_	TokenRange=45:46
9	usarem	usar	VERB	VERB	_	7	nmod	_	TokenRange=47:53
10	capacetes	capacete	NOUN	NOUN	_	9	obj	_	TokenRange=54:63
11	para	_	ADP	ADP	_	12	mark	_	TokenRange=64:68
12	trabalhar	trabalhar	VERB	VERB	_	9	advcl	_	TokenRange=69:78
13	o	o	DET	DET	_	14	det	_	TokenRange=79:80
14	motivo	motivo	NOUN	NOUN	_	12	obj	_	TokenRange=81:87
15	voce	_	PRON	PRON	_	18	nsubj	_	TokenRange=88:92
16	nao	nao	ADV	ADV	Polarity=Neg	18	advmod	_	TokenRange=93:96
17	vai	ir	AUX	AUX	_	18	aux	_	TokenRange=97:100
18	acreditar	acreditar	VERB	VERB	_	7	parataxis	_	TokenRange=101:110
19	recentemente	recentemente	ADV	ADV	_	18	advmod	_	TokenRange=111:123
20	um	um	DET	DET	_	21	det	_	TokenRange=124:126
21	escritorio	escritorio	NOUN	NOUN	_	28	nsubj	_	TokenRange=127:137
22-23	do	_	_	_	_	_	_	_	TokenRange=138:140
22	de	de	ADP	ADP	_	24	case	_	_
23	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	24	det	_	_
24	governo	governo	NOUN	NOUN	_	21	nmod	_	TokenRange=141:148
25-26	na	_	_	_	_	_	_	_	TokenRange=149:151
25	em	em	ADP	ADP	_	27	case	_	_
26	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	27	det	_	_
27	india	india	NOUN	NOUN	_	21	nmod	_	TokenRange=152:157
28	teve	ter	VERB	VERB	_	7	parataxis	_	TokenRange=158:162
29	um	um	DET	DET	_	31	det	_	TokenRange=163:165
30	alto	alto	ADJ	ADJ	_	31	amod	_	TokenRange=166:170
31	indice	indice	NOUN	NOUN	_	28	obj	_	TokenRange=171:177
