# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = fim da linha para cunha maioria do stf votou a favor do afastamento e suspensao do mandato de um total de onze ministros seis ja votaram a favor do afastamento a maioria dos ministros do stf votaram a favor da suspensao do mandato e o afastamento do deputado federal o posicionamento da corte acompanha a decisao do ministro teori zavascki que na manha de hoje 05 determinou o afastamento de cunha do cargo e a suspensao do mandato votaram a favor do afastamento os ministros luiz edson fachin luis roberto barroso rosa weber dias toffoli e carmen lucia alem do relator tepro zavascki
1	fim	fim	NOUN	NOUN	_	11	nsubj	_	TokenRange=0:3
2-3	da	_	_	_	_	_	_	_	TokenRange=4:6
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	linha	_	NOUN	NOUN	_	1	nmod	_	TokenRange=7:12
5	para	para	ADP	ADP	_	7	case	_	TokenRange=13:17
6	cunha	_	DET	DET	_	7	nmod	_	TokenRange=18:23
7	maioria	maioria	NOUN	NOUN	_	1	nmod	_	TokenRange=24:31
8-9	do	_	_	_	_	_	_	_	TokenRange=32:34
8	de	de	ADP	ADP	_	10	case	_	_
9	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	stf	_	NOUN	NOUN	_	7	nmod	_	TokenRange=35:38
11	votou	votar	VERB	VERB	_	0	root	_	TokenRange=39:44
12	a	_	ADP	ADP	_	13	case	_	TokenRange=45:46
13	favor	favor	NOUN	NOUN	_	11	nmod	_	TokenRange=47:52
14-15	do	_	_	_	_	_	_	_	TokenRange=53:55
14	de	de	ADP	ADP	_	16	case	_	_
15	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	det	_	_
16	afastamento	afastamento	NOUN	NOUN	_	13	nmod	_	TokenRange=56:67
17	e	e	CCONJ	CONJ	_	18	cc	_	TokenRange=68:69
18	suspensao	suspensao	NOUN	NOUN	_	16	conj	_	TokenRange=70:79
19-20	do	_	_	_	_	_	_	_	TokenRange=80:82
19	de	de	ADP	ADP	_	21	case	_	_
