# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = delacoes da odebrecht paulo bernardo e suspeito de negociar comissao na construcao de linha de trem no rs construcao da linha 1 da
1	delacoes	delacoe	NOUN	NOUN	_	0	root	_	TokenRange=0:8
2-3	da	_	_	_	_	_	_	_	TokenRange=9:11
2	de	de	ADP	ADP	_	4	case	_	_
3	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	4	det	_	_
4	odebrecht	odebrecht	NOUN	NOUN	_	1	nmod	_	TokenRange=12:21
5	paulo	paulo	NOUN	NOUN	_	1	appos	_	TokenRange=22:27
6	bernardo	bernardo	NOUN	NOUN	_	5	flat	_	TokenRange=28:36
7	e	e	CCONJ	CONJ	_	8	cc	_	TokenRange=37:38
8	suspeito	suspeito	NOUN	NOUN	_	5	conj	_	TokenRange=39:47
9	de	_	ADP	ADP	_	10	mark	_	TokenRange=48:50
10	negociar	negociar	VERB	VERB	_	8	nmod	_	TokenRange=51:59
11	comissao	comissao	NOUN	NOUN	_	10	obj	_	TokenRange=60:68
12-13	na	_	_	_	_	_	_	_	TokenRange=69:71
12	em	em	ADP	ADP	_	14	case	_	_
13	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	construcao	construcao	NOUN	NOUN	_	11	nmod	_	TokenRange=72:82
15	de	de	ADP	ADP	_	16	case	_	TokenRange=83:85
16	linha	_	NOUN	NOUN	_	14	nmod	_	TokenRange=86:91
17	de	de	ADP	ADP	_	18	case	_	TokenRange=92:94
18	trem	trem	NOUN	NOUN	_	16	nmod	_	TokenRange=95:99
19-20	no	_	_	_	_	_	_	_	TokenRange=100:102
19	em	em	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	rs	_	NOUN	NOUN	_	14	nmod	_	TokenRange=103:105
22	construcao	construcao	NOUN	NOUN	_	1	appos	_	TokenRange=106:116
23-24	da	_	_	_	_	_	_	_	TokenRange=117:119
23	de	de	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	linha	_	NOUN	NOUN	_	22	nmod	_	TokenRange=120:125
26	1	_	NUM	NUM	NumType=Card	25	appos	_	TokenRange=126:127
27-28	da	_	_	_	_	_	_	_	SpacesAfter=\s\s|TokenRange=128:130
27	de	de	ADP	ADP	_	25	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_

